upstreamdiscount_L
[ 6  3 11 12 14  9 13  1  8  2 10  7 15  4  5]
[ 6  7  9  4 13  3  5  8 12 11  2  1 10 15 14]
[15 13  8 10  9 12  7  3  5  4  6  2 11 14  1]
[ 1 15  2  8  4  3  9  5 13  7 12 11 14  6 10]
[ 6  9 10  4  2 11  3  7 14  1 12  5 15 13  8]
[12 15  9  4 10  6  8  1 11  3 14  5  7  2 13]
[ 2 11  4 15  9  7  3 14 12  8 10  5  1  6 13]
[15  2  4 14  5  8 13  1  7 12  6  3  9 10 11]
[ 7 12  3  1  8 11  6 14 10 15  2 13  5  4  9]
[ 6 10  7  2 15 13  4  1  5  8  3  9 14 12 11]
[ 3 14  9  7 11  4  1  6 13  8 12  2 15 10  5]
[10 13 15 12  6  4  7  8 14  3  1  2  5 11  9]
[11 14 12  8  4  1  7  2 13 15  6 10  9  3  5]
[13  1 10 12  2  8  5  9  4  6  3 11 15  7 14]
[ 5 10  2 14  7  6  4 13  8  1 15 11  9  3 12]
[15 10 11  7  2  5 14  6 12  8  9  1  3 13  4]
[12 10  3  1  9  8  7 13  4 11  2  6 14 15  5]
[ 3  5 10  7  1  8 14  6 11 12  9 13  4 15  2]
[ 9  6  5 10  8  4  2 14  1 11 12 13 15  3  7]
[ 4  6 11  2  8  1 12 14  5  3 13  7 15 10  9]
[14 11  8  1  6  2  3  4  5 12 15 10  9  7 13]
[ 5  2  1 10 11  4 15  3 13  6 12 14  7  8  9]
[ 3  7  8 12  5 10 13 15 11  4  1  9  6  2 14]
[12  3 15  1 13  2  9  5  6  4  8 10 11 14  7]
[ 6 13  1  3 15  9  5 10 14  8 12  2  7 11  4]
[ 2  1  6 11 12  7  8 15 14  3  5  4 10 13  9]
[ 9  8  1 12 14 15 10  2  6  7  5  3  4 11 13]
[ 2 15 10  1  4 12  6  8  5 14 13  7  9 11  3]
[ 9 15  2  3  7 14  4 12  1  6  5 10 11 13  8]
[11 10  9  8  7  3 13  6  5  2 12  1  4 14 15]
