due_time_L,due_time_H
"[[16737.989009352958, 8193.385097696608, 7995.563329821176, 7805.396960433542, 7741.0357615708535, 7689.110242040669, 7649.411450279002, 7618.198129217382, 7516.365243211794, 7443.934380553495, 7426.024851017924, 7391.798944848156, 7383.6024353363855, 7376.778584392157, 7379.256225296358, 8995.359991633884, 7987.040148475346, 8823.294845567083, 8422.7565329513, 8787.468388246067, 8842.381779262274, 8895.264984927571, 9020.562350553717, 9230.017119381506]]","[[5560.7431190746165, 574.7297832420177, 465.9071000650226, 446.0291211053121, 446.0291211053121, 2152.746702841484, 2219.567497114898, 1929.1922010666617, 1963.4819965103522, 2314.124729458874, 4996.987410256789, 1594.9915622757858, 1374.219107504649, 1765.050759555817]]"
"[[16171.414795440476, 11314.401518942499, 11001.689241309808, 10873.845126131393, 10822.21525738366, 10786.133761371982, 10721.632407604031, 10686.221319329723, 10672.5158758781, 10665.214061820274, 10658.70531331307, 10655.193965446944, 10653.09299966792, 10652.96729029616, 10653.09299966792, 13690.797814222871, 11191.893222619277, 15430.379202622826, 11707.277277975034, 13642.364831664807, 11421.83457485084, 11954.399642180655, 11710.38384565428, 11119.13941193227]]","[[5681.273143750534, 257.95974465818637, 90.85284178793245, 22.785484595221096, 0.0, 0.0, 1780.3910737136189, 1480.2589105102686, 1157.3554865163744, 340.50296682378956, 944.1753913966794, 589.2788031649139, 337.1785178814239, 586.9212144030241, 673.7328631176226]]"
"[[17047.280538075083, 8790.93834484135, 8713.322228692417, 8667.008695674118, 8631.967974228435, 8579.62894115618, 8536.743756228978, 8516.230053271225, 8495.988359018367, 8493.559115255659, 8492.72713016442, 8492.027818989396, 8492.72713016442, 9566.696599084124, 9418.606217554998, 12263.720277824092, 9465.105268450016, 14849.933623476312, 13347.946973287375, 9376.943437172815, 12038.642601485803, 14618.663319444797]]","[[586.8864714682169, 74.82705133972033, 74.82705133972033, 74.82705133972033, 457.8437368039445, 601.9260867161835, 33.941858245866065, 33.941858245866065, 154.35338869340202, 238.9018902860409, 227.97513418628074, 179.86847961130835, 540.7642520806648, 292.6535326811956, 74.82705133972033, 136.01205701447896, 74.82705133972033]]"
"[[21408.862819727176, 12055.463147505152, 11900.953163864007, 11789.098993909987, 11737.22238080282, 11686.635505403812, 11647.523472757859, 11616.820927061568, 11600.06979411439, 11598.047572484553, 11596.955528791874, 11595.853673763137, 11595.259355631868, 11595.815540408305, 15685.558086332956, 12617.839106035977, 12843.03248644087, 12823.826379667125, 12834.137455516562, 13648.424149220366, 12736.305484414259, 13284.748452806149, 12686.584426559057]]","[[2742.4336647729097, 0.0, 0.0, 1318.7946834083787, 1281.26680748015, 1103.7398448857796, 20.504094466045963, 494.9771134038051, 128.98486384262773, 1204.8159394227832, 102.09141337864594, 424.5150029948978]]"
"[[24969.355396418898, 15647.759991906074, 15499.69103573955, 15364.449545216648, 15298.802796484266, 15260.748221412294, 15226.699522213708, 15193.946662259457, 15164.053183143138, 15140.33032136337, 15120.316733587943, 15110.23148023725, 15101.687083841598, 15095.844171881687, 15093.683787641217, 15091.837436735357, 15091.049182287583, 15091.127761144146, 17958.716815094172, 15501.001247346368, 15483.099190116249, 18240.38762687563, 15238.824452731775, 18267.39389596723, 15325.844924342204, 15009.125593161942, 14885.673481516551, 14663.737686394341, 14591.615007312485, 14541.858038254111, 14506.087171289204, 14478.309381878014, 14452.653943410587, 14432.050365625084, 14412.241728991972, 14399.87882854082, 14390.540744908607, 14386.160658612704, 14383.817234621287, 14382.433525190892, 14383.19136691716, 15082.067143508411, 19148.760513384175, 15581.162523894087, 15835.104688003461, 15361.619695692172, 15738.207952276694, 15255.154379289796, 16653.040314265134, 15728.0720887055]]","[[2839.535015885324, 10.248752161770819, 0.0, 0.0, 2280.395653820933, 540.2137149431106, 556.8130196663636, 669.8573972487393, 404.32334229940517, 964.5086358121599, 277.98033743670464, 374.6957316546103, 2930.4092476804553]]"
"[[17134.59012334263, 11791.060719220428, 11729.598483488235, 11681.10503796821, 11636.668459190922, 11592.591057249434, 11570.814898703497, 11553.365649354237, 11543.146003397043, 11537.158374290544, 11535.374785915039, 11533.92877182671, 11532.684969404194, 11512.636103519579, 11490.575447384626, 11482.110887298044, 11481.645666064063, 11481.410816550888, 11481.645666064063, 12906.430189081222, 11517.799981408327, 11500.88348524649, 10081.518794656746, 9453.29108795258, 9219.290538470621, 9070.238666907197, 8967.644619890354, 8938.618672780845, 8915.71498928705, 8894.45728118799, 8879.548145222183, 8865.180879846033, 8855.68971692033, 8846.947388378509, 8842.305083054858, 8837.947028152154, 8813.782232899655, 8805.013921131227, 8799.026292024726, 8796.285277927032, 8795.933464722193, 8795.868064726496, 8790.710388170894, 8790.710388170894, 10164.432987216385, 13857.506238500813, 10314.303727194774, 10261.138073134452, 10148.209727480902, 12777.810802641545, 10639.426421787211, 10364.476618195977, 12195.621617401644]]","[[2142.0845680673997, 98.9279690054086, 15.548765746875764, 6.655335975073654, 0.0, 0.0, 787.6275248857557, 1243.9258219148978, 427.2771157954723, 1436.9586041290872, 1442.4395715273, 1053.397916248358, 843.3020135263387, 2446.30475913373, 1221.4561670288163]]"
"[[18784.57143530954, 10374.879844891111, 10075.078280869913, 9849.858675577952, 9611.52395270117, 9532.87572829202, 9460.88061473013, 9391.976392296849, 9309.361541871242, 9269.49750371634, 9231.070111124453, 9217.366462650009, 9211.34365279814, 9195.369372083025, 9194.384894208775, 9194.384894208775, 11178.283317908801, 10674.593980064701, 10326.210949073979, 13399.787412457586, 11946.503655276285, 13590.811678950751, 11338.30199640746, 12344.655793267411, 10483.937723342906]]","[[2552.2550159356665, 80.30355559936375, 0.0, 0.0, 488.3225092735399, 0.0, 140.3189339758697, 33.445751427672725, 314.00517951454464, 217.59793691566358, 466.9209638770967, 85.97504552000365, 854.5830854604355]]"
"[[24601.72563377799, 13697.375286786468, 13581.631696328186, 13493.431735719754, 13399.70788844932, 13314.535816491883, 13232.257385606588, 13173.565359680815, 13137.608674309506, 13102.970444379887, 13075.010364027272, 13017.771009711878, 12965.457480443707, 12953.970352753222, 12947.413603365752, 12936.476657419244, 12930.121828760253, 12924.263949075783, 12895.340542936763, 12893.196368037856, 12893.271719268218, 13875.222365219452, 13841.70588010918, 13372.239916869214, 20303.68510585016, 16783.33110594857, 14199.585306363757, 13640.42160461815, 14150.456241093485, 13721.489626554298]]","[[278.6290037568097, 0.0, 0.0, 747.923938231092, 1375.4491651260323, 320.560632981758, 907.3795806254454, 664.3628353154551, 380.70491668535124, 902.7457982037149, 456.13682860740784, 2134.918319125093]]"
"[[18887.0866232732, 11068.607160005375, 10803.3782938763, 10679.976631771056, 10592.818685972596, 10461.654545918384, 10424.034508137738, 10382.704217032086, 10353.94209180335, 10335.237058691735, 10321.404492360321, 10311.791753554493, 10302.64475251782, 10254.44675533981, 10238.90611845298, 10231.068907963205, 10223.960793565228, 10213.841694224626, 10210.787114132387, 10210.727594823806, 10209.881321032704, 10210.727594823806, 11153.844296342651, 13509.214059888798, 12631.14180185972, 11579.41665449644, 10682.250333447311, 12570.518062825919, 11092.669761370891, 14584.571007319035, 12535.085323382431]]","[[1405.9881502281758, 0.0, 0.0, 557.6437241921695, 580.7906470207807, 476.3084605574169, 318.72719564031667, 1044.800600082972, 622.4943437926737, 0.0, 989.7547219699106, 92.30724513039245]]"
"[[22166.94922218803, 11923.57344679719, 11748.899220130616, 11627.736799461802, 11511.214463302947, 11454.124066510905, 11335.492270432249, 11301.987897656025, 11279.087714918558, 11265.055169992733, 11251.238732092675, 11237.916956434294, 11225.49158041118, 11219.946899356886, 11217.533316807025, 11215.485131685275, 11214.526998836409, 11215.485131685275, 13751.880758647056, 12930.142664256913, 12815.081225865413, 12690.799677076027, 13153.70077235956, 12736.145662438346, 12099.985501931538, 12770.126366446735, 12422.7025392692]]","[[494.8496723227187, 207.10385742838756, 0.0, 0.0, 530.1932561756445, 434.0707605899512, 48.30652797016808, 83.28811500909683, 104.39552225269436, 593.0381727780155, 235.09990739635964, 230.0958628020543, 244.68966817653978]]"
