due_time_L,due_time_H
[11  2 16  1  5 10 13  3  7  8 19 12  6 18 20 17  4 15  9 14],[ 9  2 18  7  5  6 11  8 10 12 13 19 17 16  4  1 14  3 15 20]
[ 1  5 17 11  4 15  9 18 14  7 16  3 13 10  6  8 20  2 19 12],[ 3 20 12 19  1 16  5 13 14  7  8  2 15  9 18 11  4 10 17  6]
[ 5 15  6  9  2  1  4 10 18 14 20 13 11  7 16 17 12  8 19  3],[ 2 18  3  5 17  8  6 13 10 12  9 20  1 16 11 19 14 15  4  7]
[ 8 10 17  5  3 20 16  2  4 11  1 18  6  7 15 13 14 19  9 12],[13  8  9  7  2 19 12 10 15 14 16 11  4 20  1  5  6 17 18  3]
[16  2 20 11  7 17  1 13  8 10  5 12 19  6  9  4 18  3 15 14],[15 17  6  1 13 12 20  2 11 14  3  4 19  5  9 10  7 16 18  8]
[13 11  3  6  1  5 17  8 14  2 10  9 12 15 16  4 19 18 20  7],[10  3 11  9 12 20  2  7 14 13  6  1  4 16 18 17 19 15  5  8]
[ 7 11 14  5  4 19  8 15 10 13 12  2  3  9 16 18  6 20  1 17],[ 8  1 14  3 13  6  9  5 11  7 12  4 10 16  2 20 19 15 18 17]
[ 2 12 13  9 11  5  6  4 18  8 19  7 15  1 17 20 16  3 14 10],[ 9 19  4  7 18  2 13  6  3 20 17 10  8 15 16  5 11 12 14  1]
[11  2 15 13  9  8  6  4 20 18  3 19 17 12  7  5 16 14  1 10],[ 3  6 10  8 17  1 19 13 11 15 16  4 18 14  5 20  2  7 12  9]
[17 14 19 10 12 15 16  8  1  2 11 18 20  9  7  6  3  5 13  4],[20  4  8  3 10 16  1  9 13  2 14 11  6 12 19 15  5 18 17  7]
[13 11  2 20  8  9  4 16  5  1 19 15  6 10 14 18 17  3 12  7],[14  3  5 20  7 15  9 18 10 11 17  6  8  4 12  2 16  1 13 19]
[11 13  5 18 16 14  6 19  4 17 10 20  7  1  9  2 12 15  3  8],[16  6 19  8 20 18 12  4  9  5 14 11 13  2 10 17  3 15  1  7]
[ 4 20 19  2  5  8 11 14 13  6 12  1  7 15 10 17  3  9 18 16],[15  4 17  1 13 14  8 12 18 11 20 19  2  6  5 10  7  9 16  3]
[13 20 15 12 18 17 10 11 19  1  4  3 14 16  5  7  2  6  9  8],[ 4  7  2  9  6 17 20 18  3 16 11 19 14  1  5 10 12 13  8 15]
[ 3  2  8  9 12 15 16 13  7  5 11 10 17 19 20 14  1  6 18  4],[ 5  3 16  8 10 11 18  4 12 14  7 17  9  6 20  2 19 15  1 13]
[ 5 11 15 17 16  7  1 12 19  3 13  2 10  6  4 18  8 14 20  9],[14  6 20 10  2 13  8 16 18  4 19 12 11  9  3 15  1 17  7  5]
[20 13  9  7  3  8 17 14 15 12  5 18 11  4 16 19  6  1  2 10],[ 9 15  4  7  8 11 18  1 19 12 17  6  2 10 14 16  5 20  3 13]
[10  3 19  1 11  7 13 16  5 18  4 14  8  2 20  6  9 12 15 17],[14  3 18 17 16  9  2 15  8  6 20 19  7 11 10 12  1 13  5  4]
[ 8 18 14 16  5  4 17  6  2 15  7  3 13  1 10  9 19 20 11 12],[ 6 14 19  5  1 17  8  9 16  3 12 15 20  2  7 10 11 18 13  4]
[ 5 16  6 12  4 14  9  2 20 11  7 13 15  8 18 10 19 17  1  3],[ 1  7 14  5 17 20  2  3 11 15  4  9 12  8  6 13 16 19 10 18]
[17 14 18  5  4  7 12  2 16 15 11 13  6  3 10  9  1 20  8 19],[10 14  9  5 15  3  7 18  1  8 20 16  4  6 19 12 13  2 11 17]
[ 7 12 16  1 19  6 20  3 15 10  2  5  4 14 17 18 11 13  9  8],[10  3 16 20  5  6  2  7 12 11 19  9  8 18  1 15 14 17 13  4]
[10 15  8 16  7  6  1 11  3  9 13 14 12 17 18 20  5  2  4 19],[ 4  7  1 15  5  8 11 16 19 12 20  6  3 14 13  2  9 18 10 17]
[ 5  3  1  4  9 12 19 13  6  2 16  7 20 15 10 14 18 11 17  8],[ 6  7 19 17  4 15  2  3  1 11 12 13  8  9 14 20 18 16 10  5]
[15  2  5  6 20 13  4 11 17 14 12  3 19  7  1  9 18 16 10  8],[11 10  6  8  1 13  2  4  9 20 19 15 17  3  5  7 12 14 16 18]
[ 2 11  8  1 10  3  6  9 18  5 16 13  7 12 17 15  4 20 14 19],[ 2 11  1 18 17 14 16  5  4 15  9 13 19  8 12 20  7 10  3  6]
[ 1 12  4 19  5 13  8 17 20 15 16 10  2 14 18 11  9  3  7  6],[13  1  7  3 15  9 12 19 18  2  8 20  4  5 16  6 17 14 10 11]
[18  1  6  8  3 13 11 16  2  4 14 12  9 15 17  5 20 10 19  7],[ 1 18 17 16  2 19  9 11 12 13  5  4  7 20 15  3 14  8 10  6]
[20  8  2  5  3 17  9 11  6 10  1  4 16  7 14 13 12 18 15 19],[11 19  7 17 15  1 20 16  5  2  9  4 14  8  6 13  3 12 18 10]
[ 1  2 19 20 11 15 16 13  5 12  9 18 17  7  3  8 14 10  4  6],[ 8  1  9 13 18  6 19  2 12 10 16  4 17 15  3 20  7 11  5 14]
