benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[0. 2. 0.],[14. 14. 14.],[0. 0. 0.],[0. 0. 3.],[ 0. 11.  0.],[14. 12. 14.],[0. 0. 0.],[0. 2. 0.],[1. 3. 1.],[ 0. 14.  0.],[0. 0. 0.]
[4. 0. 3.],[14. 14.  0.],[0. 0. 2.],[ 4.  0. 14.],[6. 0. 0.],[ 4.  0. 14.],[ 0. 13.  0.],[0. 3. 0.],[2. 0. 1.],[0. 0. 3.],[4. 0. 0.]
[ 3.  0. 14.],[11. 14.  0.],[4. 0. 0.],[ 0. 14.  0.],[ 5. 14.  1.],[ 0.  2. 11.],[0. 3. 0.],[0. 2. 0.],[0. 4. 2.],[ 4.  0. 14.],[ 0. 14. 10.]
[0. 3. 0.],[14.  0.  0.],[0. 3. 0.],[0. 4. 0.],[ 0.  4. 14.],[ 0.  0. 14.],[14.  0.  4.],[0. 4. 0.],[ 1. 12.  1.],[ 4.  0. 14.],[ 3.  0. 14.]
[5. 9. 0.],[10 14  0],[4. 0. 0.],[ 8. 11.  0.],[0. 3. 0.],[ 3.  9. 14.],[0. 6. 0.],[0. 0. 2.],[0. 8. 0.],[3. 0. 6.],[ 0. 14.  0.]
[ 2. 14.  2.],[14. 14.  0.],[3. 3. 0.],[0. 0. 0.],[0. 0. 2.],[ 1. 14.  4.],[0. 3. 0.],[ 0. 14.  1.],[3. 0. 6.],[ 3.  0. 14.],[0. 5. 0.]
[0. 0. 0.],[ 0. 14. 14.],[0. 3. 0.],[0. 7. 0.],[0. 3. 1.],[0. 0. 0.],[ 3. 10.  0.],[0. 4. 0.],[0. 0. 3.],[ 3.  0. 14.],[0. 2. 0.]
[ 5. 11.  0.],[14 14 14],[4. 0. 0.],[9 6 0],[ 2  7 14],[0. 2. 0.],[0. 3. 0.],[0. 4. 0.],[1. 5. 1.],[0. 0. 2.],[ 0.  0. 14.]
[ 4.  1. 14.],[ 2. 14. 14.],[0. 0. 0.],[0. 3. 0.],[14.  0.  7.],[0. 3. 0.],[14.  0. 14.],[2. 0. 2.],[ 0. 13.  0.],[ 5. 14.  0.],[0. 3. 0.]
[ 0. 14.  0.],[ 0. 14. 14.],[0. 0. 0.],[ 0.  0. 14.],[0. 3. 0.],[ 3.  1. 14.],[ 3. 14.  3.],[ 3.  0. 14.],[4. 0. 0.],[5. 0. 0.],[0. 2. 0.]
[14.  1.  9.],[ 0. 14.  0.],[0. 0. 0.],[ 0. 10.  0.],[14.  0.  3.],[0. 0. 2.],[0. 3. 0.],[0. 3. 0.],[12.  1. 13.],[0. 0. 2.],[ 4 11 14]
