upstreamdiscount_H
[ 8 12  7 14  4 13 10  9  5 11  1  6  3 15  2]
[ 7  2 15  8 10  6 11 13  3  1  4  5 14  9 12]
[13  5  9  8  3  4  7 12 11 14  2 15  1 10  6]
[ 3  6  1 14 11  4 10  9 12 13  2  7  5 15  8]
[ 9  5 13  3  7  4 12 11 15 10 14  6  2  1  8]
[ 6  1 11 10  4  5  9 15  7 13  2 14 12  3  8]
[15  4 14  5 11  3  6  9  1 13  8 10 12  7  2]
[ 4  9  2 14  1  5  7 15 11  3 12 10  8 13  6]
[ 1  4 10  8 12 11 15  7 13  3  9 14  2  6  5]
[11 10 14  1 15  3  7  2  4  6 12  9  5  8 13]
[ 7 15 14 10  3  2  4  1  8 13  5 12  6 11  9]
[14 11  1  8  5  6  4 10  3 12  9 13  2  7 15]
[ 5 13  7  1  2 15  4  6 12 11  8 14  9 10  3]
[12  4  8  6  3 11 15  5 14  1  9 10  2 13  7]
[12  9  8  2 13 11  6 10  4  7  1  5  3 14 15]
[ 2  8 11 14  3  7  5 15  9 10 12  1  6 13  4]
[10  2  5 12 14  6 11  3  1  9  4  8 15  7 13]
[13  6 11 12 15  9 10  5  7  4  8  1  3  2 14]
[ 1 14 13 15  3  8 10  7  2  5  9  6 12  4 11]
[ 7  4 10  1 14 11 13  5  6 15 12  8  2  9  3]
[ 3 12  9 15  8 10  6  4  2  5  7  1 13 11 14]
[ 1  8  9 12  5 13  3 10 11 15  2  6 14  7  4]
[ 2 15 13  6  3  1 14  8 11  5  7 12  9  4 10]
[ 2  3 15  5  9  7  4 12  6 10 14  1  8 13 11]
[12  1 10 11 13  5  9  7 14  4  2  8  6  3 15]
[15  5  3  1 11  4  7  8 14 10  9 13 12  2  6]
[ 8  3 11 13 14  9 10  7  6  2 15 12  1  5  4]
[ 1 12 15 13 14 10  3  6  5  2  7  8  9  4 11]
[ 9  7 13 15 12  6 10  2  4  5 11  8  3 14  1]
[ 8  4 10 15  7 11  1 14 12  5  6  9  2  3 13]
