benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
"[41 18 30 46 24 33 32 48 27 15 50 36 23 29 25  6 28 19 22  2 43  7 37  3
 39  8 40 13 45  1 47  9  4 21 38 49 42 16 11 12 31 20 35 14 26 44 17 34
  5 10]","[ 5 36 20 39 29 41 24 47 44 27  1  4 32 16 23 33 19  3 45 48 25 10 12 17
 28 46 30  2 40 21 11  7 13  6 26 42 14  8 35  9 31 18 38 22 15 50 34 49
 43 37]","[21 16  8 31 14 26 10 32 29 41 22 39 47 24  9 11 37 49 38 33  5 34 50  4
 23 43 17  6 35 18 20 13  7 40 44 48 28 19 27  1 30  3 36 15 25 46 45 42
  2 12]","[50 25 38 35 49 29 21 20 28 47  2 16 42  3  9 14 33 48 43 39 31 13 12 11
 37  6 26 36 19 18 15 44 45 46  8 10 41 30  7 32 22  5  1 40 27 34 24  4
 17 23]","[ 6 27 24 39 46 41 12 25 16 37 42 18 38  2 10  3  1 30  8 15 20  7 23 44
 47 49  4 29 36 28 45  9 50 17 26 32 48 34 22 40 14 13  5 19 35 33 31 11
 21 43]","[ 4 32 13  2 21 24  3 45 28 34 11 22  7 23 49 48  8  9 36 18 27 26 15 19
 38 30 41 40 42 47  6 44 37  5 31 10 14 16 17 33 46 35  1 29 43 39 50 12
 25 20]","[24 11  6 34 23 30 27 25 15 18 29 31 46  5  8 40  1 32 35 28  4 26 17 20
 21 49 16 50 14 19 10 41 48 43 37 45 36  3  2  7 39 12 13 47 44 38 33 42
  9 22]","[ 8 44 31 34 27 16 40 47  3 50 18 25 45 39 17  7 19 33 10 32 48 24 42  9
 41 35  2  5 20 23  4 46 26 12 43 11 22 28 14 15 30 37 21 36 49  1 29  6
 13 38]","[36 10  8  7 32 43 24 46 37  9 25 47 38 45  5 48 33 30 14 22 12 13 21 29
  6 49 27 42 44 17  3 15 18  2 19 20 34 26 31 35 23 41 50 16 39 40 28  1
  4 11]","[30 22  6  8 35 49 17 37 31  1 23 28 46 15 39 44 36 13 48 40 16 38 25 10
 29 24 19 50  7 43  9 26  2 20 12 45 11 41 21 34  4 32  3 42 33  5 27 14
 18 47]","[39 29 27  7 48 46 37 44 14 49 36 45 23 40 32 18 41 21 34 28  3  4 33 42
 26 50 38 24  1  2 12 35 43 16 13 47  6  8 31 11 30 20 10  9 25 19  5 17
 22 15]"
"[43 33 46 20 32 29  1 11 19  7 22 44 49 12 15 38 25 16 41 17 13  2  4  6
 23 10 42 24  9 28 36 48 34  3 30 47 27 14  5 35  8 26 18 40 50 45 37 31
 39 21]","[42 48 28 27 38 30 24  5 45 19 46 11 36 18 21  1 26 10 33  9 20 13  2 29
 47 43 44 40 37 32 49  7  6 12 34 16 35 23 15 41 31 39 50 22 25 17  4 14
  3  8]","[40  4 42 28 16 25  5 37 31 11 24  7 12 49 41 34 15 19 10  8  2 44 47 17
  9 30 43 35 45 14 36  3 26 39 22 29 23  1 38 27 20 46 21 13 33 48 32 18
  6 50]","[19 35 45 33 26 47 34  5 36 13 32 17  7 11 49 22 39 46 44  4 20  1  9 31
 48 40 10 23 30  3 14 16 50 25 24 12 27 18  6 21 43 42 29 37  8  2 41 38
 28 15]","[16 35  4 41  6 43 11 40 27 48 30 25 42 39 23 15 28 36 33 18 34 19 14  3
  1 22 46  8 45 13 10  7 38 31  5 20 50 37 17 32 49 12  2 26 29 47  9 24
 44 21]","[ 4 26 28 36 32 25 14 45 24 15  3 33 41 37 47 43  2  7  8 12 48 46 13 50
  1  9 16 10 19 23 42  5 34 18 22 21 39 11 35  6 40 27 31 20 17 29 44 38
 49 30]","[19 22 16 14 13 36  2 32 34 47 11 26 30  8 37 45 15 41 48 12  6  7 31 44
 20 25 27 21 46 42 39 50  1 28 49 10 17 18 40  9 35  3 29 24 23 43 33 38
  5  4]","[25 16 20  1 45  4  5 17  9 11 15  6 32 19 10 49 26 46 23 28 43  2 31 18
  3 33 13 29 14 30 44 34 48 41 42 21 38 37 36 27 47 24 22  8 50 12 40  7
 35 39]","[16  1 23  5 12 36 47 25 19  2 26 45 10 18 11 38  6 37 43 20 41 42 32 22
 28 50 48  3 21 39 49 29 44 13 46  8 15 31 17  7 14  4 30 35 24 33 40  9
 34 27]","[13 46 12 15  2 14 19 40 11 21 43 25 18 42 24  5 10 28  6 38  1 31 34  7
 17 48 30 41 26  3 47 33  8 23 27 50 39 22 16  4 36 29 37 32 44 49  9 45
 20 35]","[23 10 49 29 30  9 20 27  1 50 26 15 45 31 32 42 33 25  6 28  5 13 14  8
 22 48 38 12  7 40  3 43 39 21  4 37 16 11 19 36 47 18 44 41 17  2 34 46
 24 35]"
"[40 29  3 18 15 39 48 44 25 16 47 12 22 30 24  8 10 21 45 38 19 42 35 43
  5 41 13 49  4 26 46 37 28 17 20 11  7 31  9 50 32 34 14  6 36 33 23  1
  2 27]","[18 37 19 15 34 31 13  7 16 40  3 20 49 50 25 26  5 32 33 22 30  1 36 28
 11 48 42 29 45 43 10 24  8  9 14  6 47 46 23  4 38 27  2 12 39 17 35 21
 41 44]","[49 19 22 41  9 42 35  8 39 48 26 15 36 30 13 14 37 12 16  7 32 20 50 25
 44 38 27 18 10  5  6 40 28 47 29 43 21  4 33  2 23  1 46 24  3 11 17 45
 31 34]","[30 28 34 16  1 22 15 19 43 11 35  6 38 32 42 40 41  4 31 45 18  7 12 23
 13 39 14 27 46 20 24 26 25 44 21  9 29 47  2 10 17 37  5 49 36 50  3  8
 48 33]","[11 44 49  1 22 24 48  9 18 47  2 37  4 16  3 40  5 38 23 42  7 14  8 32
 13 41 19 31 21  6 12 34 25 28 27 39 20 30 45 29 43 17 33 35 26 15 50 46
 10 36]","[48 31 34 23 16 14  1  9 17  3 33 13 26 36 27 44 47 30  8  7 24 50 39 19
 40  6 22  5 28 35 15 37 45 29 10  4 21 11 20 12 32 49 42 41 18 46  2 43
 38 25]","[25 46 19 37 35 29 49 11 42 31 48 12 20 43 34  6 18 45 32 23  2 41 28 16
 22 24  1 33 14 15 50 30 38 10 47 44 17 39 21  4  8 26 13 36  3  5 27 40
  7  9]","[ 2 46  7 17 21 25 31 32 23 22 29 20 14  8 33 11 47 44 45 38 40  1 19 27
 43 13  3 30 49  6 48 39  5 15 41 10 50 16 24 37 12 35 42 28 26  4  9 36
 34 18]","[ 6 40 11 16 44 43 39 30 32 31 45 35  8 49 47 25  7  5  2 18 12 27 28 17
 22 19 13 21 29 36 38 37 26 33 50 34  1 24 10  9  3 14 20 41 46 42  4 23
 15 48]","[25 24 46 22 36 31  3 10 49 44 21 19  5 45 38 40 48 35 29  9 37  4 26  2
 41 30 12 15 11 14 18  6 27 47 43  8 16 34 33 42 32  7 23 20  1 50 39 28
 17 13]","[18 11 16  5  6 32 14 28 33 50 39  9 15 48 36 40 34 22 35 24 30 29 42 43
  8 23 45 27  4 12 17 37 31 41 21 49 26 46 10 44 20  1  3  2 25 47 19 38
 13  7]"
"[27 25 35 34 19 49 20 42 28 10 31 37  8  7 38 30 44 33  3 29 40 23 21 41
  1 17 50 12  4 46  2 45 24 22 32 18 48 14 13 43 47 16  5 26 39 36  6  9
 15 11]","[13 35  2 41  8  9 33 15 40 21 37 49 25 48 34 29 36 39 44 11 14 19  1 32
 31  7 23 42 43 20 22 17 26 46 47  4 45 24 10 16 27 12  6 28  5 18 38 50
  3 30]","[22 14 15 40 31 11 39 24 38 48 20 27 42 43  2 16 19 37 36  5 41 26 25 29
  8 35  4 44 33 50 32 23  1  3  6 12 46  7 49 21 18 34 28 30 10 13 17 45
  9 47]","[ 3  1 21 43  5 12 45  2 27 37 18 40 46  9  7 50 19  4 41 22  8 17 15 26
 39 20 49 44 16 25 11 38 32 14 47  6 48 36 30 23 24 31 33 29 35 28 13 34
 42 10]","[33 39 43 24 19 41 45  7 25  3 21  6  2 11 14 12 10 22  8 13 20 46 16  5
 35 18  9 44 31 27 50 32 37 47 36 38 28 40 15 26 29 34 17 49  4 42 48 30
 23  1]","[15 18 37 39 20 19  4 43 48 24  2  3 12 29 47 31 38 36 41 27 50  5  1  8
 42 16 25 40 46 11 26 44 32 17 13  6  7 22 23 14 49 30 45 34  9 28 21 35
 33 10]","[ 8 27 21 28 14 18  4 45 29 48 25 22 24  1 38 16  7 13 40 42 49  9 44  3
 26 20 36 41 46 35 23 10 34 50 19 47 33  6 11 17  2 32 12  5 43 30 15 39
 37 31]","[32 38 48 16  5  3 34 13 30 39 45 25 15 43 11 42 28 29 40 27 44 31  4 14
 10 24 18 36  7  8  6 49  2 35  1 23 19 33  9 41 37 50 26 21 47 12 17 20
 22 46]","[44 48  5 33 24 25 43 23 15 17 47 40 30 42  2  1 21 41 29 14 39  9 11 36
 45 35 46  8 19 20 31 50 10  6  3 22 34 13 28 26 16 37 12 38 49 27  7 18
 32  4]","[ 3 15 19 21  5 47  7 33 36 40 27 20  2 30 32 48 39  1 38 41 31 10 50 34
 44 25 23 14 26 13 16 37 28 43 18 45  4 12 29 17 22 11 42 35  8 46  6 49
 24  9]","[38 35 43 20  7 37 19 48  2 23 46 32 45 47 44 13  6 22 24 18  5 40  3 36
 17 26 33 16  9 41  1  4 21 34 42 15 31 50 49 14 25 29 12 28  8 27 11 30
 10 39]"
"[18 22 43 31 10 35  2 34 47 30 37 25 40 39 29  5 36 48 42 28 16 13 41  6
 32 11 26  8 50 14 33 12 20 45  4 27 15 49  1 44 46  7  3 23 24 17  9 21
 19 38]","[25  5 49 12 40 13 41 37 14 46 33 24 17 39 42 26 11 20 43 45  7 38 44  1
 27 34 19 22 29 31 30 50 48 32 10 15 23  2  6 16  4  3 36 28  8 21 35  9
 18 47]","[ 5 31 50 20 42  8 26 39 17  4 12 24 13  1 30  3 27 37 18 25 49 11 40  2
  6 29 44 21 36 38 23 47 14 46 32  7 10 28 22 15 48 33 19 16 34 45  9 43
 41 35]","[49  1 16 41 48 22  9 46 50 33 17  8 21  5 42 47 29 32  6 34 40 44  2 31
 18 26 30 27 45 37 35 12 38  7 19 43 23 28  4 11 39 15 10 14 36  3 20 13
 25 24]","[26 25  8  9 10 47 13 36 29 32 49 45 31 12 38 30  1 16 24 22  2 40 50  7
 42  4 28 46 35 21 14  3 34 15 33 39 11 43 37 18  6 23 19 17 44  5 20 27
 48 41]","[49 11 36 46 45 33 19  5  3  9 39 43 13  4 38 50 31 41 21 16  1 14 40 29
 23 47 12 20 26 24 34 44 30 27 10 17  6 22  7 15 42 37 32 28 35  8 18 48
  2 25]","[40 50 39 38 23  6  4 33 42  7 27 19 30 47 15 13 44 29  3 24 12 11  9 43
 49 25 20  5 28 17 46 37  8 45 10 31 16  1  2 32 21 22 14 35 36 34 48 26
 18 41]","[17 37 36  1 21 43 19  8  7 40 26 42 34  2 16 24 10 30 29 23 18 13 15 48
 14 35 44 12  3  9 32 45  6  4 22 31 25 33 11 50 41 49 38 27 47 20 46 28
 39  5]","[ 7  5 50 33 43 15 46 47 39 35 44 37 14  2  9 49  8 45 11 36 18 20  3 17
  6 16 28 29 40 41 42 22 12  4 21  1 19 48 34 31 24 13 23 26 27 10 25 30
 38 32]","[ 5 37 33 38  9 20  3 36 21 25 42 23 41  2  7 27 31 13  4 32 49 19 50 11
 15 17 18 43 24 28 22 34  8 29 46 39  6 48 16 30 44 10 40  1 47 35 45 26
 12 14]","[44  1 47 16 38  9 20 26 32 11 30 27 23 39 18 14 24 36  2 42 40 22  7 12
 21  5  4  8 13 37 43  3 15 45 29 25 10 31 49 33 46  6 50 35 19 17 41 28
 48 34]"
"[16  3 40 21 32 14 30 41 47 24 12 29 25 31 48 27 18 17 35  8 50 37 36 23
 45  7 42  4 15  5 28 13 44 49 34  1 20 10 11 33 46  6 43 19  2 22 39 38
 26  9]","[34 22 14 49 27 44 24 35 39 19 41 40 18 29 15 32 38 16  4  8 26 46 47 28
  9  1 42 12 31 50  6 13 20 10 36 33 25 23 21 45  5  3 37 30 48 11  7 43
  2 17]","[44  1 37 26 34 11 15  9 27  8 48 46 21 16 13 25 47 20  3 31 43 40 49 14
  2 19 45 12 38 33 29  4  5 39 30 50 28 36  7 10 41 17 35 32 24 42 23  6
 18 22]","[49 34 11  4 25 18  1 13 37 22 12 50 27 40  7 14 17 30 42 28 15 48 19  2
 10 24  6 21 26  3 16 43  9 29 41  8 47 35 44 32 36 45 31  5 38 23 33 46
 20 39]","[13 50 30 21  5  9 20 48 24  6 29 28 25  7 39 17 32 37 15  4 46 44  3 14
 19 12 41 36  1 47 34 42 27 49  8 43 45 35 10 16  2 11 33 18 38 26 23 40
 31 22]","[14 34 45 32 13 10 41 18 37 31 33 47 26 36 19 25 27  7 30 43 21 48  1 24
 16  2 12 40 50  9  3 46 15 22 38  6 23 29 44 35 42 28  8 11 20 17 49  5
  4 39]","[13 22 21  4 23 38 18 43 34 48 42 32 17 27 29 44 26  3  6 36 37 41 16 24
 28 10 15  9  7 25 47 40 35 31 19  8 46 20 14  2 50 11  1 45 30  5 39 12
 33 49]","[23 11 31 26 46 17 20 41  3 18 39  9 25 28  8  6 33  4 16 32  7 22 34 10
 45 29 47 50 15  2 43 19 48 37 49 13 35 30 38 24 36 42 27 44 40 12  1  5
 21 14]","[ 8 44 31 40 41 28 43 29 12 30 19 13 27 36 15 38 21  3 26 50 47 39 24  2
  6 42 35  1 17 48 18 20 32  9 14 23 11 22 25 34 46 45  4 37  5 10 16  7
 33 49]","[39 44 21 35 28 16 41 20 38 26 32 29  2  9 45 24  4 25 17 22 14  1 27 43
 36 49 15 31 42  3 50 34 23 30 33 10 46 12 47  5 48  7  8 18 19 13  6 37
 40 11]","[26 15 27 35 16 30  7 20 36  4 29 32 50 43 38 23 18 31 14  1 45  5 28 40
  8 42 12 37 49 39 48  2 22 21 25  3 47 10 33 44 11  9 34 13  6 46 41 17
 24 19]"
"[44  5 33 12 35 48 14 26 38 17  6 47 32 41 40 23 19 36 31 34 45 13 46 16
 21 42  4 11  8 10 20 15 43 49 22 24 25  7 18 37 28 29  3  1 50  9 39 27
 30  2]","[20 24  5 45 29  3 47 38  4 15 10  8 19 16 30 42 13 26 18 35 27  1 33 41
 37 22  7 21 48 28 23 25 36 44 43 39  6  9 49 17 34 11 14 46 32  2 40 12
 31 50]","[ 6 43 17  4 39 27 50 15  9  3 24 12 21 11 16  2 31 13 41 38 44 36  8 14
 47 37 34 23 10 25  7 32 40 35 26 45 18 28 30 20 22 33 49 46 42 19 48 29
  5  1]","[49  2 29 14  8  7 40  4 26 34 25  5 42 10  9 38 45 13 47 22 36 12 50 35
  6 24 30 43 20 15 17 46 23 27  1 21 31 37 48 32  3 41 28 16 33 44 19 39
 11 18]","[10 43 14 12  4 15 25 13 45 21 47 30 28 38 39 50  3 37 11 44 31  5 26 23
  2 46 48 49  1  8 22 42  9 33 32 19 36 41 27 34 40 16  7 29 17 20 24 18
  6 35]","[22 21 15 25 35  1 23  6 32 50  2 43 11  5 16  7 29  8 42 17 30 14 13  9
 27 38 44 46  4 20 28 18 36 40 47 34 49 26 39  3 48 31 19 24 10 45 41 37
 12 33]","[39 10 13 16 18 46 47  2 37 20 15 26 22 38 24 44  9 43 32 36 21  1  5 30
 40 50 29 25 49 33 42 19 35  7 34  4 23 45 48  8 31 12  6 27 14 28  3 41
 17 11]","[ 7 43  1 22 24 47 33 45 38 34 20 18 41 48 17 29 15  2  9 23 12 27 42 37
 16 19 25 10 30 28 31 14  5 21  3 11 40 35 39 50 32 44  6 26 49 46  8 36
 13  4]","[33 16 37 45  2  9 27 26 44 34 10 25 28 17 22 38 47 19 12 15 24  7 31 42
 36  3 18 39 50 41 30  8  1 40 43 49  4 20 48 23 35 14 13  5 32 29 21 11
  6 46]","[30 26 12 34 19  2 24 16 11  1  9 36 14 40  5 27 32 20 18 31 35 37  3 38
 15 39 13 43 17 29 44 47 41 45 50 25 10 33  6  8 48  7 23 22 46 28 49  4
 42 21]","[25 31 16 49  3  5 13 45 15 37  1 23 24 43 22 27 33  9 40 20  2 28 32 41
 48 39 42  4 14 10  6 17 29 50 19 38 30 21 35 46 36  8 26 47  7 18 44 11
 12 34]"
"[45 14 46 34 37 30  3 28  7 47 39 36 32 16 13 20  5 19  8  9 50 48 44 43
 49 26 23 24 41  1 15 29  4  2 40 17 25 31 18 22 11 21  6 38 42 12 27 10
 33 35]","[18 48 46 29 41 22  1  5  3 23 24 21  9 11 39 27 42 45 34 44 38 36 31  6
 35 40 43 14 25  7 32 33  2 12 49  4 16 28 13 20 17 26 30 10 47 37  8 19
 50 15]","[15 11 32 46 50 29 18 22 36  1 49 28 38  8 48 21 12 40 34 17 35 33 24 39
 41 23 47 20  6 19 45 44 26 13 16 14 43  2 37 30 27  3  9  7 25 10  5  4
 31 42]","[48 20 22 32 13  7  1 10 26  6  4  5 40 17 44 33 41 50 39 45  9 16 14 27
 38  3 18 42 46 12 23  8  2 37 31 29 47 49 28 36 15 30 19 21 43 34 25 35
 24 11]","[24 44 19 45 17 46 49 32 33 37 50  9 31 27 12 47  5  1 21 11 13 30 34  7
 41 25  6 14 35  3 10 36 39 40 29 38 42 28 48 18 20 23 15 43  8 22 26  2
  4 16]","[47  9  5 10 42 48 30 31 50 46 12 18 39  7 14 11 41 37  4 44 29 23 28 24
 32 49 16 45 15  8 17 33  1 19 20  2 25 34 43 35 26  6 36 27 38 22 21  3
 13 40]","[50 47 18  7 17  2  4 40 37 32  8 26 19 23 30  1  5 31 41 49 38  6 43 14
 44 42 29 25  3 27 11 36 34 33 46 15 35 48  9 16 28 12 21 45 10 13 24 20
 39 22]","[19 44 43 38 47 49 27 39  2 24 42 13 20 12 41 25  1 37 15 16 36 11 18  4
 17 48 28 31  8 35 45 32 29 22 46 33 14 21 26 40  3 50 30  9  5  7 23 34
 10  6]","[48 25 45 24  9 32 33 16 47 10 21  7  6  8 20 30 35 19 22 15 14 43 41 31
 38  1 11 49 42 27 50  5  2 29 13 26 37 39 44 28 46 18 40  3 12 34 23  4
 17 36]","[33  6 38 48  1  8 27  4 16 10 20 50 18 35 28 31 21 26 46 44 12 19 41 13
 45 22 25  3 49 11 32 37 42  9 36 30  5 23 15 39 29 17 14 43 47 34  7 24
  2 40]","[ 6 47 18 43 26 40 20 15  4 24 45 44  7  3 21 38  5 36 25 32 19 10 29 48
 30 41 28 46 16 13 12 23 34 14 33  2 17 27 50 31 42 37 49 35  1 39  8 22
 11  9]"
"[ 3  8 30  7 24 31 32 23 34  1 14 16 15 17 22 43 37 38 47 28 40 44 29 39
 41 20 33  2 18 21 12 25 35  6 19  9 50 10  5  4 48 11 49 13 26 36 45 42
 27 46]","[11  5  3 28 15 40 29 34 41 16 45 36  6 19 13  2 22 32 27 46 10 37 39 42
 31 26  7 14 17 48 18  1 33 50  8 12 44 38  4 49 43  9 25 47 35 23 24 20
 21 30]","[30  8 12 27 20 11 35 26 18 49 25 29  5  2 44 23 21 45 17  3 41 43 19 33
 34 10  1 46 15 36  4 48 39 47 42  9 22 16 28 38 31 37 13 40  6 14 50  7
 24 32]","[10 16  3 41  6 28 17 45 46  7 44 11  1 14 33 40 23 21 29 18 50 39 47 15
  2  9 43 30 22 19 34 36 49  8 12 13 26 38 35 37 25 42 24 48 20 31 32  5
  4 27]","[ 7 25  3  4 45 48 15  6 19 21 14 22 30 38 44  5 29 16  1 41 34 36 23 50
 11 42 27 32 35 26 49 24 33 43 37 10 12 31 13 18 47 28  8  9 39  2 40 20
 46 17]","[15 17 35  8 28  1 19 30 24  2 33  5 49 50 41 43  7 34 45 44 39 38 21 22
 47 13  6 10 14 37  3 32 25 27 46 42 26 18 11 40 23 12 20 29 48 36  9 16
  4 31]","[ 7 41  2  3 25 32 45 26 36 50 14 27 39 42 11 19 46  9 38 47 23 44 35 24
 13 43 29  8 30 20  5  1 49 33 37 21 34 28 17 40 16 22 18 12 10 15  6  4
 48 31]","[18  8 20 31 33 48 41 30 35 46  7  5 22 47 40 16 27 25 49  2 43  9 21 39
 37 32 13 36 28 12 17 44 29 15 11 45 50  3 19 42 23  4  1 34  6 38 26 24
 10 14]","[ 5 22 33 28 20 40 17  8 11 37 31 27 16  4 25 10  7  2 19 45 12 36 38 35
 18 15 26 14 13 24 49 23 30  3 39  9 48 46 47  6 44 32  1 29 43 34 50 41
 21 42]","[45 43 35 13  4 21 15 48 27 46  5  7 26 18 37 16 41 30 12 38 44 20 14 25
 19  8 39 28 11  2 42 50 33 49 10 24 31 23  9 34 40 32 22  1 36 47  6 29
 17  3]","[ 6 50 21 16 12 49 38 26 39 31 40 29 44 37  4  3 28 10  2 19  5  9 46 23
 25 24 41 30 11 48 32 33 15 34 35 18 17 27 47  8 14  7 13 22 45  1 42 36
 20 43]"
"[21 19 11  9 33 48 27 20 22 12 46  8 34 10 39 15 31 42 25 49 23 45 14 16
 50 18 24  7  5 37 29 40 36 28 43  3  1 26 47 44 38 41 30 17 32  6 13  4
  2 35]","[18 17 21 41 36 14 44 22 37 43 12 30 28 35  9 25 32 46 11  5 26 40  3 49
 10 39 31  6  4  1 15 20 38  2 24 42 48 23 34 47 29  7 33 27 45  8 16 50
 19 13]","[16 44 46  5 21 18 24 28 15 12 34 31 25 42 26 45 36 48 49  1 50 19  7 47
  3 33 35 20 30 14 41 11 38 39 13  2  6 22 29 37 43 27 32  9  8 10 40  4
 23 17]","[29 48  9  7 41 33 10 46 24 28  2 18  4 50 36 23 20 42 49 34  8 13 25 14
 40 17  6 35 19 15 47 16 26 45 21 30 31  5  1 32 38 27 44  3 22 43 11 39
 12 37]","[13 50  5 49 46 42  8  7  3 28 31 16 17 22 25  2  4 41 30 20 44 33 48 11
  1  9 23 32 34 15 45 37 24 26 40 38 27 12 39  6 47 43 35 29 14 10 18 21
 36 19]","[15 35  6 36  3 28 43 25 20  5 49 17 31 27 44 19  9 47 40 26  4  2 46 16
 14  7 41 21 42 37 32 48 38 34 30 50 12 33 23 29 18  8 45 13 11 22  1 10
 39 24]","[24 35 48 19 15 20  8 18 22 29 30  9  2 38 10 34 32 11 43 28 21 16  7 44
 25 46 31 14 37 33 26 12 40 27 23 47 13 41  6  4  5 50 39 42 36  3  1 45
 49 17]","[16 35 42 48 27 47 50 29  1 23  3 22  7 39 45 32 34 40 30 11 38 13 28  9
  5 49 24 46 33 26 15  6 44 41 43 21 37 17 36 31 25 12 14 20  2 10  4  8
 19 18]","[ 4 24 44 46 10 39 20 47 33  5 23 11 37 38 16 41 32 29 49 36 30 43 27 42
 40 25 12 28 34 14 17 18  2  7 13 35 26 50  3 19  9 21 45  1 48 22 31  6
 15  8]","[ 5 30 42 28 19 44 27  6 49 47  1 26  8 36 43  2 37 46 12 15 13 22 32  4
 38 14 18 34 33  7 41 20 48 39 25 11 16 23 50 40  3 17 45 24 31 10  9 21
 35 29]","[44 10 14 48 38 35 29  6 24 33 27 13 11 39 16 37  5  8 34 15 47  1 19 40
 28 41 42 36  2 20 32 21 45  7  4 12  3 22 25 30 49 31 43 46 18  9 26 17
 23 50]"
