benchmark
"[ 12  57  50  28  33  92  23  39  18  58  88  61  42  41  29  51  78  45
   8  14  63  37   3  64  79  21  31  30  20  69  98  94  71  70  46  27
  11 100   1  32  19  62  89  67  96  22  17  75  95  86  99  56  38  81
  80  16  54  36  73  72  47  13  40   2  59   5   9  83  60   7  90  65
  52  87  77  24  43  25  34  91  66  76  49  68  26  93  15  74  55  84
  97   6  82  44   4  53  35  85  48  10]"
"[ 53  38  59  40  34  12  75  72  90  91  41  80  25  45   3  24   1  47
  15  97   8  61  83 100  74   4  13  82  26  69  35  39  36  33  88  55
  42  32  73  84  86  43  76  29  58  98   6  17  14  30   7  79  89  21
  95  50  63  20  49  56  70  46  51  85  44  18  22  57  71  48  81   9
  27  93   5   2  78  87  10  23  52  68  64  11  16  96  99  31  94  19
  54  65  92  66  67  28  37  62  60  77]"
"[ 26  95  36  42  48  31  30  17  69  19  29  33   5  57   6  13  16  58
  50  75  72  96  99  91  24  88   4  90  15  64   2  60  76  81  80  23
  27   1  28  12  70  20  38  25  32  62  46  93   8  73  18  61  14  82
  40  84  97  43  74  79  78  56  37  68  54  52  55  39  35  87  53  10
  51  83   9  65  67  92  49  66  45  98  85   7  59  89  41  94  86  34
 100  77  44  47  21   3  71  22  11  63]"
"[ 30  73  88  66  36  23  79  64  45  43  41   4  17  81  21  68  92  22
  71  44  14  84  19  55  10  61  40  28  26   9  33  63  96  56  29  12
  98  51  11  67  80  39  82  62  99  85  27  70  74  83  18  49 100  47
  77  78  37  97   5   8   6  54  76  86  72  91  20  89  53  60  15  46
  75  58  42  90  32  93  38   1  24  16   2  35  65  94   3  31  69  34
  87  95  25  52  59  50  57  48  13   7]"
"[ 70  26  21  34  39  56  58  60  31  95  12  27  18  10  17  93   7  42
  24   2  13  50  76  88  61  46  83  85  45   3  23  47  75  78  79  35
  32  25  14  11  89  19  48  22 100  74  69   1  71  65  62  16   8  91
  30  97  20  57  64  92  96  54  55  51  59  15  72  80  41  38  98  68
   5  44  67  77   6  94   4  37  66   9  87  84  52  28  90  63  81  43
  29  99  49  82  86  40  53  73  36  33]"
"[ 33  38  20  89  23  48  24  47   9  85  14  41  94  31   4  39  79  45
  71  11  10   5  13  95  75  15  43  96  90  91  26  42  54   3  66  44
  17  93  36  84  19  22  62  87  74  60  80  61  35   6  37  67  16   1
   2  25  55  65  49  40  98  29  59  34  69  88  21  76  83  52  63  68
  86 100  12  46  73  56  58  99  72  32  18   8  64  51  50  81  92  77
  78  97  70  57  82   7  30  53  27  28]"
"[ 38  18   7  69  29  61  39  64  24  68  34  43  31  59  42  14  26  35
  20  94  78  54  25   5  36  56  95  55   2  82  47  37  45  74  98   8
  66  81  92  21  51  49  22  11  32   4   3   6  52  27  33  67  85  16
  23  15  19 100  40  87  50  58  62  91  77  97  84  48  89  57  46  44
  88  30  63  13  71  41  72   1  75  60  70  73  96  83  53  76  93  65
  10  86   9  12  79  90  28  80  17  99]"
"[ 32  79   6  71  80  35  90  43  58  37  85  91  89  22  82   5  52   9
  78  39  16  17  69  76  48  13  21  30  66  73  12  29  54  93   7  68
  53  23  84  50  28  77  26  95  20  41  38  42  11  14  55  31  24  65
   3  60  92  46  51  70  81  62  83  44  61  10   1  75  64  86   4  56
  15  27  18  88  99  33  49  98  94  74  36  40  25   2  97  59  63  57
  47  67  96 100  72   8  19  45  34  87]"
"[ 19   9  41  97  78  15  92  22  16  39  65  47  54  77  76  91  56   8
   6  17  79  55   4  12  32  58   5  90  69  46  68  45  25  75  50  18
  43  42  10  96  88  83  35  67  23  82  93  72  80  29  30  37  26  52
  70 100  44  94   1  40  24  31  13  89   2  36  59  73  85  20  11  98
  57  86  33  51  62  27  34  66  87  60  21  84  63  95  81  71  49  53
   3  48  38  61  99   7  14  28  64  74]"
"[ 51   7  11   8  87  37  36  94  41  60   5  86  84  48  75  10   3   9
  20  68  30  18  26  31  76  12  63  57  90  14  82  49  91  47  95  93
   6  45  77  38  34 100  67  54  62  65  33  16  35  23  29  50  28  71
  25  73  78  59  32  24  39  42  99  22   1  61  21  27  83  44  55  58
  17  70  85  56  88  52  13  81  74  66  19  92   2  40  46  53  98  43
  97  72  69  15  64  89  80  96   4  79]"
"[ 84  55  29  82  34  75  51  50   9  85  19  24   7  35  88  99  83  66
 100  40   6  45  38  94  91  72  95  46  10  14  44  39  53  16  22  47
  11  79  15  37  20  26  54  64  49  48  98  63  73  87  21  18  68   8
  23  28  59  52  27  96  86  71  61  89   3  62  77  92  67  57   5   2
  13  69  76  65  78  80   4  41  97  31  42   1  43  74  30  70  81  25
  93  90  32  12  60  56  33  17  36  58]"
"[ 44  42  34  69  20  96  22  17  50  61  87  66  99  10  37  31  11  63
  45 100  83  97  52  27  46  72  75  58  89   4  95  70  49  25  79  90
  60   7  18  23   8  77  16  65  57  56  29  19  35  64  21   1  71  55
  78   5  12  88  26   2  62  41  94  33  68  32  86  80  76  36  81  24
  30  82  74  73  51  28  13  40  38  43  48  59  85   9  47  15  14   3
  54  98  39  92  67  53  93  91  84   6]"
"[ 73  70  84  88  11  24  86  68  60   1  69  14  56  28  50  36  55   7
  48  12  93  81  92  83  32  95  77   2  18  45  51  62  25  35  47  42
  72  80  53  71   8   3  21  61  31  98  40  87  66  96  41  75  44  23
  57  79  74  90   9  34  59  19   5  10 100  94  39  43  20  22   4  26
  16  52  76  63  54  49  46  65  85  82  27  13  64  29  37  58  89  99
  91  97  33  38  67  30  17  78   6  15]"
"[ 96  11  47  41  16  90  56  43   8  52  25   4  36  18  39  35  84  60
  42  14  48   6  20  34  63  50  73  49  33  58  75  15  66  87  10 100
  88  67   3  92  32  13  53  97  45  23  70  19  68  86  55  26  89  83
  54  82  27  37   2  31  85  62   1  77  98  28  46  69  74  29  51  22
  65   9  61  93  38  40  99   5  80  79  44  95  17  71  12  64  59  57
  30   7  94  21  91  81  76  72  78  24]"
"[ 10  39   8  24  38  51  75  20  14  69  37  73  34  25  23   6  29  85
  49  21  12  92  74  59  31  99  53  27 100  83  61  64  87  71  78  30
  91  42  60   5  58  81  88  44   9  82  76  46  93  15  94  45  90  95
  89  65   4  32  28  13  72  43  79  62  22  40  68  19  70  77  18   2
  54  55  84  26  63  47  97  50  80  66  48  67  17   7   1  98  11  41
  56  16  96  35  57  86  33   3  52  36]"
"[ 70  54  60  19  62  14  56  96  81  73   4  38  53  72  75  58  18   6
 100  57  21  13  44  15  99  32   5  59  27  95  98  29  52  41  50  28
  40  39  94  89  49  37  65  26  45  93  83  25   3  36   2  67  63  80
  23  82  69   1  87  43  55  92  31  33  17   9  66  22  97  10  51  16
  11   7  30  88   8  47  12  42  85  74  79  20  35  77  61  68  91  76
  84  90  48  24  46  34  71  64  78  86]"
"[ 62  92  22  39   8   4  20   2  55  66   7  67  44  32  40  95  65  48
  19  64  16  50  41  14   9  69  21  83  99  45  47  61  27  23  51  18
  56  57  75 100  13  58  37  33  76  54   1  25  93  98  74  80  94  79
  38  82  26  46  72  31  90  97  89  24  71  59  91  36  77  30  28  34
  49  35  85  87  52   5  73  78  70  53  86   6   3  12  81  60  96  29
  42  63  11  15  17  88  84  68  10  43]"
"[  9   6  21  84  43  32  17  52  86  34  44  23   2  33  61  71  51  42
  10  18  70  62  55  14  54  89   3  58  75  13   4  57  38  90  68  31
  98  36  24  11  19   8 100  40  78  53  79  22  20  74  82  88  60  28
  81  37  92  56  12  46  69  48  64  41   5  27  59  94  66  77  45  67
  72  95  87  91  73  93  96  83  16  35  76   1   7  15  26  47  39  65
  29  25  63  30  85  97  80  99  49  50]"
"[ 74  13  63   4  33  38  66  59   7  89  40  29   8  73   5   6  69  67
  51  92  42  27  55  78  36  58  94  61  41  88  82  64  46   9  93  56
