benchmark
"[10 17 13 14 28 25 36 27  1 20 40 26 29  3  6 31 12 18  5 22 32 16 37  2
 35 46 45 43 44 15 34  9 30 38 41 24 21 39 47 50 11 49  8 33  4 19 23 42
  7 48]"
"[21 46 37 26 35 11 10 47  4 15 13 50 43 24  2 48 29 31 36  9 39 45 12 40
 34 17  1 44 18 49 30 33  5 28 16 22 20 23 19  3 27 25 41  8 38 32 14  7
  6 42]"
"[48  3 34 35 19  8 31 10 39 17 30 29 20 50 27  4 49 47  2 42  1  6  7 36
  9 28 22 40 45 23 18 38 46 37 15 11 16 14 21 32 12 44 41 24 13 25 43 26
  5 33]"
"[45 35 30 40 12 15 38 48  3 31 39 23  8 43 49 24 36  4 33  5  2 19  6 21
 44 47  7 22 16 27 37 34 32 13 18  9 46 41 42 25 10 28  1 14 11 17 20 29
 26 50]"
"[10 50 26  3 48  4 45 35 46 12  9 20 49 18 25 33 47 34 39 17 32 37 41 27
 23 22  1 24 30 38 11  8  6 13  2 31 42 28 29 43  5 14 40  7 44 36 21 19
 16 15]"
"[31 22 42 48  1 34 12 49 46  3  6  5 20 29 17 27 15 19 26 37  4 10 36 11
  8 47 21 30 35 44  7 16 18  9 14 43 50  2 38 41 32 25 45 40 13 39 24 28
 23 33]"
"[32 12 17 15 14 39 36 18 16 43  6 33 27  5 41 13 22 42  3 46  8 29 40 24
  2  7 31 20 11 44 30 47 28 23 35 10 50 34 25 26 45 49 19  9 48  1 37 38
 21  4]"
"[ 8 41  3 32  5 26 12 48 35 46 19 28 44 47 50 29 37 25 24 27 16 38 22 49
  6 45 43 23 33 14  7 18  9 42 40 13 15 39 10 31  1 17 30 34  4  2 21 11
 36 20]"
"[31  1 39 17 36 42 28 29  4 33  9 24 44 22 32 15  5 47 14 46 27 45 25 19
 23 21  6 12 43 49 10 13 20  2 34 38 50 18 41 35  3 40 30 26 11 37  7 16
  8 48]"
"[35 17  7 48 12 47 38  1 15 22 13 30 25 34 41 50 36 26 28 11 43  9 23 24
 40 49 32 29  5 45 39  8 19 46  2 42 16 14 18 33  4  3 27 44 31 10 21 37
  6 20]"
"[49  4 30 26 45  7 18 24 19 41 43 14  2 20 46 15 21  1 38 42 50  6 37 22
 17 48 27 35 47  5 40 13  8 34 16  9 36 44 10 23 39 29 11 31 32 33  3 25
 12 28]"
"[38 12 10 22  9 46 11 25 31 42 39  3 44 33 23 21  5 49 47 37 43 48 35  1
 24 50  2 29 13  8 32 36 45  4 15 40 30 34 41 20 16 14 17  7  6 27 26 18
 19 28]"
"[42 28 41  1 36 35 23 13 10 45 46 25 29 12 17 27 20 14  5 50 43 40 32 19
  4 31 21 22 16 15 49 11 39 38 26 24 44 33 30 18  2  6 37 34  7 47  3  9
  8 48]"
"[13 47 29 16 41 28 23 42 38 20 36 25 49 17 40  7 14  9 45 15 48 11 26 37
 19 22 27 30 34  3 24 10 46 32 50  6  8 35 18 43 44 12  1 39  2 31  5  4
 33 21]"
"[28 23  8 11 16 19 29 49 50 18 32 22 41 35 43 30 24 38 47 25 39 21 10 46
 34  1 14 26  7 33 44 12 48 27 31 15 40  6 36  5 20  2  3 42 37 17  9 13
  4 45]"
"[11 46 37 24 19 50 36  5 34 26 14 23  3 39 20 42 35 25 32 17 15  4 28 21
 40  2 33 45  8 16  7 43 38 13  6 31  9 49 30 29 10 47 12 41 22 44 48  1
 18 27]"
"[42 13  6 36 16 35 23 12 21 22 43 17 50 39 28 37 27 11  4 25  9 32 45  5
 18 46 24 19 44 30  2 15 14  7 40 33 49 31 34 38 29  1 48 47 10  3 20 26
  8 41]"
"[10 48 28 21  9 49 40 20 33 22 50 46 43  3 44 27 36 26  1  4 11 25 16 23
 13  8  6 35  7 32 41 29 30 42 17 24 15  2 19 12 38 45 31 14  5 18 37 39
 34 47]"
"[46  3 21 19 45  7  8 49 36 22 24  4 48 23 30 11  9 10 26 35 13 42 12 40
 15 34 14 18 41 44 39 33  1 25 28  6 20 43 29 47  2 16 27  5 32 37 17 38
 50 31]"
"[12 49 25 29 36 43 14 11  4  3 45 30 24 39 23 42 26 17 21  1 16 33  6 15
