maint_len_H
[13 20 11 10 17  5  3  6 18 15 14  4  9 12 16  7  2 19  1  8]
[18  9 11  2  4 17  3 19  1 20 13 16 10 15 14  8  5  7 12  6]
[14 12 11 18 16  9 20  3 15  8 19 13  4 17  5  1  2  7  6 10]
[19  1 10  4  3  5 17  6  9 15 11  2  7 13 14 20 18  8 16 12]
[17  9  3 10 11  6  4  8 20 13 19 15  7  2 18  5 16 12 14  1]
[ 3  6 13  9  1  7 14  8  4  2  5 15 16 12 17 19 18 11 20 10]
[16  2 19 18  8 13 12 15 11  3  9 14 17  5 20  7  4  1 10  6]
[16 13 18  4 17 14 12  7  2 15  9 19  3 11  6  8 10  5 20  1]
[17 11 20  1 12  2 18  3 15  8 13 10  7 14  5  9  6  4 19 16]
[12  5  3 20  9 10  2  6  8 13 18  4 17  1 11  7 14 16 19 15]
[15  9 13 19  2  8  4  1 17  7 11 10  6 18  5 16  3 20 14 12]
[ 7 14 11 15  8  3 18  4  9  1  2 16 19 12  5 10  6 13 20 17]
[ 7 14  3 13  9 11  8  2  6 15  4 16  5 17  1 10 12 18 19 20]
[10 11  8 18  4  6 14  5 13  1  3 15  7  9 19 12 17 20  2 16]
[19  3  1 10 11  9  4 15 13  6 12  7  8 18 17 14  2  5 16 20]
[ 6 15 11  4  2 10 20 12  9  7 14  1 17 19 18  3  5  8 13 16]
[ 1  9 17  7 10 20 19 18  5 13  8  2  4  6 16 14  3 11 15 12]
-1
[20  2  6 19 10 15 12 18  5  8  3 13  4 16 14  7 11  1 17  9]
[10 20 16 13  1 17 14 19 18 12  3  7  8  4 11 15  9  6  2  5]
[16  9 11  3 13  8 15  6  4  5 20 10  7 12 14  1 19 17  2 18]
[15 19 18 13 16  8  7  3  6 10 20 14  2 12  5 11  4  1  9 17]
[17  7 10 12  8 20 15  3  6 13  1 14 18 16 19  5  4 11  9  2]
[ 1 20 18 14 11 19 16 15  4  7 10  2  5 12  3 17  8  6 13  9]
[ 8 12  4 20  7 17  9  6  1 15 14 19 13 16 11 18 10  5  2  3]
[14 17 20 12  3 15  9 16 19 10  7  5 13  8  6 18 11  1  2  4]
[20 17 13  6  8 15  2 11  4 10  1  9 18 19  7  3 12  5 16 14]
[15 20  5  4  2 11  1 13 17 16  9  6 14 19 18 12  8  7  3 10]
[ 4  6  2 18  3 17  9 11 19 10 12 15 20 14  7  8  5 13  1 16]
[17 11  7  9 20 14 13  8 16 15  3  2  1  5 10 19 12  6  4 18]
