maint_len_L
[ 9 16 18 10  1 15 11  5 12  2  4  8  6 19  3 17 13 14 20  7]
[ 8  2 14 19  4  7 12 18  3 20  9 15 13 10  1  5 16  6 17 11]
[ 9 18  2  4 17  7 12 19 20  6 16 13  3 11  8  1 10  5 15 14]
[16  4 15  3  9  2 17 19 14  7  1  5 20 11  6  8 13 10 12 18]
[15  7 20 14 11  1 18  2 12 16 13  6  8 10  3  9 17  5  4 19]
[ 7  2 19 18  8 11  4  6 20  1 17  5 13 14 10 12  9 16  3 15]
[ 2  8  5  9 18 13  3 20 11 14  6  1 17 19 12 10 15  4 16  7]
[ 2 20 18 14  9  4 19 13 11  8 16 17  3  1  5  6 10 12  7 15]
[ 9 12 19  7 16  6  4 14 11  2 10 17 18 13 15  3  8  1  5 20]
[13 11  6 20  7 10  8 15 16  1  2  5  4  9  3 12 18 17 19 14]
[ 4 17  9 18  1 15  5  7  6 20 14 10  3 13 11 16  2  8 19 12]
[ 8 14  2 11  9 18 20 10 15 17 19  3 12 16  1  4  6  7 13  5]
[13 14  7 11  8 18  3  1  6  5  4 19 16 15 17 12 20  2  9 10]
[ 3 16 15 20 13 10 17  4 19 12  5  8  2  1 11  9  6 18 14  7]
[ 8 14  7  5 20 11  4  9 17  1 16  3  6 12 10  2 18 15 13 19]
[ 8 14 15 17 16 13 18  3  7 20 19  5 12  6  2  9 11  4 10  1]
[ 4  1  9  5 10 11 20 13 19  2  7  8 15  3 12 18 16  6 17 14]
[16 13 11  5  6 17 19  1 10  2  3  9 15  4 20 12 18  7  8 14]
[ 8  7 12 19 11  9 20 15 14  5  6 13  1 10  4  3 17 18 16  2]
[11 20  3 13 14 12  4 10  2 16 15  5 17 18  7  9  8 19  6  1]
[ 9  2  4  3 12 10  7  1 11 15 20  5 18 17  8 16 19 14  6 13]
[17 13  4  5  7 18  8  6 11  3  2 10  9 12 14 19  1 16 15 20]
[ 8 13  9 17  3 15  2  7 19 16 14  6 12  4 10  1 20 11  5 18]
[ 3 11  4 13 17  6 16 14 18 19 15  8 10 20  2  5  9  1  7 12]
[ 7 14 20 13  4  3 18 15 12 16  8 19  6  5  2 11  1  9 17 10]
[12 14  3 13 17  5 16  7 19  8 11  2  1 18 20  6  9  4 15 10]
[ 7  8  9 16 13  1 12 18 11  2 14  3 15  5 19 10  4 17  6 20]
[11 15 13 19  2 18  6 16  4  8  1 14 12  7  3  9 10 20 17  5]
[20  3  5  6 17  7  2 18 12 10  4 11 14 15  1  9 13  8 16 19]
[15  6  3  9 19  5  4 10 14 11  7 20 13  1 16 18 17 12  2  8]
