due_time_L,due_time_H
"[[9767.472219631616, 7752.476967200137, 7597.707677066059, 7519.853170036889, 7455.292558522352, 7402.770172318754, 7389.555962922282, 7376.713108076886, 7371.453249090384, 7367.244203127384, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034, 7367.185324715034]]","[[1770.0690762223057, 453.88927972069655, 376.8754413514657, 301.428727182792, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698, 287.7523254694698]]"
"[[1718.9020868266366, 1305.0087943785315, 1252.25213397257, 1237.4158997083086, 1222.2260277324872, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235, 1208.3513910878235]]","[[1338.632583650758, 1122.937613618497, 917.2471423943963, 726.3357297507753, 686.7176153415267, 659.0620257827447, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168, 650.3877909689168]]"
"[[2835.0178256987174, 2495.7704520556877, 2377.241781671319, 2308.437149946203, 2283.3378653267905, 2262.2387681964588, 2253.34608854573, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157, 2250.1949661131157]]","[[384.58946253901007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[2554.426985853658, 1631.52862012368, 1611.4019309205632, 1583.4596010627492, 1565.420290273509, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913, 1544.8843924596913]]","[[1996.2433368760153, 753.9579567597468, 661.0352513964018, 577.2367067994799, 494.9919373131037, 478.41899629510266, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626, 474.2015093943626]]"
"[[5269.612409832425, 4719.177658834932, 4688.2361344248, 4677.883930559402, 4672.148223324009, 4652.0739781611865, 4651.122282382137, 4650.358873743931, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753, 4649.761290094753]]","[[429.6291617811116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[7352.562190547281, 6835.913767814236, 6776.943190479247, 6726.530846384307, 6682.00236628474, 6660.338329153605, 6641.057806561161, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432, 6634.550957349432]]","[[3893.466318942889, 1398.040702350585, 1218.4388810829864, 1035.2398374169543, 798.7598609097073, 719.7030865146803, 663.5239335500012, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047, 625.149226375047]]"
"[[10520.759027053546, 8500.17951945045, 8445.042848604742, 8416.04667971002, 8396.180574623177, 8382.797677142824, 8376.75538318458, 8371.491770958615, 8366.249385842366, 8364.015511282954, 8363.00380818461, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804, 8362.128753231804]]","[[1448.8087800388964, 128.54001782520658, 57.127480912451674, 41.655307736366986, 9.656921682241459, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125, 9.65692168224125]]"
"[[12093.145602257056, 9615.274323897514, 9571.158134543992, 9544.687038905397, 9534.606077583378, 9527.424687039009, 9509.066363933418, 9502.862646078842, 9499.021596332499, 9495.955763131615, 9493.028919757355, 9492.530023623982, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775, 9492.194741779775]]","[[94.4226300252439, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[3749.776643882343, 2920.893419454399, 2902.7109755200695, 2884.572984982127, 2865.146764975465, 2847.95646986857, 2833.057304921972, 2830.2445262391543, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434, 2828.8397895284434]]","[[567.2775226750097, 385.3845005704486, 274.02679731722503, 180.92572052857153, 139.70898415830408, 68.20529194500172, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406, 52.0612144829406]]"
"[[7491.135096133086, 5617.955942329354, 5520.63985767658, 5451.993153611347, 5395.758928371007, 5358.268529429523, 5325.259091917428, 5300.296371164801, 5278.682479225277, 5257.209808022048, 5235.342944018557, 5229.567732248889, 5224.532425579193, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545, 5221.0426807072545]]","[[2682.8629088327048, 1121.783193117362, 1029.0574843712718, 960.6800154550392, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445, 921.708408605445]]"
"[[8665.830008710585, 5992.814189105685, 5969.519665330838, 5947.019203496087, 5915.7491714379585, 5906.8699902820335, 5900.924370259587, 5899.047599192635, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361, 5897.702974074361]]","[[817.6921438914134, 46.98562381433173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[10967.221587330767, 5116.031888560761, 5039.811177588313, 5007.236851984331, 4957.668791392509, 4938.428886615389, 4928.808953528747, 4923.878632334978, 4909.6551891149975, 4902.790511530954, 4898.924210913284, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024, 4896.987156940024]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[6665.131056680288, 5087.638575253369, 4984.958931166887, 4900.879008375909, 4802.642580778108, 4693.8287742171915, 4640.714797637274, 4614.805519075152, 4601.925841004551, 4590.57555298219, 4583.80426395819, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323, 4581.70981254323]]","[[224.57028043715005, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413, 26.907283048532413]]"
"[[6675.1068428607105, 6428.432943136513, 6375.673903441502, 6342.650160484388, 6315.230367239384, 6292.358887217403, 6268.654148924281, 6239.973247178346, 6196.1020551242245, 6181.911807286462, 6170.944453060434, 6162.311681305799, 6153.842453387035, 6142.868312411551, 6134.851015588036, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785, 6132.0095046035785]]","[[2085.6124881393403, 947.8513555870759, 816.002853428806, 780.5989279228883, 745.6810726555581, 733.7615126598564, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946, 732.7934432195946]]"
"[[3708.659792327632, 3663.5611540206255, 3645.1863032212427, 3630.3439131041237, 3618.3072924691555, 3609.5169177936955, 3604.156693262489, 3604.156693262489, 3604.156693262489, 3604.156693262489, 3604.156693262489, 3604.156693262489, 3604.156693262489, 3604.156693262489, 3483.812520001708, 3427.1885610018458, 3379.8363260356746, 3363.8213135501455, 3355.8941354124427, 3333.8844121442685, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698, 3331.449792642698]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[8170.290267768411, 4520.214913529738, 4484.834443992939, 4456.178489630809, 4430.842259721584, 4413.958117352633, 4391.972744709508, 4377.309374154223, 4368.29928063708, 4363.48633447182, 4362.148840884908, 4360.903751670471, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834, 4347.648711243834]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[2653.755877718887, 2149.7838303939056, 2114.896438342517, 2079.288169195276, 2070.1671809744767, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186, 2064.9321739035186]]","[[218.27104457493877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
