due_time_L,due_time_H
"[[9767.472219631616, 7752.476967200137, 7597.707677066059, 7519.853170036889, 7455.292558522352, 7402.770172318754, 7389.555962922282, 7376.713108076886, 7371.453249090384, 7367.244203127384, 7367.185324715034, 7367.244203127384, 9645.02753670633, 7770.648111384924, 7783.462901908305, 7747.1843212666445, 7943.570806035839, 7947.782349100369, 10048.703829572965, 7841.492049744858, 7711.551951203337]]","[[1770.0690762223057, 453.88927972069655, 376.8754413514657, 301.428727182792, 287.7523254694698, 287.7523254694698, 1118.6650359150199, 801.7054624229648, 1099.0921529477705, 953.1103553452019, 2986.8884430796024, 1089.4520028345378, 1792.1871189816022, 910.0548016062205, 1895.8068904726913]]"
"[[1718.9020868266366, 1305.0087943785315, 1252.25213397257, 1237.4158997083086, 1222.2260277324872, 1208.3513910878235, 1208.3513910878235, 1776.2198959400307, 2949.183038864351, 1768.1077522693115, 2348.4903557746948, 1828.9213284207406, 1617.9514541156705, 2819.2570768612854, 1852.5979203843208, 1663.74394240237]]","[[1338.632583650758, 1122.937613618497, 917.2471423943963, 726.3357297507753, 686.7176153415267, 659.0620257827447, 650.3877909689168, 650.3877909689168, 2053.885878860322, 1289.718159602809, 1876.23328759966, 939.6138383602564, 1588.7175439636976, 1680.1565890549718, 1404.2264081354144, 1476.6678373071381, 1321.0836183852118]]"
"[[2835.0178256987174, 2495.7704520556877, 2377.241781671319, 2308.437149946203, 2283.3378653267905, 2262.2387681964588, 2253.34608854573, 2250.1949661131157, 2253.34608854573, 3098.316865282555, 2841.5865183868245, 3679.9127292376043, 2911.242541452775, 3141.3172350930276, 3164.678494402202, 3226.162907457717, 2985.648610610614, 4402.518275933375]]","[[384.58946253901007, 0.0, 0.0, 672.9916380487008, 78.94371749610713, 327.02597841369226, 352.3390266999449, 149.27245086981978, 0.0, 260.22541572637186, 189.07642079050464, 682.6181700963184]]"
"[[2554.426985853658, 1631.52862012368, 1611.4019309205632, 1583.4596010627492, 1565.420290273509, 1544.8843924596913, 1549.328436313627, 2490.863777962273, 2403.1654940883595, 2427.711615710255, 1936.527726138938, 2341.8489851754175, 3612.4612898965597, 1935.484947146348, 2576.351331474241, 3195.4321597925714]]","[[1996.2433368760153, 753.9579567597468, 661.0352513964018, 577.2367067994799, 494.9919373131037, 478.41899629510266, 474.2015093943626, 474.2015093943626, 1326.588781666705, 1337.8532721180068, 1720.9362257998719, 2861.632465028195, 1202.5692734648674, 2183.0205917563835, 1298.063341624738, 1665.8706224963184, 1247.5521511651425]]"
"[[5269.612409832425, 4719.177658834932, 4688.2361344248, 4677.883930559402, 4672.148223324009, 4652.0739781611865, 4651.122282382137, 4650.358873743931, 4649.761290094753, 4650.204855450134, 5136.396420518992, 5161.756633532266, 5532.191084261464, 5387.792253234364, 6223.731793152517, 5416.492573367987, 5146.733422969529, 6674.583581960317, 5379.828674031594]]","[[429.6291617811116, 0.0, 0.0, 744.5027005965444, 465.89414576692474, 88.6186329433419, 372.3881562645716, 91.85866953675905, 441.85273346017414, 236.56180257452155, 122.43621849144158, 147.40394907322167]]"
"[[7352.562190547281, 6835.913767814236, 6776.943190479247, 6726.530846384307, 6682.00236628474, 6660.338329153605, 6641.057806561161, 6634.550957349432, 6635.253346414465, 7337.592517878535, 7234.22201677057, 7189.57446511475, 8319.02868931232, 7560.369840196223, 6939.466533683997, 6789.202955386834, 7390.65822253262, 7098.670399695613]]","[[3893.466318942889, 1398.040702350585, 1218.4388810829864, 1035.2398374169543, 798.7598609097073, 719.7030865146803, 663.5239335500012, 625.149226375047, 625.149226375047, 2115.498190908894, 1353.869539043677, 1231.9535410681162, 1475.1501727147997, 1327.5337277818444, 1867.221656404019, 2013.802944374498, 2143.0125545865703, 1926.300910203899]]"
"[[10520.759027053546, 8500.17951945045, 8445.042848604742, 8416.04667971002, 8396.180574623177, 8382.797677142824, 8376.75538318458, 8371.491770958615, 8366.249385842366, 8364.015511282954, 8363.00380818461, 8362.128753231804, 8362.277015337306, 8639.89666404319, 8484.115689750412, 9337.888160270108, 8555.47105863692, 9228.356968589464, 8664.81184098767, 9292.513086127758, 8520.77405837075, 10285.039448976147]]","[[1448.8087800388964, 128.54001782520658, 57.127480912451674, 41.655307736366986, 9.656921682241459, 9.65692168224125, 9.65692168224125, 2006.6095666410495, 567.0940018165604, 1236.3307691988975, 894.4730094232432, 1125.597134984069, 1026.8981292895828, 1298.2459837277806, 1072.3744324638749, 508.07946723765036]]"
"[[12093.145602257056, 9615.274323897514, 9571.158134543992, 9544.687038905397, 9534.606077583378, 9527.424687039009, 9509.066363933418, 9502.862646078842, 9499.021596332499, 9495.955763131615, 9493.028919757355, 9492.530023623982, 9492.194741779775, 9492.530023623982, 10222.77684414767, 11591.340497255946, 10495.090348083751, 10767.73066448491, 10346.569284816296, 11109.784868271714, 10325.459084574872, 10408.879336640455, 14284.043573563451]]","[[94.4226300252439, 0.0, 0.0, 347.0647007937197, 418.88782068570765, 82.84848353385402, 0.0, 2.8093733896282944, 198.40159144169837, 579.669156707367, 191.73097499063095, 610.6223087414778]]"
"[[3749.776643882343, 2920.893419454399, 2902.7109755200695, 2884.572984982127, 2865.146764975465, 2847.95646986857, 2833.057304921972, 2830.2445262391543, 2828.8397895284434, 2829.3958654886183, 3977.4694384013837, 3610.919388124387, 4196.980351974722, 4551.874293992726, 3308.4614786439683, 3761.136126826046, 5476.414583785778, 3503.006923016663, 3554.479040992704]]","[[567.2775226750097, 385.3845005704486, 274.02679731722503, 180.92572052857153, 139.70898415830408, 68.20529194500172, 52.0612144829406, 52.0612144829406, 1509.877843396684, 1248.9748284452187, 1266.466451849673, 686.1775763989226, 1625.9261441693402, 858.01587002439, 1432.759059407618, 989.2981824947711, 1066.6814657351824]]"
"[[7491.135096133086, 5617.955942329354, 5520.63985767658, 5451.993153611347, 5395.758928371007, 5358.268529429523, 5325.259091917428, 5300.296371164801, 5278.682479225277, 5257.209808022048, 5235.342944018557, 5229.567732248889, 5224.532425579193, 5221.0426807072545, 5221.275718961739, 7870.600222396846, 5590.375435255392, 6732.334585000844, 6258.690200669762, 7479.900207062234, 5964.971627244808, 6798.728645372694, 5763.270203012579, 5434.083831734501]]","[[2682.8629088327048, 1121.783193117362, 1029.0574843712718, 960.6800154550392, 921.708408605445, 921.708408605445, 2800.134396705852, 1890.2111383647637, 2128.4518899974023, 2359.0701832558334, 1863.6557904660103, 2095.7947720761476, 1344.4283423894058, 2965.8586537513333, 2188.3928042386387]]"
