due_time_L,due_time_H
[0. 2. 0.],[4. 0. 0.]
[0. 3. 0.],[0. 0. 0.]
[0. 2. 0.],[3. 3. 0.]
[0. 4. 0.],[0. 3. 0.]
[0. 0. 2.],[4. 5. 5.]
[ 0. 14.  1.],[4. 5. 0.]
[0. 4. 0.],[ 5. 14.  0.]
[0. 4. 0.],[1. 2. 0.]
[2. 0. 2.],[0. 2. 0.]
[ 3.  0. 14.],[0. 5. 0.]
[0. 3. 0.],[3. 0. 2.]
[ 8. 14.  0.],[0. 0. 0.]
[3. 0. 2.],[3. 1. 1.]
[ 0. 14.  0.],[ 0.  5. 11.]
[14  0  4],[0. 0. 0.]
[ 2.  0. 14.],[0. 0. 0.]
[14.  0.  3.],[12.  0.  1.]
[14.  2.  6.],[4. 8. 0.]
[ 0.  4. 14.],[6. 0. 0.]
[ 0.  4. 14.],[ 2.  0. 14.]
[0. 7. 0.],[5. 0. 0.]
[0. 3. 0.],[5. 0. 0.]
[ 0. 14.  0.],[0. 4. 0.]
[ 0. 14.  0.],[ 0. 14. 14.]
[ 5. 14.  1.],[0. 0. 0.]
[ 0. 14.  0.],[2. 0. 0.]
[0. 0. 0.],[3. 0. 0.]
[0. 0. 6.],[6. 0. 0.]
[3. 0. 2.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
