due_time_L,due_time_H
[ 8  3  1 15 11 13  7  4 14 12 10  5  2  9  6],[ 2  4 10  9 13  7 14 15 12  6  5  8  1  3 11]
[ 4  3 15  2  5 11 13 10  8  9  6 12 14  1  7],[10 15 11  9 13  8  2 12  5  1  7  3  4  6 14]
[ 9 12 11  6  2  3 14 15  5 10  7 13  4  8  1],[ 4  8 10 13  5  2  6  7  3  1 14 11 15  9 12]
[13  4 10  7  9 14 12  2  1  3 11  6  8 15  5],[11  1  6 14 13  7  2 15  3  9 10  4  8 12  5]
[12 13 11 15  7  8 10  5  3  2  6  9 14  1  4],[ 8 10 13  3  2 11  4  1  7 12 14  9 15  5  6]
[ 8  3 10  9 15  7 12  2  5  6  4 11 13  1 14],[15  1  5  6 14  2  8  4 12 10  9  3 13  7 11]
[10  6  1 15 12  7 14  2  8  3  5  9 13 11  4],[ 5 13  8  7  1  6  2 10 14  9 11 12  3 15  4]
[ 7  8 15  9  1 14  3  2 10  6  4 11 12 13  5],[ 2 10  6 11 14 15 12  3  1  9  5  4  8 13  7]
[13 12  3  1  5  7  2 11  9 10 15  8  6  4 14],[ 9  3  5  4 14  1 13  8  2 12 15  7 11 10  6]
[13  5  7 11  8  6 15 10  9  1 12  2 14  3  4],[10  2  9  1 12 14  5  6 11  7 13 15  4  8  3]
[ 8  5 14 12  3  9 13 11  7  1  2  4 10  6 15],[ 2  7  9  6  8 11 13  1 15 10  5  3  4 14 12]
[11  7  9 14  8 10  6 12  2 15 13  5  1  3  4],[12  9 10  1 15  6 11 14  8  3  2 13  4  7  5]
[10  6  1  3  7  4 14 11 12  5 15 13  9  2  8],[ 1  4 12  2 11 10  7  3 14  6  9 15 13  5  8]
[ 9  4 13  1 15  2 10 14  3  5  8 12  6  7 11],[ 5  2  7 13 11  3  9  1 15  4  6 14  8 10 12]
[ 4 11  6  8 15 13 10  2  3  5  9 12  1  7 14],[ 2  5 12  1 13 10  7  9  4 15 14 11  6  3  8]
[14  2  9  5  4  6 11 10  7 15  3 13  8  1 12],[12  4 14  3  6 11 15  2  8 13  7 10  9  5  1]
[ 6  1  8  7 12 11  5  3  4  9 14 15  2 13 10],[ 2 12 15 11  3  8  4  9  6  7 10 13  1  5 14]
[ 9 15 10 11  4 14  3 13  8  7 12  2  6  1  5],[ 7 15  1 13 12  5 14  3 11  9  6  2  4  8 10]
[14 11  5 15  4 13  9  6 12  1  7  8  3  2 10],[ 8 12  6  9 13  5 14 11  3  2  4 10  7 15  1]
[ 8  2  4  9 14 10  3  6 15 11 13 12  7  5  1],[ 9  4 12  3  1  2  6 15  5 10 14 11  8 13  7]
[ 7  8  9 11  2 15 12 13  4 14  3 10  1  5  6],[ 7 15 12  9  3 14  1  5  4  2 13  8 11 10  6]
[ 4  2 10  5  7 11 15  3  8 12  9  6 14 13  1],[ 3  9 11  7  2  6 15 14  8 12 10  5  4 13  1]
[ 8 13 15  3 10  1  9 12  2  6  5  4  7 14 11],[ 3 11  7  1 14 12  5 13 15  9 10  8  6  2  4]
[11  3  6  7  2  5  9  1 13 10 15  4 14 12  8],[ 3  9 14  6 11 13 15  1 10  7  5  4 12  8  2]
[13  1  7 15  2 14  9  8  6  5 11  4 12 10  3],[ 8 13  1  2  4 10  6 12  7 15 11  9 14  3  5]
[10  7  9  2 15  8 11  4  6 13  3  1  5 12 14],[ 4  9 14  7  6 10  2 13 12 11  8  1  5  3 15]
[15  6 11 13  9  5  3  1  2  8 12  4  7 10 14],[ 4  2  9 12 14 13  6  8  1  5 15 11  3  7 10]
[ 9  3  4  8 11  2 14  1  5 12 13 10  6  7 15],[ 6  9  2  7  3 11 13 12  8 14  1 15  5 10  4]
[ 7 13  1 15  5 11 10  9  4 14  6  2 12  8  3],[ 4 15  1  9 12  8 10  7  3 13  5 11  6  2 14]
[ 2  7 11  3 10 14  5  9 12  6  1 15  8 13  4],[ 2  3  7  5 15 11  4 13 14  1 12  8 10  9  6]
