init_prod_time_L,init_prod_time_H
"[[3228.206133449284, 1874.0702365413188, 1749.3902401854632, 1686.6350201727078, 1653.194853993673, 1625.8954510405922, 1611.5761076465815, 1598.8432459410549, 1592.3401628910178, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907, 1590.3410173287907]]","[[168.03093561899612, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376, 8.442436274015376]]"
"[[3706.8366382296435, 630.4106508424525, 544.9016602156628, 372.222461203604, 350.9736334370026, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125, 348.70947223738125]]","[[1167.2248819079362, 797.8110917336398, 665.6617138206985, 555.678893157815, 471.0682325658023, 462.34942780905317, 453.22931304833503, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265, 451.59771298883265]]"
"[[3103.7312841492944, 484.08260548717675, 404.5822625569707, 398.5159974314498, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837, 328.4346694788837]]","[[898.5057975982608, 788.9712971013745, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058, 744.5362292720058]]"
"[[5462.633845029365, 1498.993777961503, 1439.8134379371572, 1368.1395229075135, 1306.9277629049707, 1270.1769001989248, 1246.3480169517445, 1239.7766724013486, 1230.615850844252, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463, 1202.110494727463]]","[[2355.470893469894, 1947.7494486214573, 1788.4306571731372, 1688.005060460972, 1679.0686954348344, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988, 1662.0655319725988]]"
"[[906.4466497262791, 182.96262163159693, 98.50386283557685, 59.85409602369106, 25.873775265735887, 12.73406839855702, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718, 0.3202468811564718]]","[[7858.938188170725, 5813.923582085479, 5774.968004774644, 5761.765538864195, 5754.371597634278, 5749.4204646782455, 5746.296775451154, 5746.182152847403, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581, 5746.180681370581]]"
"[[2939.227864978034, 1274.0826428624798, 1164.2910536895483, 1110.4407610863323, 1070.064144804853, 1035.1420260512389, 1017.085178170371, 1003.3854374631859, 992.5900321818759, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499, 990.9236161718499]]","[[162.22831142698703, 71.79373757417602, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888, 19.13951536193888]]"
"[[891.775991500595, 5.943111939149826, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683, 2.3185257015979683]]","[[569.3934721735461, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336, 228.76456775303336]]"
"[[3912.6023924102196, 1628.5490146421469, 1555.9866156000542, 1507.9372878721692, 1483.7945381618986, 1467.5234588896687, 1457.3923628471464, 1450.609686850888, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659, 1448.046679977659]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[5635.855340546867, 1612.3472529202093, 1553.0206986641726, 1538.355842473512, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303, 1537.7132345058303]]","[[8561.678602287393, 3479.8200451681737, 3268.7643707122293, 3166.312338579142, 3100.9910111266195, 3056.5556287130444, 3044.316237426937, 3032.600537374649, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986, 3032.518040138986]]"
"[[3593.9894164822426, 1869.6492354342824, 1805.2103524957836, 1749.6662729014138, 1711.3941350272792, 1679.0212344799645, 1662.2152709312286, 1656.5296101762763, 1655.2129593813224, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568, 1651.850907807568]]","[[9162.099538180088, 6385.620950202907, 6347.500648316976, 6311.63133536602, 6296.13238680503, 6267.496193529491, 6229.676461522908, 6216.756253306801, 6207.918897942001, 6202.871016979491, 6202.150884751157, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322, 6201.635967608322]]"
"[[3746.4880733582927, 1693.9426808032551, 1539.0410154522153, 1466.063184136217, 1397.4359130698786, 1358.2750210520467, 1322.4417889334084, 1277.9161656895542, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224, 1264.2135221615224]]","[[353.24782961994066, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[6161.076384063326, 2313.5632709397923, 2093.155940944101, 1941.1359351562567, 1839.6486433920652, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255, 1773.2677880330255]]","[[9009.208479303108, 4055.2765606028356, 3953.1604629920057, 3902.2807871555233, 3863.1166740238787, 3837.2030811346276, 3813.833695846989, 3801.7596945745668, 3793.6043544601857, 3786.6321679084185, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261, 3784.809788820261]]"
