init_prod_time_L,init_prod_time_H
"[[3228.206133449284, 1874.0702365413188, 1749.3902401854632, 1686.6350201727078, 1653.194853993673, 1625.8954510405922, 1611.5761076465815, 1598.8432459410549, 1592.3401628910178, 1590.3410173287907, 1590.3410173287907, 2518.131667053862, 3436.35758735706, 2549.107471262406, 2751.0920431806026, 2837.6894653237646, 3786.1139054012992, 2665.043619240117, 2778.5397017622463, 2115.3884283344705]]","[[168.03093561899612, 8.442436274015376, 8.442436274015376, 1894.369690692657, 1613.5166905338501, 1046.4719815248845, 979.649974285067, 1147.6898708432166, 2294.2698377471775, 869.2679359240506, 2215.8675633861926, 1382.508489485018]]"
"[[3706.8366382296435, 630.4106508424525, 544.9016602156628, 372.222461203604, 350.9736334370026, 348.70947223738125, 348.70947223738125, 1569.9904137136166, 1219.5925802999918, 1372.3548887712407, 1359.9085735835595, 1406.8524422999874, 1353.197455574216, 1312.2310784559522, 1329.505907048807, 1361.8262421724853]]","[[1167.2248819079362, 797.8110917336398, 665.6617138206985, 555.678893157815, 471.0682325658023, 462.34942780905317, 453.22931304833503, 451.59771298883265, 451.59771298883265, 1454.911643766036, 2316.8214502091714, 1610.6913013278458, 2001.4551400483901, 1407.208155044656, 1429.2371751557434, 1348.3806604926378, 1579.404356633192, 1388.6516649253751]]"
"[[3103.7312841492944, 484.08260548717675, 404.5822625569707, 398.5159974314498, 328.4346694788837, 328.4346694788837, 1091.1244619783952, 1322.4748117121544, 805.2642335783983, 1521.3113348043166, 1272.061688156865, 874.4250606592109, 1128.4656531887495, 1060.84451367697, 1337.8257800658623]]","[[898.5057975982608, 788.9712971013745, 744.5362292720058, 744.5362292720058, 2643.5594850363213, 1575.7488987479012, 2239.5944155173197, 1799.9201055243384, 2319.6102083039946, 2344.5773742308893, 1143.449580231691, 1414.5094113055725, 1570.923904217571]]"
"[[5462.633845029365, 1498.993777961503, 1439.8134379371572, 1368.1395229075135, 1306.9277629049707, 1270.1769001989248, 1246.3480169517445, 1239.7766724013486, 1230.615850844252, 1202.110494727463, 1202.110494727463, 2160.3023906018575, 1905.8637222433522, 1475.6222682034079, 2021.9479393835802, 1943.839732222984, 1922.7402293708908, 1866.7005390826141, 2177.468098251311, 1834.3318696729373]]","[[2355.470893469894, 1947.7494486214573, 1788.4306571731372, 1688.005060460972, 1679.0686954348344, 1662.0655319725988, 1662.0655319725988, 2999.460676186433, 3615.288294854694, 3393.082276944085, 4277.828137863069, 3420.003638836004, 3066.413191225355, 2630.563818238989, 2861.356838784831, 3705.418499455891]]"
"[[906.4466497262791, 182.96262163159693, 98.50386283557685, 59.85409602369106, 25.873775265735887, 12.73406839855702, 0.3202468811564718, 0.3202468811564718, 1638.0044288161087, 1989.712767794173, 1224.5680493770917, 1053.0058860307963, 894.4861438065234, 1723.7253068447496, 1158.7135066166459, 1356.6434494218117, 2069.9348820050723]]","[[7858.938188170725, 5813.923582085479, 5774.968004774644, 5761.765538864195, 5754.371597634278, 5749.4204646782455, 5746.296775451154, 5746.182152847403, 5746.180681370581, 5746.182152847403, 8084.2523389038815, 6281.704682873791, 7419.552473692203, 6377.5352203115735, 7496.316400278925, 5992.2619831145585, 6015.722632175442, 7841.310119050999, 6072.820658112745]]"
"[[2939.227864978034, 1274.0826428624798, 1164.2910536895483, 1110.4407610863323, 1070.064144804853, 1035.1420260512389, 1017.085178170371, 1003.3854374631859, 992.5900321818759, 990.9236161718499, 992.5900321818759, 2858.1330767782256, 1593.9273226591224, 1446.3395725896853, 1799.0768699317764, 1870.1182868524204, 1887.1715893577405, 1853.728266095245, 1662.6574473387006, 1822.4697704853497]]","[[162.22831142698703, 71.79373757417602, 19.13951536193888, 19.13951536193888, 1661.9784724043232, 596.3292292871428, 1520.2875959535081, 1746.2482571613482, 899.7541461726273, 1377.8249676586115, 1813.2226227497667, 1104.3262622935986, 1418.8918876716018]]"
"[[891.775991500595, 5.943111939149826, 2.3185257015979683, 2.3185257015979683, 942.6299568387446, 1215.3133214307295, 719.7603665612477, 959.8670915391049, 1557.3916118896932, 1254.7422402594889, 292.80463647186616, 415.64469290578927, 394.58953041741114]]","[[569.3934721735461, 228.76456775303336, 228.76456775303336, 1635.763310312315, 554.4890644368912, 487.86435062988335, 1303.402271887411, 1019.422538458637, 1289.3600106871397, 873.9295232636334, 417.04682004586925, 1126.1575766441485]]"
"[[3912.6023924102196, 1628.5490146421469, 1555.9866156000542, 1507.9372878721692, 1483.7945381618986, 1467.5234588896687, 1457.3923628471464, 1450.609686850888, 1448.046679977659, 1450.609686850888, 1927.2981908819766, 3991.042794955918, 1920.4659234109683, 2937.5430632677812, 2150.0038620693376, 2329.7077033238884, 3072.1227083788112, 1811.4661468505535, 1864.5919869399859]]","[[0.0, 142.46751898143992, 959.5916168659003, 0.0, 538.5053133798132, 422.99092779735855, 221.56936774842978, 286.35957837070964, 0.0, 267.91096051325314, 884.7844427055569]]"
"[[5635.855340546867, 1612.3472529202093, 1553.0206986641726, 1538.355842473512, 1537.7132345058303, 1537.7132345058303, 1939.4161287565803, 2240.1325638192957, 2502.9348471753187, 2540.2751595902573, 2605.9890326135546, 2480.380445258752, 3902.8192988381893, 2653.354920749205, 2261.139975588447]]","[[8561.678602287393, 3479.8200451681737, 3268.7643707122293, 3166.312338579142, 3100.9910111266195, 3056.5556287130444, 3044.316237426937, 3032.600537374649, 3032.518040138986, 3032.600537374649, 3841.7454626823137, 6427.458978549625, 3808.039123992564, 5510.315195435395, 5132.1813428704, 4077.1684002379807, 6096.812318589133, 3284.8538073347654, 4263.145619469747]]"
"[[3593.9894164822426, 1869.6492354342824, 1805.2103524957836, 1749.6662729014138, 1711.3941350272792, 1679.0212344799645, 1662.2152709312286, 1656.5296101762763, 1655.2129593813224, 1651.850907807568, 1654.7020848379375, 2098.9965519671096, 4306.225011025038, 2596.251103043827, 2379.0446637841233, 3166.797019858772, 2911.083821009242, 3293.2995836370224, 2412.177102419429, 3515.402440753008]]","[[9162.099538180088, 6385.620950202907, 6347.500648316976, 6311.63133536602, 6296.13238680503, 6267.496193529491, 6229.676461522908, 6216.756253306801, 6207.918897942001, 6202.871016979491, 6202.150884751157, 6201.635967608322, 6202.010102187874, 6759.866756016719, 7970.610704780401, 7185.50714139247, 6572.795758363156, 8186.4461624176, 7413.164753489172, 7717.743240575924, 8114.621018462418, 7404.9197241039365]]"
"[[3746.4880733582927, 1693.9426808032551, 1539.0410154522153, 1466.063184136217, 1397.4359130698786, 1358.2750210520467, 1322.4417889334084, 1277.9161656895542, 1264.2135221615224, 1264.2135221615224, 2241.66358614332, 2055.2353565213266, 2411.609426344859, 2498.694458126287, 2554.206639305505, 2286.8511985157893, 2176.15413053498, 2031.2914248790103, 2587.385402413752]]","[[353.24782961994066, 0.0, 0.0, 427.50322086495845, 367.35014637380425, 579.0503629637906, 271.52845262308335, 1375.9951750842988, 468.3516984451526, 423.29338295357275, 349.6155962030923, 387.52854346134103]]"
"[[6161.076384063326, 2313.5632709397923, 2093.155940944101, 1941.1359351562567, 1839.6486433920652, 1773.2677880330255, 1779.1389034948809, 2692.5446764689923, 2611.93091058576, 5738.69244568253, 2100.233572225608, 3450.7406562999, 2605.869822217409, 3134.862332910556, 2350.603379284172, 3809.288951985003]]","[[9009.208479303108, 4055.2765606028356, 3953.1604629920057, 3902.2807871555233, 3863.1166740238787, 3837.2030811346276, 3813.833695846989, 3801.7596945745668, 3793.6043544601857, 3786.6321679084185, 3784.809788820261, 3785.5241058061956, 5172.561758639993, 5912.547966400386, 4245.5639989996735, 5878.869616837565, 4718.919588514718, 5597.953475642658, 4745.34464404889, 4416.969544794068, 5619.814230063317]]"
"[[4014.396788056235, 1796.3631931750951, 1679.2977629334755, 1551.597028853012, 1495.5273925133033, 1470.172563546951, 1444.8338515054297, 1427.321631419927, 1412.0214655355617, 1403.7134440215664, 1412.0214655355617, 4181.240391295145, 3533.4269706417294, 2426.439817328418, 4249.172224936473, 3539.7135062498237, 5384.030642824472, 2901.7349134433166, 3130.8075408909062, 1943.6431015903013]]","[[8517.817414610465, 4194.491012715392, 4107.478660319095, 4031.900556341614, 3978.391264592421, 3917.688348694245, 3905.320912118495, 3901.434602392405, 3900.563219039928, 3900.563219039928, 4384.231688221143, 8214.23570102739, 4386.871166520198, 5399.485500734253, 4157.044936589435, 4340.512544348606, 4343.061270044701, 6160.490372570644, 4647.934753371204]]"
"[[1396.6175004932752, 1089.19082151612, 1024.0610663016373, 983.4974004874855, 957.3384597514031, 931.5600413536731, 920.6228166973996, 918.1279839818776, 918.1279839818776, 1763.9465792504893, 1371.964632411391, 2416.0794392645844, 1562.2937680133934, 1636.876707509825, 1716.6506653367624, 1606.9237710285872, 1418.2020533649857, 1706.1568160384068]]","[[5274.808701564942, 2361.2235939046254, 2249.376801761962, 2239.2880030240617, 2235.032349661446, 2234.7466636544923, 2234.7466636544923, 6139.315528015547, 3291.5393630808912, 2940.017452786685, 5990.394337127955, 3327.4247106632893, 2973.499409117251, 2944.7140640548923, 5371.224852940712, 3359.3637722807125]]"
"[[3179.2407660090917, 1938.80045484579, 1860.3944840913628, 1793.6384034113134, 1765.4608828766452, 1726.7678166773928, 1724.667853620956, 1724.8670666129342, 2391.5777784795036, 3421.0266333688096, 2826.0028082586905, 2370.3809034066835, 3223.4804225683183, 2194.990283524491, 2664.962006712699, 2154.2700950657777, 2547.021398642578]]","[[6914.073509634923, 2639.225668801063, 2516.5517629946075, 2452.7044704189175, 2392.8346469334447, 2342.131213788247, 2305.278590327641, 2285.1204175485445, 2268.0207475528623, 2272.361162951466, 3318.34953113942, 2944.0614354543977, 3331.320563329206, 4838.210465340878, 3634.4297580619254, 3254.9238054751368, 2887.10480929282, 3831.752266924582, 2896.16949468408]]"
"[[2040.9606960483013, 705.8447040282035, 565.5578788975295, 504.49645512215915, 461.0425390825999, 454.93959421624885, 453.143261169534, 453.143261169534, 1096.981664060499, 1013.474878038958, 1882.7312509802523, 843.7994761302834, 2554.821481026861, 1034.7779781607908, 3567.309461674871, 1197.5238456317768, 1181.6605728782065]]","[[309.38699803516454, 0.0, 0.0, 533.9697398882566, 133.03239462656921, 702.4195102025853, 957.6441908173936, 566.5838155729721, 613.4877406380798, 986.171966856226, 420.77802207459575, 945.4736075906907]]"
