init_prod_time_L,init_prod_time_H
[15 13 10  5 12  9 11  6  2  7  4  3  8  1 14],[ 4  5 14  2  3  8 10 13 15 12  1 11  9  6  7]
[ 3 14  5 13 12 15  2  8  4  1 11  9 10  7  6],[ 2  8  7  6  4 11 15  9  5 10 14  3 13 12  1]
[ 2  1 13  5  7  6 11  8 12  4 10 15  3  9 14],[ 7  9 15 10 13 14 12 11  2  4  3  6  8  5  1]
[11  3 10  5  6 14 13 12  7  8  9 15  1  4  2],[13  5  7 15  2 10 12  6  3  8  1 11 14  4  9]
[ 4  2 15 11  7  5  1  3 12 13  6 10 14  9  8],[14  4  8 13 12  1 15  2  6  7  5 11  3 10  9]
[10 15  3 13 14  8  5  6  2  1  7  9 12  4 11],[ 5 15  8  6  7 11 10  4  1  3 12  2 13 14  9]
[10  9 14  7 15 13 11  5 12  1  6  8  2  4  3],[ 8 13 15  6 11  1  9 12  2  3  5  7  4 14 10]
[14 13  6  5  7  8 12  4  9 11 10 15  2  1  3],[ 7 12 10  5 15 13  6  2  8  4  9 11  3 14  1]
[ 5 10 12 11  3  4  1 14  2  6  7 15 13  8  9],[ 1  5  9  8  2 15 11 10 12  3  4 14  6  7 13]
[15 10  5  8 12 14 11  2 13  3  7  4  1  9  6],[ 3  1 15 13 11  5  4 14 10  8  9 12  6  7  2]
[10  8  7 15 14  6 13  5  2 11  9 12  4  3  1],[11  4  7  9  8 14 15 12 13  1  2 10  5  6  3]
[14  5 15  4 13 11  1 10 12  2  6  9  7  8  3],[12 14 10  7  5 11  2  3  1  8 13 15  6  4  9]
[ 8  4 15 14  7 11  3  2 10  9  5 13 12  6  1],[ 2 10  9 11 12  1  3  5 14  6  4 13 15  7  8]
[ 3  9 10  6 13 12  5  8  2  7 11 14  4 15  1],[14  3 11  4 12  8  9  5 10 15  2  7  1  6 13]
[ 8 11 10 12  9  7  2 14  1  5 13  6  4 15  3],[15  1  8 10  7  4 12  3  9  5  2 11 14  6 13]
[14 13  6  3 10 15 11  8  9  7  2  1 12  5  4],[ 7 15 13 14  3  9  5  4  6  2  8  1 11 12 10]
[12 11  7 14  1 13 10  6  4  5  8  9  2 15  3],[ 5 13  1  8 10  2 15  6  9  7 11  3 14 12  4]
[10  8 14 13  3 12  7  9  4  1  6  5 11  2 15],[11  5 13 14  4 10  1  8  2 12  7 15  9  3  6]
[ 8  5  4  1 14  7 10 13 11  9  2 12 15  3  6],[ 6  4  8 10 15  9  5 14  7 11  2  1 13  3 12]
[14  5  9  7 10 15  3 13 12  2  4  1 11  8  6],[11  3  6  1  7 13 12  5 14  2  8 15 10  9  4]
[ 8  3 10 11  1  6 15 14 12  7  4  9  2  5 13],[ 3  9  5 14  8 13 10  2 12  1  4 15  6  7 11]
[ 8  1 13 12 10  2 11 15  6 14  9  5  3  4  7],[ 5 10  2 13 15  3  6 11 12  9  4  1  7  8 14]
[12 15  9  5 11 14  4  6  3  7  2  1  8 10 13],[10  3  6 15  2  1 13 14  5 12 11  4  9  8  7]
[14 12  2  8  1 11  3  4  5 10  6 15  9 13  7],[ 3  8  1 10  2 14 12  7 13  6  5  9 15  4 11]
[13 12  4 10  5  3  1  9  6 11 15 14  7  8  2],[ 9 12  7  6  8  4  2 15  1  5 14 11 13 10  3]
[ 6  9 13  1  8  4  7  5  3 15  2 10 12 11 14],[ 3  8 10  7 11  9 12  4  5 15 13  1 14  6  2]
[ 8  2 10 11 15  9  7 12  3 14  6  1 13  5  4],[13 10 12  8  2  6  4 14  1  7  3  5 11 15  9]
[13  7  6  1 14  3  4  5 15 10  2 12 11  8  9],[ 6  7  5 11  8 12  1  9  2 14 10 13  4  3 15]
[14 12 10  4 15  5  9  1  2 11  8  3 13  6  7],[12  6  9  2  5  3  4  8 15 14  1 13  7 10 11]
[12 10  6  1  9  3  7  8 14  5  2 15  4 11 13],[ 6  2 12  4 10 13  9 11 14  3  8  1  7  5 15]
