maint_len_L,maint_len_H
"[[2766.508227185906, 585.30903841192, 465.4743971479811, 366.58783023273696, 342.00975834078787, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647, 341.35370780767647]]","[[401.8254513097613, 267.32319417715, 210.43065994963914, 156.80887910710712, 115.39922279795235, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213, 89.58757350123213]]"
"[[496.11442113747313, 271.8383144930853, 137.64848814943707, 82.64178154422011, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404, 72.21379598437404]]","[[695.1881744808767, 187.43354504669588, 105.8803201435132, 70.35852043608307, 44.093719299960696, 30.817423018978282, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988, 23.62808345465988]]"
"[[5984.261237884013, 3928.7336876944346, 3877.639014939238, 3827.741327849536, 3819.1351702492057, 3818.2182102848865, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823, 3817.3095622294823]]","[[484.9008737465817, 342.32001408419757, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717, 342.32001408419717]]"
"[[225.45653981529347, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459, 10.216068450827459]]","[[6713.18209967818, 4187.1694353117955, 4132.9797156466075, 4104.0972444029, 4071.5469230168283, 4051.928018331054, 4024.3452833995584, 4013.5841655411723, 4009.3626341390154, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256, 4008.01246346256]]"
"[[616.8700835665753, 188.92128638607505, 154.54620039732507, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663, 93.9901868884663]]","[[5143.726320110884, 4184.833101091002, 4025.920938800229, 3922.6035903447114, 3820.324239751447, 3803.4661838559887, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243, 3794.3181384466243]]"
"[[5148.062971582694, 3051.3267138595857, 2945.9130776016345, 2926.9425253097706, 2909.956386730113, 2902.5724269801185, 2898.0713628852845, 2895.9511333408454, 2894.4835328558192, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446, 2890.7853039377446]]","[[770.9232020725871, 366.99811149352433, 261.1276743754298, 177.5389170695509, 143.83606039218628, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413, 128.54756539511413]]"
"[[101.06191437638707, 8.399592327167353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[2884.2536584270847, 1180.2153258803603, 1132.1300521002001, 1098.613072092793, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665, 1093.0815018763665]]"
"[[2454.692421017629, 1166.382305958578, 1094.7689990918484, 1006.2781186312405, 957.6108367325124, 940.1756963971403, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772, 931.3052042727772]]","[[771.3402641495377, 555.8057851335022, 517.1157743100089, 474.13901345501534, 422.65262516330114, 416.3182669118775, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445, 396.65765618886445]]"
"[[4542.785884920996, 2519.0013542907313, 2403.540433784102, 2296.9703563829657, 2266.5778902031752, 2209.472192753825, 2143.577335513843, 2095.05210357064, 2086.7564416194746, 2081.3714203633745, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337, 2071.9665635071337]]","[[4983.712763390089, 893.0395201286328, 713.7985455422767, 619.3061434671566, 526.1787791722533, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241, 505.433304614241]]"
"[[2668.0344988388847, 1246.8471984809307, 1113.1418459154704, 1055.2969088544432, 1005.4046257218231, 958.4605760900156, 940.1638674404164, 930.6208145224542, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778, 925.4883838660778]]","[[1239.4524378431245, 933.3783649057171, 847.9855317965602, 761.7866943686294, 703.5621577970037, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172, 695.8970690883172]]"
"[[4480.511635863092, 2741.9154662827486, 2573.111896858651, 2485.0598966301877, 2441.6306052750333, 2382.5528151230237, 2358.0514392668147, 2337.5337784773624, 2311.794980533625, 2293.8777431025983, 2288.7931646646393, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052, 2288.597248536052]]","[[463.7109998783053, 166.26980728954413, 106.39987483695785, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379, 54.95755690900379]]"
"[[1199.95491741025, 1013.2659541997963, 835.957025931991, 750.6225259740172, 697.297057455998, 653.9876881888779, 623.0982177900096, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177, 618.2734695881177]]","[[2434.209453227731, 2419.436115645959, 2405.2578080487565, 2399.995666823177, 2399.995666823177, 1361.9881812115584, 1136.5005868528206, 959.6819557459435, 877.4060965401691, 831.8880611663675, 791.1809428946231, 775.1007694636006, 773.0083518121243, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064, 758.2677362923064]]"
