maint_len_L,maint_len_H
"[[2766.508227185906, 585.30903841192, 465.4743971479811, 366.58783023273696, 342.00975834078787, 341.35370780767647, 341.35370780767647, 1114.7556518776762, 1761.871389333629, 1377.0751727514132, 1135.1153404522747, 2348.21888436504, 1304.1602477767196, 1841.686720745908, 1137.2310608896419, 927.2021949654991]]","[[401.8254513097613, 267.32319417715, 210.43065994963914, 156.80887910710712, 115.39922279795235, 89.58757350123213, 89.58757350123213, 2341.994810730769, 530.4129589477648, 1118.3017954783256, 2622.5875576865037, 1025.4147277224472, 1073.5056996616904, 957.073648365229, 2682.434113925307, 605.3169873042812]]"
"[[496.11442113747313, 271.8383144930853, 137.64848814943707, 82.64178154422011, 72.21379598437404, 72.21379598437404, 1320.35832061899, 1613.3900332392798, 1020.4035646831296, 1294.9386337472217, 1407.3702497032352, 1023.3591629454596, 1313.1046390180227, 781.7297634411104, 1003.3726355918299]]","[[695.1881744808767, 187.43354504669588, 105.8803201435132, 70.35852043608307, 44.093719299960696, 30.817423018978282, 23.62808345465988, 23.62808345465988, 849.9756023920818, 1727.8961267965178, 1078.4484806712135, 1029.2482594018368, 961.1495500089716, 1752.6371418378972, 1363.6264571274994, 765.5366494206, 1566.1000872346972]]"
"[[5984.261237884013, 3928.7336876944346, 3877.639014939238, 3827.741327849536, 3819.1351702492057, 3818.2182102848865, 3817.3095622294823, 3818.2182102848865, 4366.1548887894605, 5236.831567163405, 4240.316891908038, 4439.723061836063, 5084.739511652814, 4177.990218630557, 4746.345861376641, 4410.402917523987, 5295.828328606853]]","[[484.9008737465817, 342.32001408419757, 342.32001408419717, 342.32001408419717, 1007.1001491146972, 886.0209214445174, 669.4671248461702, 1125.2352556433523, 908.602275338664, 775.1037992075264, 832.58580221051, 674.1110484027154, 1051.103457098609]]"
"[[225.45653981529347, 10.216068450827459, 10.216068450827459, 771.9173223323514, 1193.4143279201382, 739.2921025503172, 603.4095645114917, 503.90215440097313, 528.6262653969987, 595.540730482173, 829.0786354807294, 609.2158169265965]]","[[6713.18209967818, 4187.1694353117955, 4132.9797156466075, 4104.0972444029, 4071.5469230168283, 4051.928018331054, 4024.3452833995584, 4013.5841655411723, 4009.3626341390154, 4008.01246346256, 4009.008118423828, 5572.156279025612, 4560.276098702277, 4697.494385114094, 5736.1253451333005, 4747.810647638214, 4756.399584593655, 8279.661861459892, 4164.378694355264, 4375.945012382254]]"
"[[616.8700835665753, 188.92128638607505, 154.54620039732507, 93.9901868884663, 93.9901868884663, 986.0038160280267, 1407.4852725165413, 443.6329716910533, 731.3013997065675, 533.2222538579291, 750.6492711227388, 208.04047451251435, 625.8854306930546, 1866.3697697189923]]","[[5143.726320110884, 4184.833101091002, 4025.920938800229, 3922.6035903447114, 3820.324239751447, 3803.4661838559887, 3794.3181384466243, 3797.414866817663, 5110.86541064911, 4832.3841374938875, 5651.533027503342, 4710.797991868865, 4473.819254072205, 5387.749101272559, 4487.001383241055, 6155.068001257021, 4354.5764353053655]]"
"[[5148.062971582694, 3051.3267138595857, 2945.9130776016345, 2926.9425253097706, 2909.956386730113, 2902.5724269801185, 2898.0713628852845, 2895.9511333408454, 2894.4835328558192, 2890.7853039377446, 2894.4835328558192, 4462.290974130128, 3691.050974260976, 4796.7809961094845, 3722.84958041337, 3646.2965098594314, 4486.22449787623, 3638.2055999092745, 3666.798083950356, 3898.3125825851203]]","[[770.9232020725871, 366.99811149352433, 261.1276743754298, 177.5389170695509, 143.83606039218628, 128.54756539511413, 128.54756539511413, 3306.2107993516856, 1068.7795450611295, 462.7305776643623, 1979.2213547481663, 1902.2547329297006, 2140.1534141519437, 1877.2071739240353, 3630.353586806007, 2266.5504785471685]]"
"[[101.06191437638707, 8.399592327167353, 0.0, 0.0, 426.0839783482783, 439.0515745932449, 455.01357588502833, 371.6802989081532, 691.8886407160487, 432.97441847220125, 1091.0226740059761, 715.5022832080178, 59.16927789891744]]","[[2884.2536584270847, 1180.2153258803603, 1132.1300521002001, 1098.613072092793, 1093.0815018763665, 1093.0815018763665, 1887.327690246997, 2160.0668773884818, 2310.9857863571833, 1781.1099746734085, 2755.3838886240637, 1127.8185827001903, 2681.3326963019917, 2876.0164578234285, 2322.14602055069]]"
"[[2454.692421017629, 1166.382305958578, 1094.7689990918484, 1006.2781186312405, 957.6108367325124, 940.1756963971403, 931.3052042727772, 931.3052042727772, 1548.1549041636158, 2816.5052427022893, 1554.41756182365, 1609.5927041008124, 1699.4922428544096, 1435.5233224281287, 1162.3070570124482, 1551.410047684323, 1522.01855304931]]","[[771.3402641495377, 555.8057851335022, 517.1157743100089, 474.13901345501534, 422.65262516330114, 416.3182669118775, 396.65765618886445, 396.65765618886445, 820.046103584204, 1596.92847890312, 2238.026574823733, 1674.774743804543, 1716.7104845771282, 727.9565151574159, 1122.0075581718295, 1569.9592167234368, 1071.8114879630389]]"
"[[4542.785884920996, 2519.0013542907313, 2403.540433784102, 2296.9703563829657, 2266.5778902031752, 2209.472192753825, 2143.577335513843, 2095.05210357064, 2086.7564416194746, 2081.3714203633745, 2071.9665635071337, 2073.803682685793, 2915.9738296340315, 3791.2611677398186, 3152.987486567354, 5153.474989006984, 4565.356864688598, 2802.9320797852165, 6033.389546231911, 3136.1446200182345, 5135.212279984508]]","[[4983.712763390089, 893.0395201286328, 713.7985455422767, 619.3061434671566, 526.1787791722533, 505.433304614241, 505.433304614241, 839.1442177782174, 2841.9955368693727, 1281.226465307033, 1302.940172969459, 2159.765640588138, 1139.4221668662726, 1423.8452205238239, 2251.255872338776, 1983.8783649276727]]"
"[[2668.0344988388847, 1246.8471984809307, 1113.1418459154704, 1055.2969088544432, 1005.4046257218231, 958.4605760900156, 940.1638674404164, 930.6208145224542, 925.4883838660778, 925.4883838660778, 1902.2034181920062, 1495.4515209399392, 2121.741126363407, 1806.2293488837677, 1976.416741173863, 1055.076959457864, 1953.178559557517, 2252.503262933089, 1715.6131141240323]]","[[1239.4524378431245, 933.3783649057171, 847.9855317965602, 761.7866943686294, 703.5621577970037, 695.8970690883172, 695.8970690883172, 1086.587749598936, 2016.229448440275, 1211.655361540748, 2122.426480399614, 775.8298428047327, 1948.0619387809838, 1682.2700763906892, 1787.6186909171622, 1903.168462910627]]"
"[[4480.511635863092, 2741.9154662827486, 2573.111896858651, 2485.0598966301877, 2441.6306052750333, 2382.5528151230237, 2358.0514392668147, 2337.5337784773624, 2311.794980533625, 2293.8777431025983, 2288.7931646646393, 2288.597248536052, 2288.7931646646393, 5697.965716662313, 4172.0166462216275, 4007.9348047502235, 3116.452188173979, 3011.089762676118, 3197.7446437359768, 4014.6914090623186, 3112.7049840654518, 4332.497994960918]]","[[463.7109998783053, 166.26980728954413, 106.39987483695785, 54.95755690900379, 54.95755690900379, 1090.992446349582, 726.5145824055032, 794.1138996016729, 2266.2122093756225, 441.7520981028324, 933.4323834889829, 1175.5878301604819, 621.3156199781974, 877.8339588681329]]"
"[[1199.95491741025, 1013.2659541997963, 835.957025931991, 750.6225259740172, 697.297057455998, 653.9876881888779, 623.0982177900096, 618.2734695881177, 618.2734695881177, 1522.302669060565, 2070.6904021493124, 1169.174608617802, 1578.92066284966, 2020.4980192674375, 1605.2764587074857, 1376.7286958812, 1000.9144942952527, 2198.055054685438]]","[[2434.209453227731, 2419.436115645959, 2405.2578080487565, 2399.995666823177, 2399.998116975391, 1361.9881812115584, 1136.5005868528206, 959.6819557459435, 877.4060965401691, 831.8880611663675, 791.1809428946231, 775.1007694636006, 773.0083518121243, 758.2677362923064, 758.2677362923064, 1398.3695167068418, 2788.0024579871592, 1733.1938161268065, 2272.82904216206, 1467.237714107621, 1456.1255031626415, 3990.754673675984, 1436.3081215621573, 1236.2003279094085]]"
"[[1112.6140148504114, 956.1502198754222, 854.4891937835446, 771.4706791647707, 766.7214661511862, 762.5614878041002, 758.5308136561139, 758.5308136561139, 1727.871600098544, 2191.7017162584507, 1832.5137304041855, 1480.4663356608157, 2158.657119495656, 1976.82295105555, 1848.890243641461, 1479.011816879309, 2005.1707235166582]]","[[4728.0739303271375, 610.0707727329061, 419.45226328555134, 236.5793827843053, 129.215896114748, 116.95371108762362, 116.95371108762362, 711.9053531662714, 992.5494624939784, 1664.563858357607, 1139.607524694587, 2013.9237769899055, 746.9655883478047, 604.4801166281895, 1552.1104891209893, 1240.5340009529493]]"
