maint_len_L,maint_len_H
[3. 0. 4.],[0. 1. 0.]
[0. 3. 0.],[ 0. 14. 13.]
[4. 0. 0.],[0. 0. 1.]
[ 0. 13.  4.],[0. 8. 0.]
[3. 1. 2.],[ 0.  0. 14.]
[0. 3. 0.],[ 0. 14.  0.]
[0. 5. 0.],[4. 0. 0.]
[0. 4. 0.],[0. 0. 2.]
[0. 4. 0.],[4. 9. 0.]
[6. 0. 0.],[0. 5. 0.]
[0. 3. 0.],[0. 2. 0.]
[0. 0. 2.],[8. 6. 0.]
[0. 0. 0.],[ 4. 14.  0.]
[0. 0. 3.],[0. 0. 2.]
[0. 2. 0.],[0. 8. 0.]
[5. 0. 0.],[14.  0.  0.]
[ 0. 14.  0.],[2. 0. 1.]
[14.  0.  0.],[0. 0. 2.]
[5. 0. 0.],[ 6. 14.  5.]
[13. 11.  0.],[5. 0. 0.]
[0. 0. 2.],[0. 0. 3.]
[0. 5. 0.],[5. 0. 4.]
[ 0.  4. 14.],[ 0.  3. 14.]
[ 0. 13.  0.],[0. 2. 5.]
[ 2. 14.  3.],[13.  4.  7.]
[0. 3. 0.],[ 2 12 14]
[ 3.  0. 14.],[ 5. 14.  0.]
[4. 0. 0.],[3. 1. 0.]
[ 0. 13.  1.],[ 4. 13.  0.]
[0. 0. 2.],[ 0.  0. 13.]
