maint_len_L,maint_len_H
[10  9  7  3  1 12  4  2 13  8 15 11  5 14  6],[ 1 10  6 14  8  5 15  3  7  2  4  9 13 12 11]
[12  4  9  3 14  8  7 11  1  5 10  2 13  6 15],[ 1  4  5 14  7 11  6 15 13  9  2 10  8 12  3]
[14  6  3  7 15 11  4  2 12 10  9 13  5  8  1],[ 2  9  7  3 14 15  4  8  5 13  6 12 11 10  1]
[11  4 15  1  8  3  7 14  2 13  6  5  9 10 12],[ 4 13 15  3  1 10  5  7  9 12  6  8 14 11  2]
[ 1 13  9  2  5 10 12 15 11  8  3  4 14  6  7],[ 1  3  2  5 12 11  4 14  8 10  7 13  6  9 15]
[ 5 15 10  8  1  3  2  4 12  9 13 14  7 11  6],[ 7  9  2  3 13  8  5  4  6 11 15 12 14 10  1]
[ 2  1 14  3  5  4  9  6  7 11 10  8 12 15 13],[13  5 11  4 12 10 14  1  9  7 15  6  3  8  2]
[14  4  6  9 15  2 13 10  5  1  3 11  7 12  8],[ 7 10 13  3  1 11  4  6 12  5 14  8  2  9 15]
[ 4  1  3 12  7  8 10 11 15 14  9  6 13  5  2],[12 15 10  9 13 11  2  6  1  3  8  7  5  4 14]
[ 9  1  5 12  8  4  2  3 10  6 13 15 11 14  7],[ 6 14 10 12 13 15  7  1  8  4  5  2  3 11  9]
[12  9  2  3  7  8 13  4  1 15 11  5 10 14  6],[11  5 14 13 12  1  3  9  4  8 10  2  6 15  7]
[14  9  1  5  6 12  7  2  8  4  3 13 11 10 15],[14  6 11  5  4  9 15 12  7  2  8 10  1  3 13]
[15  2  8 12 13  6 10  7 11 14  5  9  4  3  1],[11  6 13 10  7  1  8  5  2 15  4  3 12 14  9]
[ 2 15  3  8 10  4  9  7 11  5  6 12 14  1 13],[ 1 11  4 13  8  7 10  2 15  9 12 14  6  5  3]
[ 2  1  6 13 15 12 11  7  9 14  4  3  5 10  8],[ 7  3  4  9 14 15  2  5 11 13  6  8 10  1 12]
[15 13  8  6  3  1 10  4  2  9 12  5 11 14  7],[ 7  4  5  3  9 10  1 13  8 15  2  6 12 14 11]
[ 3  2 11 10  9  1  7 13 12  8  4 15  5 14  6],[12  8  7  6 14 10  5  9  3 13 11  1  4 15  2]
[15  6  4  1 12  7  3 13 11  5  8 10  2 14  9],[ 6 12 15 14  1  8  4  3  2 11  5 10  7  9 13]
[ 6  7  8  3 14 13  1  4 11 12 15  2 10  9  5],[12  9  1 15 13  3  2  4 10  8  6 14  5 11  7]
[ 9 15  4  1  8  5  6  3  7 14 11 13 10  2 12],[ 6 12 15 10  9  8  1  3  4 14  2  7  5 11 13]
[11 12  5 14  7 13  4  9 10  3  8  2  1  6 15],[ 1  7 15  5  9  6  4 12 13 11  2  8 14 10  3]
[ 4 10  6  9  7  1  5 14  2 11 15  8  3 12 13],[10 11  4 13 12  6  8 14  2  5 15  7  3  1  9]
[ 3 11  1  2 14 10 12  4  9  6  7 13 15  8  5],[15  3 12  8  6  1  9  4 10 14  7 11  2 13  5]
[15 10 12  5  9  1  3  7  2  8  6 13 11  4 14],[12 13  6 14  8  2  5  4 15  9  7 10  1  3 11]
[ 3 12  9  6 15  5  7 13  4  8  1  2 10 14 11],[12 15  5  3  2  1 13  7  8  4 14  9 10  6 11]
[ 4  2  3  1 14 15  6  7 10 12 11  5  8  9 13],[12 14  9  3  5  7  2 13  6 15  1  8 10  4 11]
[ 5  8 12  2  7 11 15 13  9 10  1  6  3 14  4],[15  6 11  8 12  2 13  3  9 14  5  1 10  4  7]
[12  4  6  3 15 10  2  1  8  9  7  5 14 13 11],[11 15 13  2 14  6  8  3  7  1  5 12  4  9 10]
[13 14  3  6 15  8  4  5 11  9 12  2  1  7 10],[ 4  6 15 13  3 12 11  2 14  7  5 10  1  8  9]
[12  4 11  5  8 14  6  7 13  3  1 10  9 15  2],[ 2 12  6 14 11  4  3 15  7  8  9 10 13  5  1]
