prod_discount_L,prod_discount_H
"[[4879.074120702198, 2557.1331424286673, 2514.059002425046, 2483.7695813963123, 2455.789674880251, 2440.001275080222, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953, 2428.321521370953]]","[[2250.6130841966733, 1983.455341668894, 1887.6278496058758, 1852.166475709995, 1810.4292233629324, 1780.0543446324261, 1755.925649324626, 1736.780393611389, 1731.7702830028966, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214, 1730.138966520214]]"
"[[8059.180130592157, 2579.798353077645, 2400.9780707663635, 2317.4416578841415, 2233.995520474749, 2211.9782420269235, 2191.4830864593837, 2179.1705037797788, 2167.490282973538, 2163.568461479669, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328, 2163.211677279328]]","[[2917.613497087672, 1923.252730219104, 1899.4351136136952, 1885.8677802455113, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786, 1873.5077401180786]]"
"[[5178.644995499634, 3350.2158330025545, 3230.3537242326256, 3116.4104586475987, 3038.7081186168143, 3031.1057567188655, 3027.594446780415, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944, 3025.7141336877944]]","[[213.72521168842204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703, 154.78533936881703]]","[[979.70378838231, 769.690624215657, 584.4990237928679, 457.9074588323981, 390.38886859639365, 346.88569261349016, 323.054700578656, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896, 320.49054481490896]]"
"[[2175.6614738171643, 821.9901343981837, 657.774778812211, 539.413212778973, 445.7976498150051, 417.97100048834125, 399.317737603964, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166, 391.2505401638166]]","[[6003.268639927032, 2552.355374780593, 2433.287547364884, 2286.9347375062375, 2215.9917455065693, 2168.479151527975, 2143.7253203644923, 2125.3531431469974, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723, 2121.0397268857723]]"
"[[642.2490452700716, 475.24868697893334, 466.6212976822319, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875, 458.16803073280875]]","[[943.2303488531913, 354.0233761801809, 305.1316385762358, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355, 294.84193031311355]]"
"[[5115.63306309253, 5077.823474490432, 5045.094873538333, 5004.426802402574, 4985.388016736132, 4947.401173616962, 4934.29489548381, 4924.184013083674, 4910.524299531593, 4905.978557094944, 4905.048857456724, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725, 4904.8222090814725]]","[[1715.2481178635028, 801.488820719974, 715.7644199174614, 627.0508845845116, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871, 612.8719208249871]]"
"[[1139.9088762561196, 478.2627593741381, 329.74174956520983, 305.25197222366626, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732, 305.1121138965732]]","[[2375.2388260259117, 2238.7098980851542, 2186.691914350658, 2175.34193073987, 2156.1579260747976, 2149.5847202420027, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995, 2144.4457096160995]]"
"[[1685.7917640115918, 436.28695002493265, 413.94238934031483, 393.2846324771587, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982, 372.5642368886982]]","[[7623.67029494013, 2983.658729410525, 2872.132402580303, 2815.6020456878146, 2746.72289904229, 2694.571567946966, 2676.4421004196215, 2655.379843001176, 2641.4494518628653, 2631.5227404853426, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057, 2627.942501067057]]"
"[[4937.530601964663, 2696.4413843051034, 2674.048670374267, 2663.219041011318, 2655.8309464924305, 2649.574570045701, 2642.0175408454916, 2637.2088469557953, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377, 2635.1876709770377]]","[[1468.650025053546, 1202.9231315323775, 1132.8092261376908, 1076.7444001549281, 1031.5949257137001, 1015.0062883754133, 999.999177227189, 980.1265016433077, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455, 965.8619413976455]]"
