prod_discount_L,prod_discount_H
"[[4879.074120702198, 2557.1331424286673, 2514.059002425046, 2483.7695813963123, 2455.789674880251, 2440.001275080222, 2428.321521370953, 2429.507214294543, 2999.3895280343436, 2939.231090128128, 3502.8864491385675, 3211.8811460314614, 3594.5701219382454, 3534.290987292897, 3808.945893667875, 3231.1029880338106, 3428.716457437585]]","[[2250.6130841966733, 1983.455341668894, 1887.6278496058758, 1852.166475709995, 1810.4292233629324, 1780.0543446324261, 1755.925649324626, 1736.780393611389, 1731.7702830028966, 1730.138966520214, 1730.138966520214, 3417.8040905308753, 2626.7379904413415, 4407.476576283602, 2298.250139053792, 3335.195902387991, 2907.3141094726243, 2729.1703926449595, 3511.0990987853484, 2765.041249857638]]"
"[[8059.180130592157, 2579.798353077645, 2400.9780707663635, 2317.4416578841415, 2233.995520474749, 2211.9782420269235, 2191.4830864593837, 2179.1705037797788, 2167.490282973538, 2163.568461479669, 2163.211677279328, 2163.568461479669, 2698.134853667268, 2659.1707715362327, 5464.19332414616, 2781.1404720365135, 2850.258907159686, 4885.695075218991, 3841.4918530807604, 3496.8081121762943, 5064.059163329977]]","[[2917.613497087672, 1923.252730219104, 1899.4351136136952, 1885.8677802455113, 1873.5077401180786, 1882.0345794077007, 2762.6110545205383, 3147.4932193718105, 3280.5986827973093, 2835.6949380581145, 2836.3357055232977, 3073.3793587154364, 2643.05826378884, 3226.7773068592915, 3018.916783313484]]"
"[[5178.644995499634, 3350.2158330025545, 3230.3537242326256, 3116.4104586475987, 3038.7081186168143, 3031.1057567188655, 3027.594446780415, 3025.7141336877944, 3026.4848824132882, 4233.80419666378, 3553.902641725471, 3556.9782311521276, 4185.623700040498, 3636.035224494226, 3367.828075287507, 4772.352162021092, 3594.6823243937724, 3494.8153084374617]]","[[213.72521168842204, 0.0, 0.0, 333.77729561397143, 363.7760449208884, 448.98553047085363, 150.80829489273265, 199.75702608962848, 376.04450028698545, 325.5242412479713, 68.25602015429409, 68.25602015429409]]"
"[[154.78533936881703, 998.2841668027124, 2333.7275177817874, 415.9619671929075, 503.19643738307906, 498.1029651839989, 1831.680576894039, 387.76611041231746, 819.550059059161, 753.0230184962898, 1646.6857921837757]]","[[979.70378838231, 769.690624215657, 584.4990237928679, 457.9074588323981, 390.38886859639365, 346.88569261349016, 323.054700578656, 320.49054481490896, 320.49054481490896, 1000.7955305663197, 1618.8998349316373, 1122.7292438175966, 2350.7693363998587, 1635.7962874723617, 2157.6241332477994, 2967.151211766881, 1816.8437561804067, 1840.4574167387125]]"
"[[2175.6614738171643, 821.9901343981837, 657.774778812211, 539.413212778973, 445.7976498150051, 417.97100048834125, 399.317737603964, 391.2505401638166, 391.2505401638166, 976.5241928392157, 967.8188989092997, 1875.8033289313767, 1135.6550049288262, 1345.2419438309203, 1114.3712764033237, 2459.2789573803234, 1131.2236193604222, 1577.576701237122]]","[[6003.268639927032, 2552.355374780593, 2433.287547364884, 2286.9347375062375, 2215.9917455065693, 2168.479151527975, 2143.7253203644923, 2125.3531431469974, 2121.0397268857723, 2125.3531431469974, 2579.532336288497, 2603.845349904229, 2395.041128199333, 3022.81761158061, 2860.061174392674, 2490.165999148837, 2739.816895698509, 2692.190524236292, 2285.3059843999717]]"
"[[642.2490452700716, 475.24868697893334, 466.6212976822319, 458.16803073280875, 458.16803073280875, 948.2555095994321, 1212.856925902433, 807.2101791531239, 692.3930524485554, 636.0682606266723, 465.03430852545347, 576.1780873460123, 837.3238930382688, 1013.1706439583543]]","[[943.2303488531913, 354.0233761801809, 305.1316385762358, 294.84193031311355, 294.84193031311355, 843.1780251470334, 406.24229977765617, 1076.4898642653602, 628.5030698748466, 1482.1315207242462, 984.4153451783606, 1875.2191243976422, 354.6068094035725, 527.1016327075811]]"
"[[5115.63306309253, 5077.823474490432, 5045.094873538333, 5004.426802402574, 4985.388016736132, 4947.401173616962, 4934.29489548381, 4924.184013083674, 4910.524299531593, 4905.978557094944, 4905.048857456724, 4904.8222090814725, 4905.048857456724, 5449.196541953761, 5304.013612182142, 5841.532191536655, 5320.67411128958, 6008.445541445306, 5279.448075203386, 5245.590692053044, 5521.151829651069, 6395.688120457054]]","[[1715.2481178635028, 801.488820719974, 715.7644199174614, 627.0508845845116, 612.8719208249871, 612.8719208249871, 1672.2897901218007, 1511.502784491238, 1835.8934501132062, 2585.4017068515154, 2433.0790051934, 1785.5586689873119, 2019.8234709017777, 2076.4821417041676, 2109.4189925880005]]"
"[[1139.9088762561196, 478.2627593741381, 329.74174956520983, 305.25197222366626, 305.1121138965732, 305.1121138965732, 716.2300264538123, 1971.7504707240714, 504.11691256028996, 613.5215254851362, 1680.2149166144013, 488.15479663194594, 1991.2393708425168, 1621.7488541082366, 768.4426305630014]]","[[2375.2388260259117, 2238.7098980851542, 2186.691914350658, 2175.34193073987, 2156.1579260747976, 2149.5847202420027, 2144.4457096160995, 2149.5847202420027, 3040.7330688791635, 2943.2233972131585, 2763.756049735493, 2779.8998560772857, 3171.3926352526523, 2705.2505655553787, 2987.3680585348243, 3073.2209129242065, 2683.9226251903215]]"
"[[1685.7917640115918, 436.28695002493265, 413.94238934031483, 393.2846324771587, 372.5642368886982, 372.5642368886982, 1641.4350259913022, 1280.763967066484, 966.1227556389093, 2200.919835179667, 808.0017576163302, 1595.2762678704082, 1764.5037160075256, 1162.6381948616197, 1306.4776936142696]]","[[7623.67029494013, 2983.658729410525, 2872.132402580303, 2815.6020456878146, 2746.72289904229, 2694.571567946966, 2676.4421004196215, 2655.379843001176, 2641.4494518628653, 2631.5227404853426, 2627.942501067057, 2627.942501067057, 3776.091269462304, 3343.9138193567333, 3788.2556219696453, 3424.4256066795215, 3448.440725853686, 3175.2653271178892, 3813.5215651655735, 3532.1078809114715, 3407.9902112855125]]"
"[[4937.530601964663, 2696.4413843051034, 2674.048670374267, 2663.219041011318, 2655.8309464924305, 2649.574570045701, 2642.0175408454916, 2637.2088469557953, 2635.1876709770377, 2637.2088469557953, 3340.568775904491, 3629.001907076197, 3781.0065505936886, 3420.3077109568244, 4907.954218710535, 3148.2357527380623, 3958.427303367917, 3240.6699746096847, 3666.6393786951803]]","[[1468.650025053546, 1202.9231315323775, 1132.8092261376908, 1076.7444001549281, 1031.5949257137001, 1015.0062883754133, 999.999177227189, 980.1265016433077, 965.8619413976455, 965.8619413976455, 1528.827651554207, 1473.9111835396784, 1664.2589239202605, 1001.0003740257887, 1595.3745105598864, 1638.9888885390885, 1689.7163847003321, 1211.3818643141065, 1293.8880200790124]]"
