prod_discount_L,prod_discount_H
[3. 0. 0.],[ 0. 14.  0.]
[ 4. 12.  0.],[ 1. 14.  2.]
[0. 3. 0.],[ 1.  2. 10.]
[0. 0. 0.],[0. 0. 1.]
[3. 0. 3.],[5. 3. 0.]
[4. 0. 0.],[0. 4. 8.]
[0. 0. 0.],[14.  1. 14.]
[5. 0. 0.],[ 0.  0. 14.]
[0. 4. 0.],[ 5. 14.  0.]
[4. 0. 6.],[14.  0.  0.]
[0. 6. 0.],[14.  2. 14.]
[0. 0. 0.],[10.  0.  0.]
[ 6.  0. 12.],[3. 0. 5.]
[0. 0. 0.],[3. 0. 3.]
[0. 0. 0.],[4. 0. 0.]
[0. 3. 0.],[7. 3. 0.]
[0. 4. 0.],[14.  0.  9.]
[ 3. 14.  0.],[14.  6.  0.]
[0. 3. 0.],[5. 0. 0.]
[ 0  5 14],[0. 0. 0.]
[13.  0.  1.],[0. 2. 0.]
[ 0. 14.  0.],[14.  3.  0.]
[0. 2. 0.],[5. 0. 0.]
[ 3.  0. 14.],[ 1. 13. 13.]
[ 4 13  0],[0. 6. 1.]
[ 0.  2. 12.],[ 2. 14.  2.]
[0. 0. 2.],[12.  0.  0.]
[5. 0. 0.],[4. 0. 4.]
[ 3.  0. 11.],[14.  2.  0.]
[0. 0. 0.],[ 3.  0. 14.]
