prod_discount_L,prod_discount_H
[ 6  4  2  5 10 15  1  9  3 14 13 11  8  7 12],[10  8  3 14  4 13  7 15  6  1 12  5 11  2  9]
[ 9 14  4  1 13 11  8  7  6 10 15  5 12  2  3],[11  5 12 10  6  1 15  3  4 13  8  7 14  9  2]
[12 11  3  4  8  1  9 14 10 13  7  2  5  6 15],[ 1 11 15 13 10  6 12  5  4  9  7  8 14  3  2]
[13  5 14  1  7 11 10  9  2 12  8  6  3  4 15],[12 14 11  2 15  1  7  4 10  3  8 13  5  6  9]
[12 13 10  9  3 15  2  4  1  5  8  6  7 14 11],[14  6 13 12  1  3  2  7  4  8  9  5 11 10 15]
[14 11  3  6  7  5  1 10  8 15  2  9 12  4 13],[ 1  6 10  2  4 11  7  3 13 14 15  9  8 12  5]
[ 8  3 14 11  2  1  7 12 15  5  4 13  9  6 10],[ 9  3  7  2 12  1  6 11 14 15  5 10  4  8 13]
[ 8 10 13  7  4 15 12  3  1  5 14 11  9  6  2],[ 9  3 11 15 10  6  5  8  2  4 12 13 14  7  1]
[12  8 10  7  6  4  2 14 13  9  5 15  3 11  1],[ 3  4  1 12 11 13 10  7 15  2  6  5  8 14  9]
[ 8 11 13 15  9 12  5  1  3  4  7  2  6 10 14],[10  7  8  5 11 12 13  2 15  9  1 14  4  6  3]
[12 13  9 15 11 14  8  4  6  1  5  7  2  3 10],[ 7 14 11  1 13  9  3  4 15  8  5 10 12  2  6]
[11  4 14  7  3 13 10  2 12  9  6  5  8  1 15],[ 8 13  1  5  7 10  9 12  6 14 11 15  3  4  2]
[13 14 15  6  7  4  8 10  5 12  1  9 11  2  3],[14 15  6 13 12 10  7  1 11  9  4  8  2  5  3]
[ 4  2  6 13  3 12  9  1  5 14 10 15 11  8  7],[ 6  4  9  5  8 12 13 14  2  3 10 15  7  1 11]
[ 1 12  2  5 11  4 14  8  7 15  9 13  6  3 10],[ 1 12  5  3  9 13 11  6 10  7 15  8  2 14  4]
[11 14  7 12 10  3  4  6  1 13  5  2 15  8  9],[ 7  5 10  6 15  4 11  8 13  2  1  3 14 12  9]
[10  5 11  1 13 15 12  9  3 14  6  8  2  7  4],[13 11  5 14  1  3  6  7 10  8 15  9 12  4  2]
[ 9  8  1  7 15 10  6 12  2 13  4 14 11  5  3],[ 7 11 15 13  8  2 10  3  6  4  9  1 14  5 12]
[12 11  8  4 10  7  9 15 14  1  2 13  3  6  5],[ 7  3  6  1  9 14 15 13  5 12  4 11 10  2  8]
[ 6 13  5  3  9 12 10 14  4  8  2  1  7 15 11],[ 2 15  7  3  8 12 10  9  6  4  1 14  5 13 11]
[11 13  1 15  3  5 14  4  9  7 12 10  2  8  6],[ 1  8 12  7 15 10  2 13  6  9 11  3  4 14  5]
[12 10  2 13  3 11 15  6  1  9  8  7 14  5  4],[ 9 12 14  7  4 13  1 15 11 10  6  8  3  2  5]
[ 2  5 14 13  7 15  3  9  4 12  8  6 11 10  1],[ 2  8  4  1  5 15 11  6  7  9 10  3 12 13 14]
[ 2 13  4 15  8  5  1  3  6 11  7  9 10 12 14],[10  5  1 12  2  4 15  8  6  7  3 11 14 13  9]
[13  4  9 15  6 10  3  8  5  7 11 12 14  2  1],[ 4  2  9 11  3  1 14 12 10  5  6 15  7  8 13]
[ 8 13  4 15  5  7 12 14  6 11  3  2 10  1  9],[ 7 12 14 10 11  2  6  1  9  3  4  8 15  5 13]
[11  6 12 14  5 15  7  1 10  3  9 13  2  4  8],[ 9 14  1  7  4  8 13 11  2  5  3  6 15 12 10]
[ 1  6 11 13  7 14  9  8 15  3  5  2 12 10  4],[13  6  9  2 15  8  7  5  3 11 14 12 10  1  4]
[ 8 13  7  4 12  6 10  3  9  5  1 14  2 15 11],[14  6  4  1 15  9 13 10  2  5 12 11  3  8  7]
[ 5 13  3 11  8 15 12  1  2 10  9  7  4 14  6],[ 2 11 10  3  6  5 13  8  4 15  9  7  1 14 12]
