due_time_L,due_time_H
"[[1800.9857661862943, 1292.8805593935042, 1178.23751469043, 1099.7120672075944, 1068.7017224366186, 1039.4656610785848, 973.2722805712349, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726, 971.494807087726]]","[[6500.496988154631, 4612.45619653682, 4570.841651677912, 4535.365221694392, 4511.817167878618, 4499.556144723407, 4489.858411300737, 4487.87251747761, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725, 4487.529259962725]]"
"[[3915.409428790523, 2092.8167438547557, 2002.1248132087323, 1899.3949058623139, 1820.176935799045, 1750.62653084419, 1723.7773970415656, 1703.3722331436247, 1685.5087471140528, 1671.663106504824, 1665.3794998864769, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058, 1661.180571536058]]","[[289.4718348340722, 265.49762945420605, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845, 56.768690661742845]]"
"[[7481.859504003312, 2535.145831218172, 2473.373060753412, 2435.313831084155, 2427.1086189189714, 2402.735464760817, 2399.760163131023, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056, 2398.2537386641056]]","[[490.09568628510476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[6551.859924337021, 4442.74950379463, 4373.842454579695, 4335.314940085513, 4317.886468012832, 4305.167383903807, 4293.597235393258, 4285.4383204135265, 4275.73585116407, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856, 4274.332930375856]]","[[3955.29253391591, 2337.5229718744145, 2219.1252364269503, 2140.463353538553, 2076.6445445043164, 2028.1735333228976, 2003.5486067442187, 1984.090186709565, 1977.4169919785027, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033, 1974.7566808112033]]"
"[[6299.180616440352, 3641.2554243396253, 3558.0171304920746, 3480.7981759580566, 3432.288843111935, 3398.892916699911, 3363.571700811946, 3341.4365052379426, 3326.8200659301297, 3319.5492101059085, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324, 3319.5287376245324]]","[[925.6157199019224, 909.1225460299838, 894.1313293882849, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159, 887.8562953382159]]"
"[[1572.9504260632898, 707.8687803412321, 605.5384435203197, 540.3701828111311, 487.0441435190704, 452.55355704787513, 404.7819463390358, 394.5528068990637, 377.6347806272886, 348.18721655169486, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415, 343.61110087800415]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[2317.3728496805825, 2263.098180816553, 2231.4755117870086, 2211.4851269075666, 2207.013263154954, 2205.8716587978583, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685, 2205.1071789840685]]","[[598.4649915688904, 498.7701606453927, 455.72856328927037, 447.67150759360413, 437.09849898320965, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527, 436.9406138732527]]"
"[[8528.554051724224, 4856.078627816088, 4802.962161071044, 4755.849157339499, 4750.769113083272, 4748.089165947775, 4745.831454621987, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159, 4744.825643464159]]","[[375.8314287163676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[7810.989236518924, 4693.669747937532, 4621.181898997658, 4574.711662811468, 4520.892299508334, 4487.978743539514, 4446.416813554981, 4422.619972718981, 4409.6824785280605, 4397.070071223606, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568, 4394.721468516568]]","[[2227.970471369405, 1488.8362465424784, 1401.3316646479225, 1354.5728049797056, 1344.9882483946633, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354, 1341.9593795591354]]"
"[[6184.345430230872, 5520.282606853586, 5466.440737153488, 5427.0988333859395, 5398.209462383667, 5371.536987119027, 5353.10217284946, 5339.681139479195, 5329.0006667023, 5318.9419786105, 5313.491258376354, 5308.655796772341, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948, 5306.492564833948]]","[[392.26172207764733, 392.26172207764733, 295.7850248503433, 295.7850248503433, 295.7850248503433, 295.7850248503433, 295.7850248503433, 295.7850248503433, 295.7850248503433, 288.0792209096889, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358, 201.0833189968358]]"
