due_time_L,due_time_H
"[[1800.9857661862943, 1292.8805593935042, 1178.23751469043, 1099.7120672075944, 1068.7017224366186, 1039.4656610785848, 973.2722805712349, 971.494807087726, 973.2722805712349, 2627.7446390710347, 2344.9962812905424, 1946.0306459309168, 2057.786847925567, 1675.7023700684288, 2421.359775698281, 1566.205338129364, 2728.0724740739092, 1766.0255426513577]]","[[6500.496988154631, 4612.45619653682, 4570.841651677912, 4535.365221694392, 4511.817167878618, 4499.556144723407, 4489.858411300737, 4487.87251747761, 4487.529259962725, 4487.749808366826, 5285.373875667767, 5080.188337900456, 5163.187015821301, 6044.240858520632, 4703.134978228688, 6503.435574996032, 4855.1947948493635, 4767.177632132866, 5828.843054208113]]"
"[[3915.409428790523, 2092.8167438547557, 2002.1248132087323, 1899.3949058623139, 1820.176935799045, 1750.62653084419, 1723.7773970415656, 1703.3722331436247, 1685.5087471140528, 1671.663106504824, 1665.3794998864769, 1661.180571536058, 1661.180571536058, 2807.7103468333967, 2806.1045481802194, 2745.8691932529464, 2903.403410933041, 2515.7599097334073, 2184.2381530996904, 2454.9648122832314, 2666.429538419502, 2216.784709862239]]","[[289.4718348340722, 265.49762945420605, 56.768690661742845, 56.768690661742845, 56.768690661742845, 365.5192121302242, 188.29425402037145, 149.64627344721535, 115.84206317988925, 607.4940303197795, 198.15901258105495, 280.65094697016764, 56.768690661742845]]"
"[[7481.859504003312, 2535.145831218172, 2473.373060753412, 2435.313831084155, 2427.1086189189714, 2402.735464760817, 2399.760163131023, 2398.2537386641056, 2399.760163131023, 3111.091079213028, 3708.056750784606, 3973.3699752539533, 3635.631033702692, 6689.750771238848, 3326.0088569779064, 5345.17717213731, 3009.7255148224613, 3089.8956419558153]]","[[490.09568628510476, 0.0, 0.0, 460.1269996833114, 0.0, 675.2628865026269, 756.7412313383307, 405.8104920862417, 541.2825446852478, 326.8504447777089, 135.46923434845866, 1792.4583580327646]]"
"[[6551.859924337021, 4442.74950379463, 4373.842454579695, 4335.314940085513, 4317.886468012832, 4305.167383903807, 4293.597235393258, 4285.4383204135265, 4275.73585116407, 4274.332930375856, 4275.73585116407, 6912.187417041016, 4634.97382059721, 7247.082013929445, 4681.299894736759, 4973.368674546455, 4834.169475734938, 4508.86902387882, 5151.873265730624, 5033.737392796352]]","[[3955.29253391591, 2337.5229718744145, 2219.1252364269503, 2140.463353538553, 2076.6445445043164, 2028.1735333228976, 2003.5486067442187, 1984.090186709565, 1977.4169919785027, 1974.7566808112033, 1975.5664362256339, 3859.0937623329173, 3213.094294205715, 2816.805130590909, 3031.763339224047, 3451.2561640723807, 2686.516236383559, 2598.845100209482, 3690.264735981754, 2775.041717896121]]"
"[[6299.180616440352, 3641.2554243396253, 3558.0171304920746, 3480.7981759580566, 3432.288843111935, 3398.892916699911, 3363.571700811946, 3341.4365052379426, 3326.8200659301297, 3319.5492101059085, 3319.5287376245324, 3319.5492101059085, 3894.943734236697, 5483.815458708472, 3977.0691374728776, 5322.325346914983, 4404.710341334043, 5864.805414631188, 4054.5729037933897, 3989.9743056786533, 4956.081321276795]]","[[925.6157199019224, 909.1225460299838, 894.1313293882849, 887.8562953382159, 887.8562953382159, 2119.8479112298846, 2238.6480100339472, 2486.1661363168246, 2340.8592854899443, 1838.5550109847316, 2940.5811224941376, 3856.096971375935, 1949.503712408751, 2033.1395303245458]]"
"[[1572.9504260632898, 707.8687803412321, 605.5384435203197, 540.3701828111311, 487.0441435190704, 452.55355704787513, 404.7819463390358, 394.5528068990637, 377.6347806272886, 348.18721655169486, 343.61110087800415, 343.61110087800415, 1393.6677521851225, 1218.3491554395564, 2265.973335349914, 1581.026706848997, 2700.591045999145, 2003.718242480782, 1606.460120681421, 1798.020111373801, 2052.660644390566]]","[[0.0, 29.50035396819169, 550.3973085494332, 0.0, 72.60193541115626, 31.235597913904765, 44.99672427556386, 0.0, 500.9241576649347, 69.74792888462721, 0.0]]"
"[[2317.3728496805825, 2263.098180816553, 2231.4755117870086, 2211.4851269075666, 2207.013263154954, 2205.8716587978583, 2205.1071789840685, 2205.8716587978583, 4306.599957084129, 4749.739213776251, 3388.7640291956222, 2972.8938783551703, 3588.086781864498, 3840.028667135743, 3631.037491508797, 3531.0508621269, 3673.188221118177]]","[[598.4649915688904, 498.7701606453927, 455.72856328927037, 447.67150759360413, 437.09849898320965, 436.9406138732527, 436.9406138732527, 1649.2158671902775, 1671.6650184066389, 1429.7851832753745, 698.1615562380082, 2161.2291890407423, 1432.964458612054, 1910.6925719790106, 1177.3072888330385, 1627.9057143313069]]"
"[[8528.554051724224, 4856.078627816088, 4802.962161071044, 4755.849157339499, 4750.769113083272, 4748.089165947775, 4745.831454621987, 4744.825643464159, 4745.831454621987, 6392.558716945756, 6528.283363642904, 9770.075611110675, 5145.612247694555, 4976.180391958806, 4893.7983880626325, 6832.2269250469035, 6637.375277887558, 6857.220689564784]]","[[375.8314287163676, 0.0, 0.0, 168.11425629959865, 242.98815067063043, 282.06456925041624, 349.42174038195935, 98.55948359807016, 322.038513433859, 197.26911461175717, 474.3773973143194, 952.2554039986487]]"
"[[7810.989236518924, 4693.669747937532, 4621.181898997658, 4574.711662811468, 4520.892299508334, 4487.978743539514, 4446.416813554981, 4422.619972718981, 4409.6824785280605, 4397.070071223606, 4394.721468516568, 4397.070071223606, 6341.457090881025, 5426.009023453905, 5275.955353296489, 5246.114537448467, 5346.991391977889, 5665.692953071184, 5405.981252369129, 5545.49986730383, 5217.1234437307085]]","[[2227.970471369405, 1488.8362465424784, 1401.3316646479225, 1354.5728049797056, 1344.9882483946633, 1341.9593795591354, 1341.9593795591354, 1742.3357695762552, 3437.841284013349, 2536.33479682039, 3101.2758834874976, 1919.348674267441, 2935.270531698793, 2784.420720860432, 3232.5350156942645, 2517.035052166444]]"
"[[6184.345430230872, 5520.282606853586, 5466.440737153488, 5427.0988333859395, 5398.209462383667, 5371.536987119027, 5353.10217284946, 5339.681139479195, 5329.0006667023, 5318.9419786105, 5313.491258376354, 5308.655796772341, 5306.492564833948, 5308.655796772341, 6266.427878775166, 5748.283984954303, 5656.664109800268, 5764.754370411567, 5656.917182714697, 5794.064366503639, 5845.5723074371845, 5524.0143495629345, 5986.068069096646]]","[[392.26172207764733, 602.8813745707536, 295.7850248503433, 295.7850248503433, 393.70563621880245, 823.1537884314085, 1565.366129576558, 493.18319723291125, 515.1615782573294, 288.0792209096889, 201.0833189968358, 201.0833189968358, 307.3901789979444, 353.29928899545, 545.9114361910663, 611.8142279674219, 576.7100176310605, 341.2023705628691, 358.1732293975433, 610.8770861002465, 698.2144111845103]]"
