due_time_L,due_time_H
[0. 2. 0.],[0. 3. 0.]
[4. 0. 3.],[12.  1.  1.]
[ 3.  0. 14.],[5. 3. 5.]
[0. 3. 0.],[0. 3. 0.]
[5. 9. 0.],[0. 0. 0.]
[ 2. 14.  2.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 2.]
[ 5. 11.  0.],[ 5.  2. 10.]
[ 4.  1. 14.],[ 0.  4. 14.]
[ 0. 14.  0.],[4 7 5]
[14.  1.  9.],[ 5.  2. 14.]
[14.  2.  5.],[ 3.  0. 14.]
[4. 5. 0.],[4. 0. 0.]
[14.  0.  0.],[ 0. 14.  4.]
[14.  0.  0.],[ 0.  0. 12.]
[ 3.  0. 14.],[0. 0. 0.]
[ 0 15  0],[ 2.  0. 12.]
[0. 2. 0.],[4. 7. 0.]
[0. 3. 0.],[0. 0. 0.]
[ 0.  0. 14.],[0. 0. 0.]
[0. 4. 0.],[ 5. 10. 10.]
[0. 0. 0.],[11.  5.  2.]
[3. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[ 2.  0. 14.],[4. 0. 2.]
[ 7. 13.  0.],[0. 0. 0.]
[ 0. 14.  2.],[ 4. 12.  0.]
[0. 3. 0.],[4. 0. 0.]
[0. 4. 0.],[0. 4. 0.]
[ 2. 14.  4.],[4. 0. 0.]
