upstreamdiscount_H
[ 7  1 10 11  3  5 14 13 12  9  8  6 15  4  2]
[15  7  8 12  1 14  5  2  6 10 11 13  4  9  3]
[ 6 12  2  8 14  9  4 13 15  5  1  7  3 10 11]
[11  5 10  9  2  3  8  7 13  1 15  6 12  4 14]
[ 5  8  3  1  9 15  4  2 13 11  6 10  7 12 14]
[ 5  3 15  4 11  6 13 10 14  1  2 12  7  9  8]
[ 2 14 15  6  5  3 12 13 10  9 11  8  1  4  7]
[15  4  3 14 13  9  6  1  8  2  7 11 12  5 10]
[12  2 13  7  5  1  3  6  8  9  4 14 15 11 10]
[15  4  8 13 12 10 11  6  7  1  5  3  2 14  9]
[ 3  9 10  5 15  6 14  8  7  1  4  2 12 11 13]
[ 3  4  7  5 15  9 11  8 10  6 14 12 13  1  2]
[ 2  1  4  6 10  9 15 14 12  8  7 11 13  3  5]
[14  4 13 12  6 15  3  8  2  1 11  5  7  9 10]
[ 4  2  8 15 14 11 13  1  6 12  3  9 10  7  5]
[15  9 12 10  8  1 14  6  2  7  4  5 11  3 13]
[ 6  2  3  8 12  4  7  5  9 13 10 15 11  1 14]
[12  6  5  1  4 14  7 15  8  3 13 11  9 10  2]
[ 4 15  8 10  2 12  6  1 14  9  3  5 13 11  7]
[ 5 14  8  9 12  7 15  2  4  6 11 10  1  3 13]
[ 6 12  5  4  7  8  1 13 14  2  9  3 15 10 11]
[ 4  9  2 14  3  8 15  7  1  5  6 13 10 12 11]
[ 2  5 12  7 11  1  3 14  4 13  8  6 10 15  9]
[10 12  3 15  5  1 14  9 11  2  8  7  4  6 13]
[12  3  5 11  9  1 14  4  7  2 10  6 13 15  8]
[ 9  1  5  3 11  8 13  6  7 14 15  2 12 10  4]
[ 9 10  5 14 12  3  6  2  1  4  7  8 13 11 15]
[ 5 14 15  8 13  6  2 11  9 10 12  1  3  7  4]
[ 6 10  5  7 12  2  1 15  3  9 14 13  8  4 11]
[12  3  1 15  4  7 10 11  2  9 13  6  8 14  5]
