weight_L,weight_H
"[[4901.954097890409, 3033.988545964988, 2978.5700718448484, 2938.279573056983, 2925.4289123914436, 2896.5149258939787, 2888.483262978017, 2885.2705978116323, 2882.2105715377065, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137, 2880.6042389545137]]","[[3243.7758543098016, 1724.897236486158, 1646.365704880966, 1620.313302709806, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555, 1598.216005598555]]"
"[[4542.486967518871, 4489.479601024846, 4457.675181128431, 4428.521129556718, 4386.115236361497, 4364.912289763886, 4351.660448140381, 4338.6768099946075, 4333.376073345205, 4325.261870447711, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776, 4321.728046014776]]","[[236.4937535678024, 89.40839523584971, 43.92208794604941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[4749.249301127653, 4695.870761406612, 4646.829370201994, 4598.6745425616955, 4566.303505961836, 4553.473718277002, 4541.968936705136, 4530.766937119126, 4518.237806539083, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772, 4517.873565157772]]"
"[[208.34066029889436, 208.34066029889436, 208.34066029889436, 208.34066029889436, 208.34066029889436, 208.34066029889436, 208.34066029889436, 208.34066029889436, 208.34066029889436, 208.34066029889436, 105.08217723080429, 43.322578484633596, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743, 19.401751122966743]]","[[2096.960995213582, 1618.0630645971514, 1417.3601948242886, 1235.2228871580164, 999.233728004712, 885.0441234567575, 823.7734565110479, 770.3419628523802, 741.1621237508125, 724.6750248348844, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457, 719.7717317110457]]"
"[[3115.539926014409, 996.7946615612791, 972.4926086909261, 963.2141908147073, 954.3034380955778, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392, 948.5364807994392]]","[[2893.055375639777, 1108.6282016958562, 1000.8658394893239, 831.044164837042, 775.9484838818101, 749.2268994365611, 736.9498935260336, 736.0670799399338, 635.3777906541021, 622.4445865853338, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389, 613.4674720342389]]"
"[[231.79493620754943, 231.79493620754943, 209.9566769311432, 144.49382187628999, 76.94066522032813, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838, 68.44100480408838]]","[[1345.394410736592, 1069.7366756411195, 862.506123815058, 675.8947650548478, 501.03395531345313, 397.53097652785334, 307.83778739978936, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586, 306.34617614958586]]"
"[[3125.395218053555, 1497.1506323435092, 1477.8816256999362, 1469.049997654965, 1467.4442471013317, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162, 1466.6413718245162]]","[[365.6855536523905, 9.765764679826436, 0.020440813337562633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804, 595.3998248940804]]","[[3406.288066083073, 1310.8075156372263, 1143.7833982519905, 1065.0072979250672, 1004.3146316057532, 949.4878477593552, 921.8022431172178, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387, 916.6799447997387]]"
"[[7052.128942542794, 2227.405153547609, 2158.9009458081464, 2119.608746225711, 2076.7445284994183, 2057.7342917143674, 2047.0182372827942, 2045.2322282108653, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901, 2044.339223674901]]","[[2221.25354750084, 1601.163246316125, 1341.4180173356203, 1194.988234648229, 1047.1891867568465, 995.4483121373728, 979.6206497421415, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509, 971.5879040648509]]"
"[[6233.467110420497, 3598.035128618607, 3526.4342807994954, 3476.9956001624914, 3451.423868798524, 3426.704528480022, 3410.40922627116, 3372.639656411243, 3354.008946802862, 3338.665907984483, 3328.4372154388934, 3251.608685275936, 3232.856082275693, 3228.594127048365, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994, 3227.7417360028994]]","[[1614.580691074988, 735.2633080439653, 535.8088555709018, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452, 519.9578638515452]]"
