weight_L,weight_H
"[[4901.954097890409, 3033.988545964988, 2978.5700718448484, 2938.279573056983, 2925.4289123914436, 2896.5149258939787, 2888.483262978017, 2885.2705978116323, 2882.2105715377065, 2880.6042389545137, 2882.2105715377065, 5089.995010570418, 4218.550782281098, 3735.402042635936, 5356.275566415825, 3592.578856696196, 4321.961982207877, 4404.803327627718, 3473.3498873477847, 3642.414087344474]]","[[3243.7758543098016, 1724.897236486158, 1646.365704880966, 1620.313302709806, 1598.216005598555, 1598.216005598555, 3491.3985128777776, 2685.9850640143604, 3662.926446733448, 2687.533480469905, 3798.5076799539393, 2960.574992262828, 3800.5127985385466, 2997.742825627753, 2566.1351061206974]]"
"[[4542.486967518871, 4489.479601024846, 4457.675181128431, 4428.521129556718, 4386.115236361497, 4364.912289763886, 4351.660448140381, 4338.6768099946075, 4333.376073345205, 4325.261870447711, 4321.728046014776, 4321.728046014776, 4833.624439274592, 4772.850213047393, 4546.244888134618, 4501.27598934614, 4891.340889510139, 4514.879009306938, 4689.104921607286, 4361.785070149488, 4447.214159486342]]","[[236.4937535678024, 89.40839523584971, 43.92208794604941, 0.0, 0.0, 886.5597247922931, 226.997323000297, 247.2722400552319, 980.2541676105676, 278.498712727838, 260.43841144591306, 1365.7289476975438, 265.3556731638754, 755.7266065814673]]"
"[[0.0, 0.0, 186.26313664123154, 0.0, 0.0, 69.43155238005488, 97.57788805852829, 0.0, 0.0, 0.0, 423.46127333415643]]","[[4749.249301127653, 4695.870761406612, 4646.829370201994, 4598.6745425616955, 4566.303505961836, 4553.473718277002, 4541.968936705136, 4530.766937119126, 4518.237806539083, 4517.873565157772, 4518.237806539083, 5619.833751061891, 5338.714209409537, 5265.952224897256, 5216.427172532798, 4986.95189240388, 5983.348849698504, 5320.757139499265, 5503.315654179623, 4745.1448529200425]]"
"[[208.34066029889436, 290.7764219573621, 657.2821491564437, 291.5303200897424, 366.8780129019765, 515.215589137478, 377.9081679295366, 260.54648264439584, 250.85581044786818, 439.01815634717514, 105.08217723080429, 43.322578484633596, 19.401751122966743, 19.401751122966743, 400.14553037739006, 272.5384094226831, 496.572549101744, 363.3538885238438, 279.07602262771024, 476.22060987074974, 411.0960757202479, 315.8538272026119, 388.97743271376225]]","[[2096.960995213582, 1618.0630645971514, 1417.3601948242886, 1235.2228871580164, 999.233728004712, 885.0441234567575, 823.7734565110479, 770.3419628523802, 741.1621237508125, 724.6750248348844, 719.7717317110457, 719.7717317110457, 1972.0457996352277, 2424.8948818584868, 1355.04692623671, 1886.2629803116056, 1553.3133523663732, 2122.374864936546, 2024.9430058857542, 2805.728657996547, 1610.5603110468385]]"
"[[3115.539926014409, 996.7946615612791, 972.4926086909261, 963.2141908147073, 954.3034380955778, 948.5364807994392, 948.5364807994392, 3207.7294438845915, 2128.2033294595667, 1556.4568687576475, 3773.324107991412, 2112.512256408937, 2522.673574506579, 2054.658724805001, 2477.239891957797, 2014.7590988046686]]","[[2893.055375639777, 1108.6282016958562, 1000.8658394893239, 831.044164837042, 775.9484838818101, 749.2268994365611, 736.9498935260336, 736.0670799399338, 635.3777906541021, 622.4445865853338, 613.4674720342389, 616.0964609637058, 1375.9838345635221, 1593.699340802358, 924.4716847421508, 2534.7240297125736, 1983.4735438602524, 2040.8757368580134, 1947.6245529899438, 1471.5752741610522, 1485.7937745977722]]"
"[[231.79493620754943, 302.48465929504414, 209.9566769311432, 144.49382187628999, 76.94066522032813, 68.44100480408838, 68.44100480408838, 335.0596657932458, 506.9705607845033, 832.3579664985768, 676.7132472731537, 210.81268782623033, 293.47480443097174, 456.70627571931686, 441.9382681980137, 807.128728853605]]","[[1345.394410736592, 1069.7366756411195, 862.506123815058, 675.8947650548478, 501.03395531345313, 397.53097652785334, 307.83778739978936, 306.34617614958586, 306.34617614958586, 1290.4448916964527, 1638.5091791806137, 1659.1154323152987, 1611.1401786386762, 1374.0487272286268, 2451.014931642345, 1228.0605865757268, 2511.2351064456852, 1993.7984059999908]]"
"[[3125.395218053555, 1497.1506323435092, 1477.8816256999362, 1469.049997654965, 1467.4442471013317, 1466.6413718245162, 1466.6413718245162, 2989.6256735947077, 2513.010136805805, 3878.492057488519, 2928.6564116184795, 2531.5162436429327, 1737.1203577630035, 2625.1934823733054, 2360.8760391320775, 3108.699382381873]]","[[365.6855536523905, 9.765764679826436, 0.020440813337562633, 0.0, 0.0, 532.9672197926232, 628.0271848061718, 285.500639864842, 36.68300502150107, 356.78438713757623, 941.224122689038, 489.79431917939195, 642.6770076210936, 624.8668684278185]]"
"[[595.3998248940804, 1296.5633247391986, 1248.8361727939093, 769.7838598243918, 1148.9876488055625, 1417.4719715334577, 1335.7900512638844, 1051.9961010217478, 701.0594228872376, 1270.5213862123815, 1583.878808053011]]","[[3406.288066083073, 1310.8075156372263, 1143.7833982519905, 1065.0072979250672, 1004.3146316057532, 949.4878477593552, 921.8022431172178, 916.6799447997387, 916.6799447997387, 1404.7566682907036, 1389.5696188387078, 1171.0850260004208, 3794.7227438428827, 5222.224250622099, 1263.4744922187242, 4256.9532907275525, 1642.4684848114207, 1144.1421621184477]]"
"[[7052.128942542794, 2227.405153547609, 2158.9009458081464, 2119.608746225711, 2076.7445284994183, 2057.7342917143674, 2047.0182372827942, 2045.2322282108653, 2044.339223674901, 2044.339223674901, 4083.243851724907, 2750.923678627134, 3997.1520445151173, 2425.1892282079316, 2099.16917103227, 2794.57806970011, 2691.27916814101, 2801.199429462316, 3924.628871995618]]","[[2221.25354750084, 1601.163246316125, 1341.4180173356203, 1194.988234648229, 1047.1891867568465, 995.4483121373728, 979.6206497421415, 971.5879040648509, 979.373309615253, 2126.3444652697453, 2397.643478172837, 2550.8849366888494, 1971.674749576032, 2266.79583169063, 2578.9034896144412, 2081.983841932875, 1964.8133901330489, 3380.9052813476346]]"
"[[6233.467110420497, 3598.035128618607, 3526.4342807994954, 3476.9956001624914, 3451.423868798524, 3426.704528480022, 3410.40922627116, 3372.639656411243, 3354.008946802862, 3338.665907984483, 3328.4372154388934, 3251.608685275936, 3232.856082275693, 3228.594127048365, 3227.7417360028994, 3228.594127048365, 4192.932989269599, 3887.57233075005, 3885.826557087686, 3924.7704213236443, 3583.895013859448, 4338.05907809692, 3347.34770506359, 3643.562015211372, 4352.843723051128]]","[[1614.580691074988, 735.2633080439653, 535.8088555709018, 519.9578638515452, 519.9578638515452, 1481.6460435689783, 1529.011106854532, 1343.9438395246457, 1211.1838719987236, 1330.7216135270623, 1033.576860504341, 926.0398951462032, 1131.1138682752646, 1815.903271238004]]"
