weight_L,weight_H
[5. 0. 0.],[4. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0 4 1],[0. 7. 0.]
[0. 3. 0.],[ 0. 11. 12.]
[0. 6. 1.],[14.  4.  0.]
[0. 3. 0.],[13.  0.  2.]
[0. 0. 0.],[5. 0. 0.]
[ 3. 11.  0.],[0. 0. 6.]
[0. 3. 0.],[13.  3.  3.]
[ 4. 11.  0.],[0. 0. 0.]
[5. 0. 0.],[14.  9. 14.]
[0. 0. 0.],[3. 0. 3.]
[ 8. 10.  0.],[7. 3. 0.]
[3. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[3. 0. 3.]
[3. 0. 0.],[5. 0. 0.]
[3. 0. 3.],[4. 3. 0.]
[0. 0. 0.],[4. 5. 0.]
[6. 0. 6.],[0. 0. 6.]
[14.  4.  1.],[5. 0. 0.]
[2. 2. 0.],[ 0.  0. 13.]
[0. 0. 0.],[ 0. 14.  0.]
[ 3.  0. 14.],[5. 0. 4.]
[ 0. 14.  2.],[0. 0. 0.]
[0. 4. 0.],[0. 6. 0.]
[5. 0. 0.],[ 3.  3. 14.]
[0. 0. 0.],[ 0.  4. 14.]
[14.  0.  0.],[6. 3. 0.]
[0. 0. 0.],[7. 0. 0.]
