weight_L,weight_H
"[[8390.299308896689, 1917.705641698433, 1882.1351949822126, 1851.9259351811668, 1826.124893173563, 1821.0572623989285, 1800.336319304303, 1794.123959267308, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725, 1780.785041748725]]","[[10039.36687571192, 6951.140758186946, 6598.588650129821, 6413.786177326016, 6210.70143295718, 6091.5426432154745, 5979.301911958995, 5331.212584313465, 4998.863902995663, 4949.2003523993735, 4915.36458666492, 4862.371962113986, 4843.574843591154, 4816.7858309188305, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959, 4814.119943327959]]"
"[[14155.565725895927, 3856.509111931377, 3513.1449863450875, 3415.119437737814, 3326.0659808550668, 3303.3977917099896, 3229.4438936576557, 3211.4438936576557, 3199.711389203166, 3194.9196144948605, 3186.6723285165813, 3183.6723285165813, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541, 3181.515247320541]]","[[7631.200451808116, 1838.36591974599, 1640.9800328497047, 1482.3456324424249, 1382.6819891363273, 1304.6596604300187, 1264.6060644282045, 1257.762003881209, 1242.5505196614806, 1128.096866078135, 1119.4325966839301, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478, 1057.2640248584478]]"
"[[3755.8293951575693, 138.8305776967395, 119.59417399072163, 112.59417399072163, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716, 112.19080594533716]]","[[8571.664156098688, 5474.458712205919, 5240.467412337446, 5070.727054232488, 4955.238729913487, 4854.627465594833, 4772.588907207767, 4715.638103904212, 4661.3461152015425, 4563.536078740379, 4543.709871101631, 4524.150725572166, 4495.993453253834, 4488.56994713379, 4486.766974088524, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613, 4475.391955288613]]"
"[[2074.0304999023965, 1456.9414612346084, 1440.5722629902968, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137, 1434.6212371299137]]","[[11208.250668192883, 4706.835038103524, 4343.905827234034, 4192.7595969890235, 4108.170732826781, 4049.5269584154403, 3995.015788982847, 3954.636122786106, 3908.5860395127775, 3869.196980140829, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943, 3867.3541496746943]]"
"[[10437.895879904027, 417.41906904332745, 406.1784818588326, 386.9505142329044, 376.4402929418661, 364.8821635953127, 362.71439356128894, 351.6042572916858, 346.9413463762089, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735, 345.19608281835735]]","[[10394.072179158382, 3889.124858679734, 3540.1932376370055, 3266.2891345072308, 3028.286217619966, 2906.9764745375933, 2859.0859931637106, 2822.0367961835964, 2788.624427778915, 2758.5657796245896, 2740.6266028827354, 2736.1838186001337, 2732.647674212141, 2732.317362839785, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813, 2732.3173628397813]]"
"[[12498.916370360446, 5517.339708573567, 5488.367044647937, 5462.4338253013375, 5444.202440516787, 5424.698896805145, 5412.40746362457, 5408.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286, 5407.084493492286]]","[[3724.0608582146574, 1029.6455230290999, 792.2006935883445, 570.1239541834348, 395.4673232749694, 217.68886648199702, 45.3557306256668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[9911.059260064338, 1942.4793631382045, 1912.8014865380237, 1884.0229395317883, 1866.036347652891, 1855.244392525552, 1848.0497557739936, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487, 1847.1504261800487]]","[[13690.789478355528, 3790.918672209411, 3317.7695401254055, 3079.881689666232, 2859.304717734405, 2629.6673915617343, 2517.549594738684, 2495.6694133305155, 2471.614519649496, 2419.3087896938387, 2227.228372019497, 2133.3431442363126, 2080.3160726745455, 2038.717125010146, 2023.090801121827, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367, 2013.7937900245367]]"
"[[2487.122527062266, 262.5224824130519, 262.5224824130519, 262.5224824130519, 262.5224824130519, 262.5224824130519, 173.8028043160507, 64.0359258912672, 16.942239970728224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[7329.962891787823, 2089.0776113336683, 1708.9530707224249, 1398.8397470357004, 1118.7325308559555, 924.7163943418484, 806.34890403131, 742.4251238931746, 632.5760265143795, 590.3960423938333, 557.0625416193684, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713, 556.8769557979713]]"
"[[8011.852437289483, 539.6972137004094, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277, 491.3376548388277]]","[[4639.75135674447, 816.8463263877362, 510.84723226418, 330.3434340480251, 191.1127625828933, 96.29865795853775, 65.31641602876965, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086, 52.204758767110086]]"
"[[11271.916390724225, 2873.537125074251, 2832.475465837131, 2769.327756541387, 2713.9676017302213, 2683.863300601803, 2672.1867944737774, 2657.9977447817864, 2633.0665644637147, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772, 2630.593372241772]]","[[12437.899016460222, 4399.436392038526, 4135.190389452919, 3920.1808483463237, 3870.6579521773738, 3849.075217470877, 3828.4746374833676, 3811.1253903858897, 3787.0804888439916, 3777.0527769582413, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846, 3775.1485248145846]]"
