weight_L,weight_H
"[[8390.299308896689, 1917.705641698433, 1882.1351949822126, 1851.9259351811668, 1826.124893173563, 1821.0572623989285, 1800.336319304303, 1794.123959267308, 1780.785041748725, 1780.785041748725, 4103.206893060242, 6110.845913960433, 3549.778998233937, 3555.8699243595725, 3275.635528535733, 5713.369141139636, 3159.9551757996333, 5105.23925807137, 3235.0929353434503]]","[[10039.36687571192, 6951.140758186946, 6598.588650129821, 6413.786177326016, 6210.70143295718, 6091.5426432154745, 5979.301911958995, 5331.212584313465, 4998.863902995663, 4949.2003523993735, 4915.36458666492, 4862.371962113986, 4843.574843591154, 4816.7858309188305, 4814.119943327959, 4814.119943327959, 6712.305259433752, 6067.529967515357, 7680.803261906288, 9480.594127702285, 6690.297218193215, 7115.75403857966, 7096.1020834930705, 8985.448642268593, 6855.0769498861355]]"
"[[14155.565725895927, 3856.509111931377, 3513.1449863450875, 3415.119437737814, 3326.0659808550668, 3303.3977917099896, 3229.4438936576557, 3211.4438936576557, 3199.711389203166, 3194.9196144948605, 3186.6723285165813, 3183.6723285165813, 3181.515247320541, 3182.7625332988205, 4564.108584817242, 7273.667801599716, 5385.107803172699, 5908.019247547851, 5283.808519087589, 6898.77168686153, 4900.103589718629, 4634.647894273461, 4981.762635677374]]","[[7631.200451808116, 1838.36591974599, 1640.9800328497047, 1482.3456324424249, 1382.6819891363273, 1304.6596604300187, 1264.6060644282045, 1257.762003881209, 1242.5505196614806, 1128.096866078135, 1119.4325966839301, 1057.2640248584478, 1057.2640248584478, 3189.5857472842704, 3444.060770439547, 4384.763934985853, 3712.338550264618, 4240.062539215128, 2944.0406874847927, 3635.1177642695257, 4149.972567860351, 3421.0358522612546]]"
"[[3755.8293951575693, 138.8305776967395, 119.59417399072163, 112.59417399072163, 112.19080594533716, 112.19080594533716, 1247.65083900241, 2426.644603679528, 2064.7900368745586, 1577.6306579405282, 1911.069433030273, 2460.237238758001, 1064.497657657973, 2449.3070436213943, 2848.7589885252214]]","[[8571.664156098688, 5474.458712205919, 5240.467412337446, 5070.727054232488, 4955.238729913487, 4854.627465594833, 4772.588907207767, 4715.638103904212, 4661.3461152015425, 4563.536078740379, 4543.709871101631, 4524.150725572166, 4495.993453253834, 4488.56994713379, 4486.766974088524, 4475.391955288613, 4486.766974088524, 6416.594697496871, 6984.8238175251945, 6694.536007829266, 5756.698497935892, 8819.031338518584, 6655.992895168726, 8435.820708578469, 6513.777261237848, 6356.490899298697]]"
"[[2074.0304999023965, 1456.9414612346084, 1440.5722629902968, 1434.6212371299137, 1434.6212371299137, 3066.907463204529, 2210.4728112132607, 2655.3874156685697, 3589.849388370511, 4435.012357380783, 2891.939462348528, 4517.510938037309, 3165.510966929201, 3099.2997493851194]]","[[11208.250668192883, 4706.835038103524, 4343.905827234034, 4192.7595969890235, 4108.170732826781, 4049.5269584154403, 3995.015788982847, 3954.636122786106, 3908.5860395127775, 3869.196980140829, 3867.3541496746943, 3867.3541496746943, 7253.287008877454, 4396.382161808216, 4946.58830311468, 4380.177792408924, 4571.471426193102, 5942.685362342757, 5136.64426209283, 5197.276641935626, 4758.035352069886]]"
"[[10437.895879904027, 417.41906904332745, 406.1784818588326, 386.9505142329044, 376.4402929418661, 364.8821635953127, 362.71439356128894, 351.6042572916858, 346.9413463762089, 345.19608281835735, 345.19608281835735, 1758.9398500610685, 2151.29960612942, 2279.379075950187, 5003.630490448022, 1797.0253516745888, 1801.3549257194923, 1393.200254899572, 1739.7954916882952, 2313.774300405822]]","[[10394.072179158382, 3889.124858679734, 3540.1932376370055, 3266.2891345072308, 3028.286217619966, 2906.9764745375933, 2859.0859931637106, 2822.0367961835964, 2788.624427778915, 2758.5657796245896, 2740.6266028827354, 2736.1838186001337, 2732.647674212141, 2732.317362839785, 2732.3173628397813, 2732.3173628397813, 5467.73399442272, 4590.053028790225, 4203.598107135596, 4483.425780151107, 4675.806423033898, 4418.523166431166, 5286.47658479766, 4433.050141015955, 9223.491855853405]]"
"[[12498.916370360446, 5517.339708573567, 5488.367044647937, 5462.4338253013375, 5444.202440516787, 5424.698896805145, 5412.40746362457, 5408.084493492286, 5407.084493492286, 5407.084493492286, 6953.017471926994, 6528.984872303321, 6916.952642644701, 6851.172326904456, 8131.307663326443, 7402.305420862391, 6642.942951169925, 5856.891936581025, 6355.370672929039]]","[[3724.0608582146574, 1029.6455230290999, 792.2006935883445, 570.1239541834348, 395.4673232749694, 217.68886648199702, 45.3557306256668, 0.0, 0.0, 4584.604813526443, 1394.4864725473742, 1262.9835350845894, 1157.1801799336388, 760.7022429517485, 1020.3775123939433, 923.2471596899884, 1931.9047811747457, 1746.6395315860127]]"
"[[9911.059260064338, 1942.4793631382045, 1912.8014865380237, 1884.0229395317883, 1866.036347652891, 1855.244392525552, 1848.0497557739936, 1847.1504261800487, 1847.1504261800487, 2974.924953669672, 2844.511406568545, 2984.5596478386888, 3441.478182947789, 3607.4297974489377, 3087.4965502805844, 3498.0527570790764, 2626.5820310581657, 5035.719395877643]]","[[13690.789478355528, 3790.918672209411, 3317.7695401254055, 3079.881689666232, 2859.304717734405, 2629.6673915617343, 2517.549594738684, 2495.6694133305155, 2471.614519649496, 2419.3087896938387, 2227.228372019497, 2133.3431442363126, 2080.3160726745455, 2038.717125010146, 2023.090801121827, 2013.7937900245367, 2013.7937900245367, 3119.7895691528565, 7201.448217958546, 4089.8237778773237, 4810.242457586068, 4140.331012285655, 7282.1466793637655, 4914.84029476501, 4619.048301529683, 5225.179445354497]]"
"[[2487.122527062266, 262.5224824130519, 262.5224824130519, 1361.1477591628402, 663.2540023380848, 874.9462694856493, 173.8028043160507, 64.0359258912672, 16.942239970728224, 0.0, 0.0, 1171.5879991445438, 759.1209402765298, 965.969263214045, 830.3855930084792, 611.8605399294088, 558.9063490360386, 678.7888484388504, 1008.3002949156303, 696.8344102027954]]","[[7329.962891787823, 2089.0776113336683, 1708.9530707224249, 1398.8397470357004, 1118.7325308559555, 924.7163943418484, 806.34890403131, 742.4251238931746, 632.5760265143795, 590.3960423938333, 557.0625416193684, 556.8769557979713, 556.8769557979713, 1901.805164075954, 2783.908423737327, 2571.993333832912, 4273.098462543283, 2147.6691991172997, 988.0613465834333, 1902.4774823029995, 2033.8613808738423, 1272.4876917095382]]"
"[[8011.852437289483, 539.6972137004094, 491.3376548388277, 491.3376548388277, 2090.7269684479747, 2188.9674375940135, 2944.4144614326983, 1590.620647055678, 2686.4073392824403, 2419.172390804335, 2068.7058986755737, 2720.361247473107, 2670.758412120036]]","[[4639.75135674447, 816.8463263877362, 510.84723226418, 330.3434340480251, 191.1127625828933, 96.29865795853775, 65.31641602876965, 52.204758767110086, 52.204758767110086, 1767.8721494869874, 3623.472278537259, 1379.014752056787, 831.0610180466463, 2001.8123929562257, 934.5737917565124, 1870.6686038087653, 2006.3888903630375, 1482.7537727210322]]"
"[[11271.916390724225, 2873.537125074251, 2832.475465837131, 2769.327756541387, 2713.9676017302213, 2683.863300601803, 2672.1867944737774, 2657.9977447817864, 2633.0665644637147, 2630.593372241772, 2630.593372241772, 4618.394315586214, 4032.4569682169895, 5162.9885711818715, 4160.356518934494, 3742.058024452601, 7607.431189376386, 4835.11951340996, 4366.957508834475, 4329.499848600601]]","[[12437.899016460222, 4399.436392038526, 4135.190389452919, 3920.1808483463237, 3870.6579521773738, 3849.075217470877, 3828.4746374833676, 3811.1253903858897, 3787.0804888439916, 3777.0527769582413, 3775.1485248145846, 3775.1485248145846, 7019.822214090279, 5627.6321018779145, 5713.1219949805345, 5586.690723309427, 5421.335849676374, 5591.157793244953, 5548.903792873383, 6816.555755598967, 5778.680047005829]]"
"[[4728.917609696917, 1269.6832722144063, 1236.6955145712777, 1215.9553273255337, 1209.0419315769527, 1209.0419315769527, 3119.92409528631, 4144.24344304964, 2270.154860673376, 2999.556475756277, 2454.877113978372, 2725.6514806809837, 2845.1237937245896, 2191.435012881398, 2194.6510715556014]]","[[10159.288179100562, 6002.657816598471, 5858.053423287149, 5736.290277960717, 5635.015185115373, 5597.534120802236, 5534.768095419844, 5526.444434462282, 5520.729437580109, 5516.310208498442, 5511.018297273022, 5451.837590588207, 5424.107344335958, 5414.010445506806, 5409.592273551771, 5359.721740381756, 5359.218714091503, 5359.107163908133, 5359.218714091503, 6498.485051180333, 7094.319043659234, 4659.65217463875, 4453.3640509213155, 4219.055456763152, 4045.360632405508, 3875.99854443567, 3756.198942693307, 3594.2768660798583, 3453.076713717179, 3347.732984838175, 3274.410156617837, 3214.209384426965, 3172.6709988821704, 3143.1612411873657, 3118.8032181293065, 3097.7152909150436, 3078.4582140035773, 3062.554766529237, 3054.2311055716746, 3054.2311055716746, 8136.409670059669, 4307.514372543065, 4923.9987924242405, 4336.005806911075, 4535.029863766034, 4964.934700151776, 7331.934819792052, 4692.39947262585, 4168.246276739126]]"
"[[7805.040558844501, 1137.6401841563566, 1085.4832628588451, 1066.3907535320982, 1022.0142348830013, 974.3796548616774, 957.4431433412692, 957.4431433412692, 2094.4221409856646, 3331.4757822814336, 5624.9895652800515, 2739.7713308325183, 2486.07057607261, 3200.287909735818, 2975.9825588138965, 3892.265828593294, 3039.734177106635]]","[[15506.994012386343, 8344.049924569488, 8295.551185486123, 8258.130506310179, 8237.916523539918, 8218.291383155509, 8203.976836571235, 8190.055554641556, 8184.810036833693, 8180.210934404364, 8179.076357507292, 8180.210934404364, 12683.111046149901, 7684.509685296025, 7334.279228069901, 6978.0286134858925, 6628.25214871467, 6393.947077265064, 6178.229613705287, 6048.432631250537, 5998.445222107774, 5950.511460020709, 5905.03474875061, 5861.5836878364335, 5838.36203717014, 5813.416500149299, 5792.443662455313, 5771.953469886792, 5768.941933087409, 5770.681995240684, 7270.350747351961, 6995.786145151507, 5647.424637500826, 5401.682352158526, 5074.276744831915, 4913.289631238007, 4791.89291335871, 4700.883419184187, 4628.425712326811, 4592.940055167188, 4573.493763050757, 4567.917204010312, 4564.905667210929, 4564.905667210934, 6409.6473835945035, 11278.784064561107, 8724.57495351564, 6763.352773154172, 6313.745731788533, 6385.39338119324, 5591.056780572293, 5796.876497387649, 12537.924247406438]]"
