weight_L,weight_H
[ 4. 19.  0.  0.  3.],[ 0.  7.  9. 19.  0.]
[ 6. 10. 19.  0.  0.],[ 2. 12. 19. 19.  6.]
[19. 19.  0.  0.  3.],[ 0.  4. 19.  4.  0.]
[0. 0. 5. 0. 0.],[ 5.  8. 19.  0.  0.]
[ 4. 19.  0.  4.  0.],[ 0.  9.  0. 19.  0.]
[ 6. 10. 19.  4.  0.],[ 3.  3.  0. 19.  3.]
[4. 7. 0. 0. 1.],[ 8. 19.  1.  0.  1.]
[ 0. 19. 13.  0.  4.],[ 7.  0. 18.  0.  0.]
[ 6.  0. 18. 19.  0.],[ 0. 18.  0.  4.  1.]
[ 5.  5. 19.  0.  4.],[3. 8. 0. 8. 0.]
[6. 0. 0. 3. 0.],[6. 9. 0. 0. 2.]
[19.  5.  0.  0.  0.],[11  7 16  0  0]
[0 0 0 4 0],[ 0.  0. 19. 19.  0.]
[ 0.  0. 17. 14.  0.],[ 0. 18.  8.  0.  0.]
[ 0  3 10  4  1],[0. 0. 0. 7. 0.]
[1. 5. 0. 0. 0.],[7. 0. 0. 1. 0.]
[0. 2. 4. 1. 0.],[ 0. 18. 19.  0.  0.]
[7. 0. 0. 0. 0.],[8. 0. 5. 2. 0.]
[ 0.  5. 14. 19.  0.],[6. 0. 0. 3. 0.]
[6. 6. 3. 9. 0.],[ 0.  0.  4. 18.  4.]
[ 0. 19.  3.  1.  0.],[6. 0. 3. 3. 0.]
[5. 0. 0. 5. 3.],[1. 6. 5. 0. 0.]
[ 2.  0.  3. 11.  0.],[ 0. 17.  0. 19.  0.]
[3. 9. 0. 3. 0.],[ 9 19  4  0  0]
[ 6.  5.  0. 19.  0.],[ 5.  9.  0.  0. 19.]
[ 5. 15.  0.  0.  2.],[ 0.  8. 19.  0.  1.]
[ 3. 10.  3.  0.  3.],[ 5.  0. 19. 19.  0.]
[8. 0. 2. 0. 0.],[0. 6. 0. 6. 0.]
[0. 6. 0. 0. 0.],[ 2. 19.  0. 19.  1.]
[ 1. 19.  4.  0.  0.],[ 6. 15. 12.  0.  0.]
