weight_L,weight_H
[18 14 19 20 15  9  4  2 17 16  5  1  6 12  3 11  7 13 10  8],[ 7 18 10 17  9 14 16  3  2  1 20  4  5  8  6 15 12 13 11 19]
[16  3 14 13 10  5 17  6 18  1 12  4  7  9 19 20  2  8 15 11],[ 8 17 12 14 19 13  5 16  3 20 18  1 10  4  2  7  9 11  6 15]
[ 1 18  5 10  2  9  7  8 14 16 11  3 19 15  4 17  6 13 12 20],[12  3  1 20  9  8 13  2 17  7 19 11 14  6 16 18  5 10 15  4]
[ 7 20 19 17  1 11 18  6  9 14  3  4 13  8 15 12  2 10 16  5],[ 2  4  8  9 14  3  7 18  5  6  1 17 20 11 16 10 19 12 13 15]
[15 11  9  2  4 19 20  5  3 12 16  8  7 10 18 13  1 14  6 17],[ 6 12 14  5 17  7  9 19  8 20  4 15  1 13 10  2 11 18 16  3]
[ 6  2 16  8 15  4  7 20 18 11 13 14 19 17  5 10  1 12  9  3],[20 16  9 10  2  6  1  7  8  3 17  4 19 15 18 14 12  5 13 11]
[18 20 13  6 15 14 10  5  7  9  3 12  4 11  1 16 17 19  8  2],[15 14  7 16 12 18 17  8 13 11  2  9  3 19  4  5  6  1 20 10]
[ 3 15  7 20  2  8 12  1  4 16 18  5 17 13 10 14 19  9 11  6],[10  7  8 11  4 16  5  2 18 15  9 17 20  3  1 12 13  6 19 14]
[20  8  5  3 17 12  6 11  7  2 16 13  4 18 14  1  9 15 19 10],[ 8 10 12 11  7 19 18  3  5  6 20  4 15  1 16 13 17  2 14  9]
[ 8  4 19 15  9 10 12  1 20 17  3 18 13  6  5  7 16 11  2 14],[ 8 11 18 13  4  5  1 16 14  6  9  2  3 19 15 17 10 12 20  7]
[ 6  9  5  3 16  2 17 18 13  1 19 11 10 12 20  7 15  4 14  8],[ 7 11 17  6 10 15  3 13  5 18  2 12  8  4  9 20  1 16 14 19]
[ 2 20  5 18  8  6 17 19  4 13 10 11  9  1  3 14 15 12 16  7],[20  3  8 10 16 14  9  2 19  1  6  7  4 11 15 18 13 12 17  5]
[ 7 11  2 12  9 15 18 13  8 10 17  5 20  1 14  3  4 19 16  6],[10 16 14  9 19 15  1  3 20  2 11  5 12  7  6 13 17 18  8  4]
[11 10 15 16 20 14 13  7  8  9  4  1  6  2 17  5  3 12 19 18],[ 9  2 10 12  1 18 20 11 15  7  5  8  4 16 14  6 19 17 13  3]
[ 8 18  4 11 20 14  3  6 16  7 17  2  9 12 13 19 10  1 15  5],[ 7 18 16  1  2  5 19  4 10 20 17 15  3 14 12  9  8 11  6 13]
[14  5  4  1  8  6 15 13 17 11 12 16 19  7 18  2 10  9  3 20],[13  1 10  8  3  4 14  5 19  2 11 16 17  7 18 20 15  6  9 12]
[12 13 11 17  6  4  8 16  7 20 14  9 18  5 19  3  1 10 15  2],[12 17 15 11  6 19  4 13 20  5  2 14  1 10  7 18  9 16  8  3]
[20  8 14  7  9 17 13 15  4  5  6 18  1 10 16  3 12  2 11 19],[10  7 19  1  9 18  8  2  3  5  4 16 13 15 17 20 12 11  6 14]
[19  9  6 13 15  5 11 16  1  3  2 18  8  7 14 10 17 12 20  4],[13 14 20  9  6  1  4  7  2 11 18 10  3 15 19  5 16 12 17  8]
[ 3 12  1  9 13  6  4  5  2  8 17 15 20 14  7 16 18 10 19 11],[12 18  1  2  7  5 11  8  6 10  3 20 14 15  9  4 19 13 16 17]
[17  2 13  6  1  9 16 11 20 15  5 12  4 14  7 18  3 10 19  8],[17  6 15  1 10  8 16 14  9 18 11 19 13  3 12  5  7 20  4  2]
[18 15 19  8  7 12  1 10  4  6 20  3  5 11  2 14  9 16 17 13],[16 11 14  2  8  5 12 18 19  9 10  1 13 17  4  3 15  7  6 20]
[ 4 13  8 15 18 10  9  5 12  1 19 11  3 16  7 20 14  2  6 17],[13 18 17 15  5 11 14 19  8 20 10 16  6  2  4  1  7  9  3 12]
[ 7 17 19 10  8 16  4  1  5  9  2 18 12 11  3 13  6 20 14 15],[13  2 10 15  6 12 17 18  1  8 14 16  9 20  3  5 11 19  4  7]
[ 8  1  5  3 13  7 16 17  2  9 14 11  6 10 15 12 20  4 18 19],[ 5  4 19 18 12 20  8 15  6 11 10  1  9 17 14  7  3 13 16  2]
[10 19  9  7  6 18  4  2 15 20 17  5 14 13  1  8 16  3 11 12],[ 8 13 19  4  5 14  7  6 11 20 18  3  2 17 10 12  1  9 16 15]
[ 8  5 17 18 10  1 19 20 12  7  6 11  4  9  2 15 16 14  3 13],[14  2 12  8 11  6 16  7  4  1 15 19  9 17 10 13 18 20  3  5]
[ 7 14 10  6 18  5  9  1 20 11  3 13  8  2 12 15  4 17 19 16],[19 14  6 20  8  3 15 10  2 12  1 13 16  9 17  4 18 11  5  7]
[ 3  8  7 13 16 20 12 18  2  9 17  1  6 14 15 10 19  5  4 11],[ 2  4 16 17 20 13 11  6 19 12 10 15  5  1  3  7 18 14  8  9]
[ 8 20  1  3  2 11 14 15  7  6 16 12 10 18  4  9 19 13 17  5],[19 15  8 16  4  9 18 11  5 14 10  2 13 17  3  7  6 12 20  1]
