benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
2183.1958303793394,1784.0937355252827,3482.246581012445,2624.5755908651813,1386.8117224356174,3521.3061261026637,2676.005725271336,2793.1597161942373,5142.702842820953,3412.405412395041,3468.989870048001
5161.821689830268,1709.9144209668123,2756.282698868212,2379.745906287326,4154.8084661443645,2671.6542491699843,4341.683800471161,2983.399935702444,2686.1453624123646,3110.994833607474,2745.7629536627574
6550.801426052062,1585.255614833295,2368.268357127527,2713.85363363347,2605.8903643815356,2473.2374717338434,2077.621778792371,2450.444881741352,2635.963830525914,1769.5726450557486,1427.4952090649967
1597.0956677971599,3066.248602930904,1740.1312325129086,2487.485454108617,3447.77488235342,3637.7109216111207,3162.5159339555935,1587.5053151377538,9362.867899700763,703.8229478626599,1470.1709623904098
2244.6495304835034,2479.333523243309,1205.513971080283,2517.9918730431064,2443.478156686513,2392.752929951829,2480.440414025094,4272.585408026614,2098.4771031447526,2130.5501663115515,2366.6630102552153
1608.1572525625743,1683.8848872336187,3783.0464843936825,3402.726567882622,2799.973229510807,6894.470317353191,1593.6365617769043,4745.537981383644,3548.6014759053382,2144.657246762188,2465.998302470929
2755.271031849894,2910.804963707177,3576.5116413380383,2293.965320478243,2769.581551786412,1705.2191701839786,2253.8205413264586,2590.037472227961,2857.692680873224,2895.3690965289125,2776.6205005829866
2413.2410351732906,1206.6407679127951,3029.6568651806815,1271.1760740881946,2136.678151439475,2158.784608466956,3452.1867944113687,2648.5119743302694,2324.5349805185,3357.403650054337,5523.499546138256
1678.996120015654,1202.227386459278,3042.867956390608,2143.660705134287,6143.245592465624,2156.312256962673,5237.9822962310645,2278.4410637432165,1882.067569083556,2498.7584246961305,1356.8834503189355
1646.2392259950502,1922.3882603490806,2893.4608052696603,1127.9616002532034,5255.97600961853,3896.6345467012397,3031.9202804262563,2293.390299908239,5550.63849135393,2994.067980173008,3659.2708297730205
8128.7278699028,2133.909046671511,7453.5128001142075,2125.6914162221074,2136.6669365909765,1786.5853852025393,1385.1004721805339,2731.7753140152604,1487.394998124837,2561.827023770923,2409.3302276698305
