benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
1980.3549485810324,1584.8545764095907,3139.1602223384284,2465.1794866858104,1200.2356779859983,3207.0540236036536,2660.4019083542325,2505.486319959945,4826.690853355313,2764.6593801602016,3137.713218708712
4690.079718877677,1590.1306879045196,2800.1898252160463,2159.034280278021,3714.218856708548,2156.9771353455185,4035.2545508777575,2635.7556277213225,2199.533425889167,3171.9466050631745,2461.162127973867
6126.655326844916,1356.67794465084,2307.676790165392,2246.3425536293907,2336.0101857024965,2256.066341350481,1920.9653410547103,2077.443355258494,2635.9638305257467,1440.0141713929418,1303.6455536610588
1548.89573576635,2904.1381898284817,1691.4068563269884,2487.485454595655,3146.709749788954,3359.644484141679,2749.642418263898,1367.9522443586307,9110.002129443545,703.822947862609,1457.8150405691772
2019.366774993411,1991.3432838050232,1202.767724604057,2364.8703794138,2134.0446173018613,2026.1657474197789,2220.8972230136665,3750.0293632906623,2092.072048546202,1825.1651181045838,2010.7558019692078
1608.1572525626107,1701.513357609838,3456.218355121083,3118.7978678242357,2507.490425997278,6462.141899080425,1609.159114342001,4263.726606718102,2967.6439592401907,2144.65724676221,2118.38997988731
2566.017143566627,2512.2323499904305,3325.818888075328,2090.9186654277437,2496.44543727029,1512.093404143794,1944.1523834873587,2513.459939238677,2428.1474701524075,2377.362897207474,2148.230675780018
2358.5353221757846,1206.6407679128388,2951.080435784429,1114.826053452969,2136.6781514396353,1858.8806277972815,2316.4622321209536,2316.718146529425,2332.7082913074846,2720.8474724825933,5097.528271781729
1485.987028532094,1072.4775584376548,2875.660835081802,1949.0506030583238,5909.779759895607,2174.4018596832248,4810.365602921345,1966.5411150135565,1888.4203441667196,2108.9702608638527,1184.1943196084414
1391.6685303712457,1908.6190893028786,2695.0733529310746,969.1228566051599,4895.275111578172,3643.7182806223977,2557.9676204206703,2150.2894959142236,5204.199429848336,2596.391516926211,3199.628799479251
