benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
2762.109156109294,2541.7305364039203,8908.748073572488,5796.4069841434575,2439.85440363113,8449.777680133508,3666.963164692562,9753.792343405628,9448.128170969312,4215.7207777203,4500.218651544949
9986.546398672492,2521.71547711322,19943.71871597944,5591.110555340308,8923.08103924671,6354.649787707118,5444.202386475164,16024.370486062526,4475.743103395946,3944.8876006847495,7133.322930096985
14557.553348339978,2143.828286379467,10298.527514223999,7214.749377260634,8880.153038990991,6190.711476105564,9669.262540808404,12832.365457639879,2635.963830525746,2640.6577426076587,5864.307832727588
2537.0698874609234,5796.576795654576,3080.846206305505,2487.4854545956546,7903.390772093784,5735.115962471522,7994.942070958706,20296.51224700477,15711.630608808535,703.8229478626132,1470.1709623903882
6479.295610635422,2476.3834081652963,13493.07793906197,7512.704590894283,4418.4619635537865,4425.353473281896,6785.94562384204,14487.42163087481,2098.4771031448545,4224.635296340126,7193.4866022679225
1608.1572525626084,3193.794462837272,7095.199289266038,5438.403052775723,6526.674477398327,13986.977586022671,1609.1591143420083,11507.367503327216,3701.446932045842,2144.6572467622022,3957.524513230378
4716.198277173102,4700.395501318827,20473.52088216981,4172.14179094588,4782.741685652508,3069.9748190960936,4296.85233412632,13939.02063774712,5304.192936743865,4682.071095537656,3870.786525841436
6479.440664297789,1206.6407679128358,11310.21894985487,8334.17678204907,2136.6781514396357,2800.1290725681447,3472.3565696454843,15323.26939786769,2332.7082913074946,6836.023356266444,13614.351105484391
5684.724243918611,1072.477558437654,13067.76148008912,3438.115355093929,11217.704331009714,2174.4018596832275,7918.070732033442,12037.615155698248,1888.420344166723,5475.390152410304,3100.38840893552
2531.662225585755,2783.935015601253,15398.39810225417,2655.44856608054,10334.865090881874,8918.583845423344,7564.097316909454,14674.755879011102,9640.554785055449,5573.013937192632,8575.627688929468
14629.53322983237,3909.7649389848248,23232.183154665112,2938.014173818623,4187.687567372778,1786.5853850236654,4662.772739921843,14946.284359374025,1487.394998124928,5295.821323229778,5464.417088290586
8285.348933610903,4047.632994503395,9576.402333622646,3613.168346895516,2462.236991952923,5012.613868585884,6455.906220325483,13588.477628828261,1415.6730813859067,6408.9117079450425,7916.510341089152
5859.280923870918,2965.9266444037366,18353.58610180008,3279.369896897445,2036.9019588993733,3954.9491611797616,3460.1176106347375,13101.671387973358,12116.787940088163,1374.2961968099485,6411.430883982128
4471.7178376575785,3104.371283334407,21326.21957930471,4441.06658023022,7237.581284916687,3596.266094324973,9113.749648967441,13688.417868689956,4044.9175130050744,5966.1712001567885,9708.884194992168
4701.410325694237,2348.708517000226,6469.474328733649,6741.160499297527,10512.337877704764,6344.060142391736,4609.206498765706,15661.831803944191,4919.951067951835,3955.0278770939863,7535.393130194424
10315.312412785926,1662.3399273384405,10040.47966556802,6488.314713065696,2438.308215214873,2124.0798984249,12033.172404642091,11450.788537963377,4638.776927960532,14205.350295572815,3938.1959693392805
5630.600487375784,3565.123473619903,15261.760002103012,8624.194267941095,5546.342645355571,4098.881124997495,4278.886414905478,14758.58696844809,4035.8133879180245,8402.978426222642,2744.9248929822593
4687.702824439738,2097.0677846202548,18579.23183264158,4530.487630455571,1598.3164190274133,3052.301948720439,2918.8425068023575,10620.272441536834,2539.6150256609894,4241.086983828641,3424.653003906318
7754.355422190306,4738.174305972759,2822.474544857047,6315.088723454863,2943.654916688625,6175.973915129851,1343.3307346629824,11931.358561512203,5944.517368773442,3358.4223417941075,2557.8044229506136
5883.9499480680815,2405.0154019323486,11301.598212443552,7115.534808433889,4015.267765097321,3316.5844182997475,3418.5298022926804,10418.61292392112,8797.842964850839,5776.648090089156,7870.86020227076
4802.508769756942,3443.978094608969,7133.178935718805,6872.8000720686405,6436.018441242127,10034.148531637875,3396.7507118616304,11557.623898818352,10553.722255885927,6640.568919703891,4367.288259858193
3341.0804262843876,2903.5584707940816,16313.729084499771,3285.6984138030875,3905.5764562133118,5006.434940426418,3559.0409882120066,13753.536441326412,1263.6426389116134,5730.668816298931,5105.430723993605
2775.2423434902935,3149.7147434336584,10814.77556262596,5573.287871931773,4734.63944345033,3017.974644758639,3180.062801876364,8730.046985549214,4404.797168902156,11491.31425884443,10979.831539328494
9368.462837942861,3344.7564394724095,9082.867007544988,4054.653370867243,3790.487081936245,7608.312163824943,13828.596124348105,8210.640431104113,9614.545686871224,9672.601424921379,3351.7388736275884
5374.89004496296,12156.32543361276,23589.788779023704,4721.157183241493,7532.252359832208,7414.587176177238,7216.926006520303,13770.095997161885,3972.2659669216287,4188.302162188065,1995.0426186857317
6254.02594620489,1773.6799463071545,6378.531708726568,6371.027376786719,4940.17373499969,3748.4119298643604,2187.4908433622822,14042.34183339779,8574.57144474735,4197.372248183498,8357.926544189357
4152.736348711833,4612.241442708547,10172.137547694832,5613.092345536308,2645.260056832078,5454.394529093203,9320.866586463515,12232.430130485365,2030.1874166270538,6588.735979157402,3777.8683343223634
4292.284083410415,1678.9910859603128,4436.864167603613,3526.104180423152,9657.235727107065,8365.366173187651,19406.43985449091,9517.618825170173,2410.910825909097,5092.97350835101,7127.35275131902
3135.8052328888066,1840.2355223765167,14243.88192144653,1695.8245376845996,8498.08876703207,7320.708443753898,5672.343287571262,10377.806586918345,1380.6091344053661,2458.7434308294423,4796.717613583214
2402.6690601514283,2227.790141390583,29916.448036276754,2765.650097180362,3022.799221438328,5042.6256885455,3463.1858320807296,13559.792177305397,2834.5686319984065,4444.335908957919,5442.285396726074
