benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[ 4  6 20 12  9  8 14 18  3  5  1 16  2 10  7 17 13 19 11 15],[ 1 18  6 16 11  2 17 15  7 13 10 14 20 12  8  3  4  9 19  5],[19  1  4  6 14  8  5 13 11 10  3 17 15 20 16  9  2  7 18 12],[20  9  5  6 19 15  3 14  8  1 11  7 10 16  4 13 18 17  2 12],[13  8 12  2 18 16 20  9  3  6  1  5  7 10 17 19 11 14 15  4],[18 15 14 19  4  9 20  2 17 16  5  1  6  3 12 10  7 11 13  8],[ 7 18 19 10 17 14  9 16  2  3  1 20  4 15  8  5  6 12 11 13],[11  2 16  1  5 19  3 13  8  7  4 12  6 18 10  9 15 20 14 17],[ 9 18  7  2  5  6 10 11 19 17 12 16 13  8  4  1 14  3 15 20],[ 9 16 18  5 11  1 10  2 15 12  4  3  8 13  6 17 19 20 14  7],[13 20 11  5 10 17  3  6 15  4 18  9 16 14 12  7 19  2  1  8]
[14  9 17 18  2 11  7 12  1  3  4 16  6 15 20  8 13 19 10  5],[17 19 13 18  1  2 15  7 12 16  6  9 14 11  3  5 10  8  4 20],[ 7  2 11 14 15 17  1  5 19 13 10  6  8 12  9 20 18 16  4  3],[ 1  9  7 20 17 13  8  5  3 14  2 11  6 12 19 15  4 16 18 10],[15  4 11 12  8  1 14  2  9  7 13 20  6  3 16 10 17  5 19 18],[14  3 10 13  5 17 18  6 16  1  4 12  7  2 20 19  8 15  9 11],[17  8 14 12 19 13  5 16  3 18 20  1 10  4  2  9 11  6  7 15],[ 1  5 17 14 11  9 15 18  7 16  4 10 13  3  6 19  8 20  2 12],[ 3 12 14 20 19  7  5 16  1 13  2 15  9 18  8  4 11 17 10  6],[ 8  2 14 19 13  3  4 12  7  9 20 18 10  1  5 15 16  6 17 11],[18  9  2 17  3 11  4 19  1 20 13 16 10 15 14  8  7  5  6 12]
[12  3  4  9  7 19 18 17  5  8 13 16  1 14 20  6 10 15 11  2],[ 9 17 18 14 10 15  1 12 19  8 16 11  7  3 20  6  2 13  5  4],[17  6  5 20  2 13 16 11  8 15 18  3 19 12 10  1  4  9  7 14],[ 1  3 18  8 12 13 20  6 15  2 14 19 10  9 11  4  5 16 17  7],[ 4 18  5 16  3  6 11  2 10  8 12 14 20 17  1  9 15  7 13 19],[ 1  2 18  9 14  5 10  7  8 16 11  3 19 15  4 17  6 13 12 20],[ 8 12  1  3  9 20 13  2  7 11 17 19 14  4  6 16 18  5 10 15],[ 5 15  6  9  2  1  4 10 18 14 11 17 13  7 20 16  3  8 12 19],[ 2 10 18 13  5  3  8  6 15 17 14  1 20 16 12 19  9  7  4 11],[ 9 18  2 17  4  7 12 19  5 20  6 16 13  3 11  8  1 10 14 15],[11 14 12  9 18 16 20 15  3  8 19 13  4 17  5  7  1  2  6 10]
[11  4 18  5 14  7  2 13  9 16 10 12 20 15 19  1  8 17  6  3],[ 5 15  7 11  1 12  3  8 13 16 14 10 20  9 19 18 17  4  6  2],[ 5 14  6 11  8 12 13  9 10 19  3  4  7 20  2 16 15  1 17 18],[ 3 17  4  1 15 16  8 10  2 18 11 13  6 20  9 19  5 12 14  7],[ 1 20 16 11 17 13 14  6  9 10 12  7  4 15 18 19  5  3  2  8],[ 7 19 20 17  1 18  6 11  4 14  9  3 13 15  8 12  2 10 16  5],[ 2  9  8 10 14  4 18  3  5  6 17  1  7 20 11 16 15 13 12 19],[ 8 10  3 17  5 20 16  1  2 11  4 18  6  7 15 13  9 14 19 12],[13  9  2  7 12 15  8 14 19 10 16  5 11 20  4  6  3  1 18 17],[ 4 16 15 17  3  9 19  7  5  1 14 13  2 11  6 20  8 10 12 18],[19  1  4 10 17  6 15 11  5  7  9 20  3 13  2 14 18  8 12 16]
[11  2 10  1 17  8 16  5  9  6  3 19  4 20 15 13 18 14  7 12],[13  5 19 15  2 10 14  8  9 16  6 17  4  7 18 12 11 20  3  1],[ 2 19 16  4  1  7  3 10 13 14 20 12  9  8 11 15 18 17  5  6],[ 3 10  9 13  8 16 15 20 18 12 14  6  5  4  2 11 17 19  7  1],[10  7 17  2 11 12 16  4  8 18  1 15 13 19  5 14 20  9  6  3],[11 15  9 19  4  2 20 12  3  5 16  8  7 10 18 13  1 14  6 17],[ 6 12 14  5 17  7  9 11 19 20  8 15  1  4 10 13  2 18 16  3],[ 7 16  2 20 11 17  1 13 19  8  5 12  6 10  9  4 18  3 15 14],[15  6 17 12  1 20 11  2 13  3  4 10  7 14  5 19  8 16  9 18],[11  7 20 14  1 16  2 13 18 15 12  6  8 10  3  9 17  5 19  4],[17  3  9 11  6 10  4 13  8 20 19 15  2  7 18  5 12 16 14  1]
[14  7 20  6  5 10  2 16 18  1  3 17 15  8 19 12  4 11  9 13],[17 14  4 15 19  1  8 16 10 12 13  6  7 18  2 11  5  9 20  3],[ 1 13  6  9  8 11  4 10 12 19 17 15 14  7 16 20  3  2 18  5],[12  1  2  9  5 18  3 13 10  6  4 20  8 14 17  7 19 16 11 15],[10  2  6 12 20  4  8 17 16  3  7 14 19 15  1 11 13  5  9 18],[ 6  2 16  8  4 15 17  7 20 14 11 12 10 18 19 13  5  1  9  3],[20  9 10  2 16  1  7  6 15  8  3  4 17 19 14 18  5 13 11 12],[ 8  3  6 13  1 17 12 14 11  2  4 10 19  5 16 15  9 18 20  7],[10 12  3 20 11  9  7  1 13 16  2 19  4 18 17  6 14 15  5  8],[ 7  8 19 18  2  5  1  4 14  6 11 20 10 17 13 12 16  9  3 15],[ 3  9  6 14  7 13  4  1  8  2  5 15 16 19 12 17 18 11 20 10]
[ 6 12  1  5 10  4  2 11  8 16 14 13 19 18 20  7 17  3  9 15],[18 16  3 15  5  7  1  6 19 12  9 14  4 17  2 10 13  8 11 20],[ 8 17  3  1 15  6  5 11 18  2 19 14  9 13 10  4 20  7 16 12],[ 7 12 13 18  6 10 15 11  2 16  4 19 17  5 14  1  8 20  9  3],[13  2 11 15  5  3  7  9 14  4  6 12  8 20 19 16 18  1 17 10],[18 13  6 20 15 14 10  5  7  3  9 12  4 11  1 16 17 19  8  2],[15  7 14 16 17 18 12  8 13 11  2  9  3 19 10  4  5  6 20  1],[ 7 14  5  1  8 19  6 12 10 15 16  3  2 18 13  9 17 11  4 20],[ 1  8 11  5  3 14  9  6 12 13  7 10 16  4  2 20 19 17 18 15],[ 2  8  5  9 18 13  3 20 11 14  6  1 17 19 12 10 15  4 16  7],[19  8 16 12 13 18 11  2  3 15 17 14  9  5 20  7  4 10  6  1]
[ 6  4  2 16 19 20 11 10  5 15 18 12 17  7 14  8 13  3  1  9],[ 6  5  4 14 18 15  8  1  9 11 10 19 12 20 13  2  3 16 17  7],[ 7 19  4 15  6 10  9 12 18 13 20  3  1  5 14 16 11  8  2 17],[ 3  2  9 18  5 14  4 12 20  1  8 11 13  7 16 10 19  6 17 15],[19  3 20  4  1 16 15  2 11 17  5 13  9  6  7 18 12 14 10  8],[20  4  3  2 15 12  1  7 16  8 13 17 10  5 18 14 19  9 11  6],[10  7  4  8 11  5 16 15 18  2  6  9 20 17  3  1 12 13 14 19],[ 9 13 12  2 11  8  5  4  6 15 16  7 18 20 19  3 14  1 10 17],[19  9 13 18  4 20  3  2  7 10  6  8 17 15 12  5 14  1 11 16],[ 2 20 18 14 19  4 13 11  9  3  8 16 17  5  1  6 10 12  7 15],[13 16 18 14  4 17 12  2  7 15 19 11  3  6  9 10  5 20  8  1]
[ 9  1 14 11  3  2  6  7 18  4 13  5 17 12 20 15  8 19 10 16],[ 2 11 20  9  4  7 14  5 18  3 15  6 13 17 12 19  8  1 16 10],[10 12 16  5  2  9 11  4  8 14 17  6 18 13 19  1 15 20  7  3],[19 10 11  6 15  5 13  2 12 14 17  9 20 18  7  1 16  3  4  8],[ 3  7 19 20 17 18  1 12  4 13 16 11  9 15  8 14  6  2  5 10],[ 8  5 20  3 11 17 12  7  6  2 16 13 18  4 14  1  9 15 19 10],[ 8 12 10 19  7 11  3 18  5  6 20 17  4  1 13 16 15  2 14  9],[11  2 15 13 12  9  6  4 20  8  3  1  5 18 17 14 10 19  7 16],[ 3 10  8  6  1 13 19 17 11 15 18 16  5  4 14  7 20 12  2  9],[ 9 12  6 19  7  2 16  4 14 11 20 13 17  8 18  3 15  5  1 10],[17 11 20 12  2  1 18  3 15  8 13 10  7 14  5  9  6  4 19 16]
[ 9 17 14 10  8  5  7 15  1 20 12  2 16  4 11 19 13  3  6 18],[20 10  9 18  6 14 16 19 15  1 11 17  4  8  3  2  7 12 13  5],[ 7 19 15 12 13 18 11  4 20  3 16  2 10 17  9  1  6 14  8  5],[ 2 20  8 19 14  9 16 17  1 15 12 18 11  6 13  5  4  7  3 10],[18 11  8  6  3  1 20  4 17  7  2 14 16  9 12 19 13  5 15 10],[ 8 19 15  4 12 10  9  1 20 17 18  3 11 13  6  5  7 16  2 14],[ 8  1  4 13 11  5 18 16  3 14  9  6  2 19 15 17 10 12 20  7],[14 19 12 10 15 16  2  8  1 18 11 17 20  7  9  6  3 13  5  4],[20  3  8 13 10 14 11  2 19  6  1  9  7 16  4 12 17 15  5 18],[20 10 13 15 11  6  8  2  7 16  1  3  5  4  9 12 18 19 17 14],[12  5  3 20  2 10  9  6  8 13 18 17  1  4 11  7 14 16 19 15]
[11 16  3 17  8 10  7  6  4 20  5 12  1 18 13  9  2 15 14 19],[ 7 17 12  4 13 14 15  9  3 20 18  2 10 16  8  5  1 19  6 11],[10 13  7 16  8 12 15 14 19  5  2  9 11 17 18  1  6  4 20  3],[15  2 13 14 20  6 19 11  4  9 18  5  7 12  1  3 17 10 16  8],[ 6 20 16 19  1  9  4 11  5 18 14 17 12  2  3 15  7 13 10  8],[ 6  3  9 16  5  2 13  1 18 17 19 20 11 10 12  7  4 15 14  8],[ 6  7 11 17 10 15  3 13  5 18  2 12  4  8  9 20  1 16 14 19],[ 6 13 11 20  8  2  9  4 16  5  1 10 15 14 19  3 12 18 17  7],[14  3  5  7  9 15 20 18 11 17  6 16 10  2  8 13  4 19 12  1],[ 4  8  9 18  1 15  5 17  7  6 20 14 10 13 16 11 12  3  2 19],[15 13  9  2  4  8  1 17  7 19 11 10  6 18  5 16  3 20 14 12]
[ 1 14 11 18  2  5 13  7 15  4  9 16 12 19 17  8 20  3  6 10],[ 4  3 11 10  9  7 20 12  2 18 16  6 14 19  5  1 15 17  8 13],[ 9 16  3  6  4 15 11 10 14 19  5 18 20  8 17 12 13  2  7  1],[15 17 18 14  6  8  7 20 13  1 12 10 16 11  9  5  4  3  2 19],[15 11 20  4  5  8  2 14  6 10 13 18  7 17 16  3  9  1 12 19],[20  2 18  5  8 17  6 13 19  4 10 11 12  9  1  3 14 15 16  7],[ 3 20 10  8 16 14  9  2 19  1  6  4  7 11 15 18 13 12 17  5],[11  5 13 18 16  6 14 19 10  4 17 20  7  1  9  2 12 15  3  8],[12 16  6  8  5 18 19 10  4 20 14  3  9  2 13 15  1 11 17  7],[ 2  8 14  9 11 18 20 10 15 17 19  3 16  1  4 12  6  7 13  5],[ 7 16 14  3 11  8 15 18  4  9  1  2 19 12  6 10  5 13 17 20]
