benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[ 4 16  9 20 12  6 14  8  5 18 10  3  1  7  2 17 13 19 11 15],[ 1 18  6 16  2 17 11 12  7 15 13 14 20  8  3 10  4 19  5  9],[ 1 19  5  4  6 14  8 13 11 10  2  3 17 15 16  9  7 20 12 18],[ 9 20  5  6  3 19 15 14  8  1 11  7 10 16  4 13 18 17  2 12],[13  8  2  6  1 12 16 20  3 18  9  5  7 10 19 17 11 14 15  4],[18 15 14 19  9 20  2  4 16 17  5  1  6  3 12 10  7 11 13  8],[18  7 10 17 14  9 16  3  2 15  1 20  4  5  8  6 11 12 19 13],[11 16  2  1  5 19 13  3  7  8  4  6 12 18 10  9 15 20 14 17],[ 9 17  7 18  5 10  2 12 11  6  4  8 19 13 16  1 14 15 20  3],[ 9 16 18 12 10 15  5 11  4  1  2  3  8 17 13  6 19 14  7 20],[13 11 10 20  5  6 17  3 18 15 14  4 16  9 12 19  7  2  1  8]
[14  9 17 18  2 11  7 12  1  3  4 16  6 15 20  8 13 19 10  5],[17 19 13 18  1  2 15  7 12  6  9 14 16 11  3  5 10  8  4 20],[ 7 17 11 15  2 14 13  1  5 19  8 12 10  9  6 16 20 18  4  3],[ 1  7 20 17  9  8 13  5  3 14  2 11  6 12 19 15  4 16 10 18],[15 11  8 12 14  4  1  2  9  7 13 20  6  3 10  5 16 18 17 19],[ 3 10 16 14 13  5 17 18  6  4  1 12  7  2 20 19  8 15  9 11],[ 8 17 12 19 14 13  5 16  3 18 20  1 10  4  2  7  9 11 15  6],[ 1  5 17 14 11  9 15 18  7 16  4  3 13 10  6 19  8 20  2 12],[ 3 12  5 20 18 19 13  1 16 14  7  2  8 15  9  4  6 11 10 17],[ 8  2 14 18 20 19  4  7  3 12 13  9 15 10  1  5 16  6 11 17],[ 9  2 18 11  4  3 17 19  1 20 13 16 10 15 14  8  7  5 12  6]
[ 3 12  4 18  7 19  5 10 17  8 13 16  6  1 20 14 11 15  9  2],[ 9 17 18 14 10 15  1 12 19  8 16 11  7  3 20  6  2  4  5 13],[17  6  5 20  2 13 16 11  8 15 18  3 19 12 10  1  4  9  7 14],[12  3  1  6  8 18 13 20  2 15 19 14  9 10 11  4  5 16 17  7],[18  4  5 16  3  6 11  2  8 10 14 20 12  1 17  9 15  7 13 19],[ 1  2 18  9 14  5  7 10 16  8 11  3 19 15  4 17  6 12 13 20],[12  1  3 20  9  8 13  2  7 11 17 19 14  4  6 16 18  5 10 15],[ 5 15  6  9  2  1  4 10 18 14 11 17 13  7 20 12 16  8 19  3],[ 2  5  6 17 13 18 10 16  3  8 14 12  1 20 11  7 15  4  9 19],[ 9 18  2  7 17  4 12  5 19 20  6 16 13  3 11  8  1 10 14 15],[11 14 12  9 18 16 20 15  3  8 19 13  4 17  5  1  2  7  6 10]
[18  4 11 14 13  5 10 16  2  7  9 19 15 20 12  1  8 17  6  3],[ 7  5 15 11  1 12  8  3 13 16 14 10 20 17 19 18  9  4  6  2],[12  6 19 14  8  9 11  5  3 10 13  2 20  4 16  7 15  1 17 18],[17  3  1  4 15 16  8 10  2 18 11 13  6 20  9 19  5 12 14  7],[ 1 16 11  6 20 13 17 14  9 10 12 15  7  4 19 18  8  5  2  3],[ 7 19 20 17  6  1 18 11  9 14  4  3 13 15  8 12  2 10 16  5],[ 2 18 10  9  8  3 14  4  5  6 17  1  7 20 11 16 15 13 12 19],[ 8 10  3 17  5 20 16  1  2 11  4 18  6  7 15 13  9 14 19 12],[13  9  8  7  2 15 12 14 19 10  5 16  3 20  6 11  4  1 17 18],[ 4  3 17  1 16  5  7 15  9 19  2 14 11  6 13 20  8 10 12 18],[19  1  7 10  4 11 17 15  6  3  5  2 20 13 14  9  8 12 18 16]
[11 10  8  2 17  1  5 16  9  6  3 19  4 20 15 13 18 14  7 12],[13  5 19  2  6 15 10  8 14  9 16 17  4  7 18 12 11 20  3  1],[19  2  1 16  3  4  7 13 17 14 20 12  9  8 11 15 18  5  6 10],[ 3 10  9 13 16 15 18 20 12 14  8  6  5  4  2 11 17 19  7  1],[10  7  2 17 11 16 12  4  8 18  1 15 13 19  5 14 20  9  6  3],[20 15 11  3  4  9 19  2 12  5 16  7  8 18 10 13  1 14  6 17],[ 6 12  5 14 17  7  9 11 19 20  4 15  8  1 10 13  2 18 16  3],[ 2 16 11  7 20 17  1 13  8 10  5 12 19  6  9  4 18  3 15 14],[15 12  3 17  2  1  6 20 13 11  7 16  5 19 14  4 10 18  8  9],[ 7  2 15 16 14 20 11  1 13 18 12  6  8 10  3  9 17  5 19  4],[17  3  9 11  6 10  4 13  8 20 15 19  2  7  5 18 12 16 14  1]
[ 5 14  2  6 20  1 18 10  7 16  3 15 17 11  8 19  9 12  4 13],[20 17 19 14 15  8 10  1 18 16 12 13  6  4 11  2  7  5  9  3],[13  8 17  9  6  4  1 11 10 12 19 15 14  7 16  3 20  2 18  5],[12  1  2 10  5  9  3 13 18  6  4 15  8 20 14 17 19 16 11  7],[ 6 10 20  2 12  4 17  8 16  3  7 14 19 15  1  9 11  5 13 18],[ 6  2 15 16  8  4  7 20 17 11 18 12 10 14 19 13  5  1  9  3],[20  9  7  2 10 15 16  6  1  3  4 17  8 19 13 18 11 14  5 12],[ 8  3  6 13  1 17 15 12 14 11  2  4 10 19 16  5  9 18 20  7],[10  9 12  7  3 11 20 13  2  1 14 16  6  4 15 19 17 18  5  8],[ 7 18 11  1 19  2  6  4  5  8 20 10 12 14 16 17 13  9  3 15],[ 3  7  9 13  6 14  4  2  1  8  5 15 16 17 19 12 18 11 10 20]
[ 6 12  1 10  5  4  2  8 11 16 14 13 19 18 20  7 17  3  9 15],[18  4 16  7  3  1  5 15  6 19  9 14 12 17 10 13  8  2 11 20],[ 8 11  3 17  5 15  6  1 18  2 19 13  9 14 10  4 20  7 16 12],[12 17 13  7  6 10 18 11  2 16  5  4 19 15 14  1  8 20  3  9],[13  9 15 11  2  4  5  7  3 14 12  6  8 20 19 16 18  1 17 10],[18  6 13 20 15 10 14  5  7  9  3 12  4 11  1 16 17 19  8  2],[15 14  7 16 17 18 12  8 13 11  2  9  3 19 10  4  5  6 20  1],[ 7 14  5  1  8 19  6 12 10 15 16  3  2 18 13  9 17  4 11 20],[14  8  1  7  5 13  9  6 11  3 16 20  4  2 12 10 17 19 15 18],[ 2  8  5  9 18 13  3 20 11 14  6  1 17 19 12 10 15  4 16  7],[16 13 19 18  8 11 12 15  2  3  9 14 17  5 20  7  4 10  6  1]
[ 4  6  2 16 19 20 11 12 10  5 15 18  9 17  7  3  8 13 14  1],[ 6  5  4 15 14 18  8  1  9 11 12 13 20  2 10 19 17 16  3  7],[ 7 19  4 15  6 10  9 12 18 13 20  3  1  5 14 16 11  8  2 17],[ 2  9  3 18 14  8  4 12  5  1 20  7 13 11 10 19  6 16 17 15],[19 15  3  1  2 16 20  6  4 13  5  9 17 11  7 12 18 14 10  8],[ 3 20 15 12  8 16  2  1  7  4  5 10 13 18 17 14 19  9  6 11],[10  4  7  5  8 11 18 15 16  2  6  9 20 17  3  1 12 13 14 19],[ 9 13 12 11  8  5  4  6  2  7 15 18 20 16 19  1 14  3 10 17],[ 9 19 20 18  6  3  4  2 13  7  8 10 17 11 16  5 15  1 14 12],[ 2 20 18 14  4 19 13 11  9  3  8 16 17  5  1  6 10 12  7 15],[ 4 16 18  2 13 17 14 12  7 15  9 19  3 11  6  8 10  5 20  1]
[ 9  1  7  2  6 14 11  3 18  4 13  5 17 12 20 15  8 19 10 16],[20 11  2  4  5  9  7 14 18  6  3 15 13 17 12 19  8  1 10 16],[10 12 17  2  9 11  4  5  8 14 16  6 18 13 19  1 15 20  7  3],[19 10 15 11  5  6 12 13  2 14  9 20 17 18  7  1 16  3  4  8],[18  7  3 19 17 20  1  4 13 12 16 11  9 15  8 14  6  2  5 10],[20  5  8  3 11 17 12  6  2  7 13 16 14  4 18  1  9 15 19 10],[ 8 12  7 10 19 11  3 18 20  5  6  4 15  1 16 13 17 14  9  2],[13 11  2 15 12  9  6  4 20  8  3  1  5 18 17 14 10 19  7 16],[17  3  6  8  4  1 10 13 19 11  9 15 20  2 16 14 18  5  7 12],[ 9 12  7 19 16 14  6  4  2 11 18 17 13  8 15  3 20  5  1 10],[17 11 20  1 12  3  2 18 15  8 13 10  7 14  5  9  6  4 19 16]
[17 14  7 10  9  4  2  8  1  5 12 20 15 16 18 11 19 13  3  6],[ 9 18 10 20  6 14  4 16 19 15  1 17  3  8  7 12 11  2 13  5],[ 7 19 13 15 12 18 11  4 20  3 16  2 10 17  9  1  6 14  8  5],[20  2 14 15 19 16  8  9  1 17 12 18 11  6 13  5  4  7  3 10],[18 11  6  3  8  1 20  4 14 17  2  7 16  9 13 12 19  5 15 10],[ 8 19 15  4 12  1 10 20  9 17 18  3 11 13  6  5  7 16  2 14],[ 8  5  4 11 13  1 18 16  3 14  9  6  2 19 15 17 10 12 20  7],[14 19 12 10 15 16  2  8  1 18 11 20 17  7  9  6  3  5 13  4],[20  3  8  2 10 19  4 11 13 14  1  6  5 15  9 16  7 18 17 12],[10 13  6 16 20  1  7 11  8 15  3  2  5  4  9 12 18 19 17 14],[12  5  9  3  6 20  2 10  8 18 13 17  4  1 11  7 14 16 19 15]
[11 16  3 17  4  7  6  8 10 20  9  1  5 12 18 13  2 19 14 15],[ 7 17  4 12 13 14 15  9 18  3 20  2 10 16  8  1  5  6 19 11],[10 13  7 16  8 12 15 14 19  5  2  9 11 17 18  1  6  4  3 20],[15  9 13  6 20 14 19 11  4  7 18  5  2 12  1  3 17 10 16  8],[ 6 20 16  1  9 19  4 11  5 18 14 17 12  2  3 15  7 13 10  8],[ 6  9 16  5 13  3 17  2 18  1 19 20 11 10 12  7  8 15  4 14],[11  6  7 17 13 10 15  3  5 18  2  4 12  8  9 20  1 16 14 19],[ 6 13 11  2 20  9  4  1 16  5  8 15 14 10 19  3 12 18 17  7],[14 15 20  3  7 11 10  9 18  5 17  1  2 13 19  6 16 12  8  4],[ 4  8  9  5 18  1 15  7 17  6 20 14 10 13 16 11 12  3  2 19],[ 9 13 15  4 19  2 17  1  8  7 10 11  6 20 16  5 18  3 14 12]
[ 1 18 14 11 13  5  2  7 15  4  9 20 16 12 19 17  8  3  6 10],[ 4  3 11 10  9  7 20 12  2 18 14  6 19 15  5  1 17 16  8 13],[ 9 16  3  6 15 11 10 14  2 19  5 18 20  8 17 12 13  7  1  4],[15 14 17  6 18  8  7 20 13  1  9 10 16 11 12  3  5  4 19  2],[15 20 11  2  4  5  8 14  6 10 18 13  7 17 16  3  9  1 12 19],[ 8 18  2 20  5 17  6 13  4 19 10 11 12  9  1  3 14 15 16  7],[ 3 20 15 10  8 16 14  9  2 19  6  1  7 11  4 18 13 12 17  5],[11  5 13 18 16 14 20  6 17  4 19 10  7  1 12  9  2 15  3  8],[ 5 16 19  4  6  2 18 20 12  8  3 14 11 10 17  1 15  7 13  9],[ 2  8 14 11  9 18 20 10 15 17 19  3 12 16  1  4  6  7 13  5],[ 7  8 16 14 11  3 15 18  4  9  1  2 19 12  6 10  5 13 17 20]
[ 6  7 14  5  3 12 20 16 17  1 15  2  9 10  4 13 18 19  8 11],[10 14  9  1  5  6 20  4 16  2 11 19  3 18  8 15 13 12 17  7],[19  2 11  6 15 18 12  3 20  4 13 16 14  8  5  7 10  9  1 17],[ 2  4  8  6 14 16 17  9 10  1  5 13 11 18 15  7  3 20 12 19],[ 4  9 14 11 20 15 17  8 12 10  2  1  5  3 19 18  7 16  6 13],[ 7 11 12  2  9 15 18 13 10  8 16 17  5 20 14  3  1  4 19  6],[10 19 14  9  3  1 15 16  2 11 20 13  7  5  6 12 17 18  8  4],[ 4 20 19  2  5 11  8 14 13  6 12  1  7 15 10 17 18  3  9 16],[15 12  1  4 18 13 17 14  8 20 11 19  2  6  5 10  7  9 16  3],[11 14  7  1 13 18  8  3  5  6 19 16  4 17 15 12 20  2  9 10],[13  7 14  3  9 11 18  8  2  6  4 15  5 16  1 10 12 17 19 20]
[14 16  7 19 18 11 20  4  3 17 15 13  8  5  6  2  9 10  1 12],[10  4  8  9 13 19  6 15  3 17 20  1 14 12  7 18  5 16  2 11],[10  3 11  4 13 17 19 16 14  2  6 20 18 12  9  8  5  1  7 15],[11 12 18  5  4  8 15 20 19 14 17  9  7  6  1 16 10  3  2 13],[14 19 13 16 12 18  4  3  1 15  5  7 10  8 11  9  2 17  6 20],[11 10  9 13 15 16 14 20  4  7  8  6  1  2 17  5 12  3 19 18],[ 9 10 12  2 20 18 11  1  5 15 17  7  4 16 14  8 19  6  3 13],[13  7 15 12 17 18 10 11  5 19  1 20  4 14 16  8  6  9  2  3],[ 6  7  9 18 14  4 11  2  1 17  8 16  3 20 13 19  5 12 10 15],[ 3 20 16 14 13 10  4 19  2 11  5  8 12  1  9 17  6 18  7 15],[18 10 11  6 13  4  5  8 14  1  3 15  7  9 12 19 17 20  2 16]
[ 9  1 14 10 11  7 12 16  5 19  2 15 13  3 20  6  8 18 17  4],[ 2 12 14  6 16 15  7 18  8 17 13  9  4  5 11  1  3 10 20 19],[ 4 14  7 11  2  6  9 19 17  8 20  3 15  1 16 12  5 13 10 18],[ 6  9  3  7 11 13 15 17 20 12  5 16  4 10  8  2 19  1 18 14],[ 7  9  8 15 10 16 13 12  2 11 19 17 20 14  4  5  3  6 18  1],[ 8 18  4 11 14 20  7  6  3 16 17  2  9 12 13 10 19  1 15  5],[ 7 18 16  5  1  2 19  4 10 20 17 15  3 14 12  9  8 11  6 13],[ 3  8  2 12  9  7 15 20 13 11  5 10 17 19 16  4 14  1 18  6],[ 5 18 16  3  8  7 11 10 20  9  4 15 14 13 17 19  2  6 12  1],[11 14 16 20  8  7  9 17  4  1 10  6  5  3 12  2 18 15 13 19],[19  1  3 10  9 11  4 13 15  6 12  7  8 18  2 17 14  5 16 20]
[ 7 17 12 16  8  5 19  3 13  6  2 18  4 20  1 14  9 10 11 15],[12 18  4 16  9 10  3  7 19 20 11 17  8  2 13  1  5 15  6 14],[ 5 13  8 11 20  1  7 10 17 16  2 19  3 12 18  4  6  9 14 15],[11 12 18  6  2  9 16 14  8 13  7 17 20 15 10  1  5  3 19  4],[ 8 11 19 18 17  7 20  3 14  9 12 16  4 10  6 13  1  2 15  5],[ 1 14  8  4 12  5 15 11 13  6 16 17 19  7 18 10  2  3  9 20],[13  1  8  4 10  3  5 14  2 19 11 16 17  7 18 20 15  6  9 12],[ 5 11 15 17 19  7  1  3 12  8 16  2 13 10  4 18  6  9 14 20],[14 10  6 13 18 20  4  8  2 16  3  1  5  9 19 11 15  7 12 17],[ 8 14 15 17 16  3 13  7 18 19 20  5 12  6  2 10  9 11  4  1],[ 4  6 11  2 15 20 10 12  9  8  7 14  1 17 18 19  3  5 13 16]
[11  4  3  8 13 17 10  2 18  6  5 16 14 19  9 15  7 20  1 12],[ 4 10 15  1 19 16 13  7 17  6  3  9  2  8  5 18 20 14 11 12],[ 3 12 16  2 10 19  4  7 20 17  5 13 11 14  6  8 15  1  9 18],[ 5 11  7 10  9  2 17 18 20 12  1 19 16 14  4  3 13 15  6  8],[19  5 15 18  4  7 11 20  1  9 17 16 13 14  6  2 10  8  3 12],[12 13  8  5 16  4 17  9 11  6 20  7 14 18 19  3 10  1 15  2],[15 12 17  2  6 11  4 19 20  5 13 14  1  7 10  9 16 18  3  8],[13  9 20  8 14 17 18 12 15  4  5 11  6 16  1  3 19  7  2 10],[19  8  7  4 15  1 18  9 11 12  6  2 17 14 10 16  3  5 13 20],[ 9  4 10  1  5 11 20 13 19  2  7  8 15  3 12 18 16 14  6 17],[ 9  1 17 10  7 20  8 18 19  4 13  6  5  2 14 16  3 11 15 12]
[19 12  9 15  7  8 14 13  2  1 17 10  5 16 20 18  6  4  3 11],[ 3  6 14 19  1  7  2 17  5 11  8 13 15 18 20 16 12  9 10  4],[ 5  9  6  1  7 19 10 18 14 20 16  3 12  2  8  4 11 17 15 13],[17 16  2 14 15  7 20 12  3  5 13 19  9 10 11  6  8 18  4  1],[10 16  5  7  4 11  2 20 12  1 14 18  3 19  9 17 15  6 13  8],[20 14 13  9  8 17  7 15  4  5  6 18  1 10 16  3 12  2 11 19],[10  7 19 18  2  9 16  5  8  3  1 15 13  4 20 11 14 12  6 17],[ 3  1 19 11 10  7 13 16 18  4  5 20  9 14  8  6  2 12 15 17],[ 3 14 11 15 18  2 17 16  6  9  1 20 12  7 19  8  5 13 10  4],[13 16 17 11  6  5  1 10  2 19  3  9 15  4 20 12 18  7 14  8],[17 13 18  9 11  3 14  4 20  6  7 19  5  1 16 15 12  8  2 10]
[ 4 10 19 18  5  2 14 20  9  6  1 12 13  8 15  7 11 16  3 17],[11  9 19  3  4 17 12  1 20 13 18  7 14  5 16  8  6  2 10 15],[ 4 12  7  6 14 15 11  2 13  8 17 20  3  9  1 18 10 19 16  5],[ 3 14 13 11  8  9  5 17  1  6 10 19 12 16 18  4  2 20  7 15],[ 3  6 14  5 13  7 11 19 17  4  2 15 18 10 12 20  1  8  9 16],[19  9  6 13  5 11 15 16  1  3 10  8 18  7 17 14 20  4  2 12],[14 13 20  7  2  4 11  9  6  1 18 17 10  3 15 19  5 16 12  8],[18  8  1 14  4 16 17  6  2 15 13  7  9  5  3 10 19 20 11 12],[ 6 17  9  5  3 19 16  1 14  8  7 12 15 11 10  4 13  2 20 18],[15  7  8 12 11 20  9 14  5 19  6 13  1 10  4  3  2 17 18 16],[20  6 19  2  8  3 15 17 12 10  5 13  4 18  7 16 14 11  1  9]
