benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
5548.9453941343145,4219.799318214987,13819.2835537099,10457.059543831501,3079.198462738658,5994.910727435463,9210.69603206723,11513.254574249044,7407.918990666842,1915.0990396766467,5356.134815751869
7556.682700059283,5919.522825129065,5129.994865571268,5432.179687048544,5381.568128321692,7062.019637930651,8372.873409165024,13240.526422814219,3010.0146686124344,4778.732290485113,4291.229025533521
10418.473722524628,3636.204666630395,8108.777279603048,5882.8555041543195,10052.015319479273,4165.359166630309,11016.61031998884,10458.169826640727,949.2693916339964,6216.105189638974,8242.31664774182
3340.200352038365,5224.91594177029,3486.995488818112,5200.3469648770515,13000.171578877584,7546.21852944215,9353.286928632297,13415.760108660843,3993.037274952642,3384.4625146077733,2955.6506700615846
5856.340519276999,3755.718036916739,8831.239244841487,9957.342511154773,5813.410003066559,5618.948792360632,8078.630626510696,16910.186625416438,4165.632661933737,2749.0362388568346,7647.3406749232845
3371.9043233906605,7006.81525117492,4104.508858908296,8534.240235516374,7567.832522367797,9323.130822542531,2992.4933954149556,13049.057656275481,5121.59361815824,2040.4551680028717,1416.8792589304787
8928.093257579947,7130.997819163085,5619.8882060981105,7754.597385443367,6031.53620397163,6450.651553110126,7850.2853850212105,11458.901822766393,2976.5616102248464,10048.110619408468,6670.67325556794
7494.806042223868,1940.429750983077,11270.43902055304,7172.414149870237,3805.369971474066,4336.098572984109,5223.924515913911,16945.799035138956,3546.815673554771,9154.86600662258,11170.15918665867
6060.976888943764,3975.965941224222,7242.378295212506,5798.320321545743,8046.9838779061365,5785.561213345891,6096.8635763472685,12956.543570960088,3127.65656010032,7964.201476523699,6238.886862688542
4588.362425342376,7119.258886941131,9451.368635253239,4905.419299715359,7073.920438609599,6836.7312359574025,9096.629099720936,14212.756552890418,3631.72526614698,4267.924072614074,4278.5071139143365
5956.4084159091335,5708.767606142107,9421.944140623395,7041.397835659045,5617.396076786655,4817.942250136708,8071.731241502948,12360.568390145621,2248.3245186635745,4908.978017855164,4099.816867613032
6312.036409096758,4498.421719317018,13332.367336246127,6018.369011130906,5380.748157945202,5610.744196135228,9501.484312278877,12790.43511883099,507.4400808742513,7195.290663417036,4829.7383604654815
10264.901839770468,5738.541022073052,9553.267863227918,3392.088730264213,5620.053947659514,6930.584112176217,3374.7186350146117,11556.793671639212,4941.68693895811,4496.055207934171,7670.8339777252095
4922.941608626847,7636.340023987067,6968.963371036402,6146.608854331369,4706.265355843599,5689.587529045986,5963.668358846531,13301.669704665714,2862.304734145387,9595.32685704724,5050.3373120636115
7074.440279751363,5182.180440110092,6517.421136748877,9765.313759594283,8875.571357880412,9568.20426845716,6846.458170537375,10403.752268582033,1159.6169651652128,1867.0185216727662,7116.3373996420905
4236.006417712947,5095.419590914135,12153.397339038575,8417.801716571646,4294.929255963976,1934.4027964271354,6341.688139473834,9985.924948092734,4852.526010553563,9543.661578093393,7916.858426259572
7231.277982073172,4720.130528965294,12736.899604674798,3496.7149223730967,6743.7311585299985,3060.4994203896226,6310.694133417622,13799.625261780122,4683.901970806037,10693.015792459706,3153.802291063646
5009.958517279959,3774.3994263153495,9899.933995892718,8282.746920439044,5561.2281313951335,5676.737513851338,4365.958311832495,10474.063285171633,2967.78358081631,3479.038275737191,7633.619631509969
8861.44168160411,6453.836832830897,3706.0683463994887,5391.991254373365,8390.551645787355,9036.508023025664,5374.252433201686,13809.356130618009,3753.3354205510336,5132.890233799141,3981.7586595060316
9900.020874700534,6391.878486845582,9353.864562294939,5867.3545660723385,9726.903010118136,5112.060116699812,7436.532337079284,10084.618180905498,2495.8345311835574,4260.90533724279,10784.991428591251
8054.025545250894,6882.771034291596,5124.229625442595,8174.146756389746,2995.7232611881745,9395.26499481904,4132.294337419239,10719.529257386714,3869.2758664370535,5517.5654715533765,10167.772906961713
8272.190016183727,8067.282374654296,8666.490554178592,4642.701363954608,6331.793996019885,7054.484523736162,5995.884577446749,10669.156866631496,2579.793260098445,5699.833972563567,6920.99934180182
4975.632734963887,3811.452426612087,7341.663675328067,7863.719403974697,6379.531771736842,5580.712313244738,6556.893129109853,10351.765934945632,3564.332258198199,5718.913524868893,7150.6503654628395
6587.26070957547,4780.196103111738,4388.776189292882,7437.527860164602,8836.08136146603,11841.159068974091,9284.017873918461,11110.977304675771,2025.1647922082684,3852.1961816550306,10552.607898452101
6866.131699107731,4246.495935609937,5969.49661922124,8255.58798048314,7435.397716816312,7890.404941117985,10049.982801219472,8823.255308372192,1885.44328804833,4746.236555488233,3973.221951997585
5074.090981905869,6363.175826413712,8551.888323491683,6630.341826891017,7129.17227187527,4958.072028324764,4751.082456848996,10883.575386561532,2181.7145696890607,5462.689295639363,11421.771097769784
7045.834861287248,6233.680148408954,15330.764214091776,5915.624060335721,7677.0104688128595,8033.295764421899,9468.97482785907,14055.639413897336,3317.191239169364,3522.683262867283,6114.460540844909
5133.44856492025,4480.104776600875,5988.615130485409,4990.562285679916,8596.266116374294,8992.121622908846,9390.702021642082,11907.293029525725,2611.3775481250577,9857.987120887483,8342.195016840365
5423.489118056465,5384.648628518126,12117.578409899637,3900.1675838680103,4469.978846696966,3228.1957277248375,3389.354380904721,11528.52758952205,4121.341931334395,3671.5148120689123,5554.423694539875
6332.801652680968,2588.8493957227465,9816.570932306151,6309.52217907352,8088.262268044107,6491.331874869513,6783.486178072602,13846.433568953633,4587.4728881460815,8245.620862542008,6841.497091208972
