upstreamdiscount_H
[ 8 13 16 18  6 12 20  3  1  2  9  5  7 10 17 11 14 15  4 19]
[15 11  4  8  2  1 14 12  9  7 13 20  3  6 16 10  5 17 18 19]
[ 4 18  5  3 11 16  2  8 10 14 20 17  1 12  9  6 15 13 19  7]
[ 1 20 16 11 17 13 14  6  9 10 18  7  4 15 12 19  8  5  2  3]
[10  7 11 17  2 12 16  4  1 18 15 13 19 14  5 20  3  6  8  9]
[ 6 20  2 12 10  4  8 17 16  3 14  7 15  1  9 13 11 19  5 18]
[13  2 11 15  5  4  9  3  7 14  6 12 19  8 20 18  1 16 17 10]
[ 3 19 20  1  4 16 15 13  2  9 17  5 11  7  6 12 14 10 18  8]
[ 7  3 20 19 17 18 13 12  4 16 11  9 15  2 14  6  8  1  5 10]
[18 11  6  3  8 20  1  4 17  7  2 14 16  9 12 13 19  5 10 15]
[20  6 16 19  1  4  9 11  5 18 14 17 12  2  3 15  7 13 10  8]
[15 11 20  4  5  2  8  6 14 10 13  7 17 16 18  1  9  3 12 19]
[ 9 14 20  4 11 15 17  8 10 12  2  1  5  3 19 18  7 16  6 13]
[14 13 16  4 12  3 19 18 15  1  5 10  7  8 11  9  2 17  6 20]
[ 7 10 15  9 16 13 12  2 11 19 17 20 14  8  4  3  6  5 18  1]
[ 8 11 17 18 19 20  9 14  3  7  4 12 16  6  1 13  2 10 15  5]
[ 7  5 18 19  4 15 11 20  1  9 17 16 13  6 14  2 10  8  3 12]
[16  7 10 11  2  4 12  5 20  1 14 19 18  9  3 15 17  6  8 13]
[ 3  6 14  5 13  7 11 19  4  2 15 10 18 17 12 20  1  8  9 16]
[15 18 13  3  8  1  5  2 10 19 11  6  7 20 14  4  9 17 16 12]
[ 2  8  1 16 19 18  7 10 11 13  3 12  9 17  5  4 14  6 20 15]
[ 5 18  9  1 14 13 10  2  7 17  4 20 12  8 16 11 15  3  6 19]
[ 6  1  7 16 19 12 18  5 11  8 13  9  4 15 20  2 17 10 14  3]
[12  3  2 13 18  4 14 17 19  7 16 10  1 15  5 11  6  9  8 20]
[ 9  3 14 15  2  8 12 17 13 20  7 16  6  4  1 19 10 11  5 18]
[10  4  6 16  9 12 17  3  2 18 13 19 14  7  5 15  8  1 20 11]
[ 4 11  7  8 14 13  2 15 20 16  3 17  6 19  9 12 10 18  1  5]
[ 5  1 13 14  4 12  9 11  2 10  8  7 17 15  6  3 20 16 18 19]
[ 9  8  1 14 18 20 16 13  4 15 12 11 10 17  3  2 19  6  7  5]
[ 8 16 17 18  9 19 10 20  7  4 15  3  2 13  5  1 14  6 11 12]
