upstreamdiscount_H
[ 8 13 16 18 20  3  1  6  2 12  9  5  7 10 19 17 11 14  4 15]
[15  8 14  4 11  1  2 12  7  9 13 20  3  6 16  5 10 19 17 18]
[18  4  5 16 11  6  3  8 10 17 20 12  2  9 14 15  1 13 19  7]
[ 1 11 16  3  6 17 13 14  9 10 18  7 12  4 15 20 19  2  5  8]
[10  7 17 12 11 16  2  4 18  1 15 13 19  5 14 20  9  6  3  8]
[10  2 12  6 20  4  8 17 16  3  7 14 15  1 13 11  5  9 19 18]
[13  2 15  9 11  5  7  3  4  8 14  6 12 20 19 16  1 18 17 10]
[ 6 19 20  3 13  1 16  4 15  5  9  2 17 11  7 12 18 14 10  8]
[ 7 18 19 17 20  3 13  4 12 16 11  8 15  9 14  6  2  1  5 10]
[18 11  8  3  6  1 20  4 17  7  2 14 16  9 12 13 19  5 10 15]
[20  6 16 19  1  4  9 11  5 18 14 17 12  2  3 15  7 13 10  8]
[ 4 15 11 20  2 14  5  8  6 10 13 18  7 17 16  9  1  3 12 19]
[ 9 14 20  4 11 15 17  8 10 12  2  1  5  3 19 18  7 16  6 13]
[14 19 16 13  4 12  3 18 15  5  1 10  7  8 11  9 20 17  6  2]
[ 7 16 15 10  5 13 12  2  9 19 11 17 14 20  8  3  6  4 18  1]
[ 8 18 11 17 19 20  9 14 16  3  7  4 12  6 13  1  2 10 15  5]
[ 7  5 18  4 19 15 11  1 20  9 17 16 13 14  6  2 10  3  8 12]
[16  7 10 11  2  4 12  5 20  1 14 19 18  9  3 15 17  6  8 13]
[ 3  6 14  5 13  7 11 19  4  2 15 10 18 17 12 20  1  8  9 16]
[15 18 13  3  8  5  1 10  2 17 16 19  6  7 14 11 20  4  9 12]
[ 1  8  2 18 16 10  7 19  3 13 11 12  9 17  5  4 14  6 20 15]
[ 9 14  5 10 18  1 13  7  2 17 20  4 12  8 16 11 15  3  6 19]
[ 6  1  7 16 19 12 18  5 11  8 13  9  4 15 20  2 17 10 14  3]
[ 2 12  3 13 18 14  4 10 17 19 16  7  1 15  5 11  9  6 20  8]
[ 9  3 14  8 15  2 13 12  7 20 17 16  4  6  1 19 10 11  5 18]
[10  6 16  9 12  4 17  3 19  2 18 13  1 14  7  5 15  8 11 20]
[ 4  7 11  8 14 13  3 20 15 17 16  2 10  6  9 12 19 18  5  1]
[ 5  1 13 14  4 12  9 11  2 10  8  7 17 15  6  3 20 16 18 19]
[14  9  8  1 18 16 20 13  4 15 12 11 17 10  6  3  2 19  7  5]
[ 8 16 17 18  9 19 10 20  7  4 15  1  3  2 13  5 12 14 11  6]
