upstreamdiscount_L
[ 8 13 16  2 18 12 20  6  3  1  9  5  7 10 17 11 14 15  4 19]
[15  8 11  4 12 14  2  1  9  7 13 20  6  3 10 16  5 17 18 19]
[ 4 18  5 16  3 11  2  8 10 14 20 17 12  6  9 15  7 13 19  1]
[ 1 11 16  6 17 13 14  3  9 10 18  7  4 15 12 20 19  2  8  5]
[10  7  2 17 11 16 12  4 18  1 15 13 19  5 14 20  9  3  6  8]
[10 17  2 12  6 20  4  8 16  3 14 19  7 15  1 11 13  5  9 18]
[13 15  9  2  5 11  3  7  4  6  8 12 20 16 19 18 17  1 14 10]
[ 3 19 20 15  1 16  4  2 13 17  9  5 11  7  6 12 14 10 18  8]
[ 3  7 19 17 20 18  1 13 12  4 16 15  9 11 14  6  2  8  5 10]
[18 11  1  3  6  8 20  4 17  2  7 14 16  9 12 13 19  5 15 10]
[20  6 16  9 19  1  4 11  5 18 14 17 12  2  3 15  7 13 10  8]
[20 15  4  6 11  5  2  8 14 10 13  7 17 16 18  9  1  3 12 19]
[ 9 20 14  4 11 15 17 10  8 12  2  1  5  3 19 18  7 16  6 13]
[14 13 12 16  4  3 19 18 15  5  1 10  7  8  9 11  2 17  6 20]
[ 7  8 15  9 10 16 12 13  2  5 20 19 11 14  6  3 17  4 18  1]
[ 8 11 17 19 20 18  9 14  3  7  4 12 16 13  1  2 10  6 15  5]
[ 5 15  4 19 18  7 11 20  1  9 16 13 17  6 14  2 10  8  3 12]
[16  7 10 11  2  4 12  5 20  1 14  9 18 19  3 15 17  6  8 13]
[ 3  6 14  5 13  7 11 19  4  2 15 10 18 17 12 20  1  8  9 16]
[15 18 13  3  8  1  5  2 10 19 11  6  7 20 14 16  4  9 17 12]
[16  8 13  1  2 10  7 19 18  3 12 11  9 17  5  4 14  6 20 15]
[ 5 18  1  9 13 14  2 10 17  7  4 20 12  8 16 11 15  3  6 19]
[ 6 12  7 19  1 16 18  5 11  8 15  4 20  9 13  2 17 10 14  3]
[ 2 12  3 13 18 14  4 10 19  7 16  1 15 17 11  8  9  6  5 20]
[ 9  3 14  2 15 12 13  8 20 17  7 16  4  6  1 19 10 11  5 18]
[10  6 16  9 12  4 19 17  2  3 18 13  5 14  7 15  8  1 20 11]
[ 4  7 11  8 14 13  2  3 15 10 17 16 20 19  9 12  5 18  1  6]
[ 5  1 13 14  4 12  9 11  2 10  8  7 17 15  6  3 20 16 18 19]
[ 9  8  1 14 18 16 20 15 13  4 12 11 10 17  6  3  2 19  7  5]
[ 8 16 17 18  9 19 20 10  7  4 15  1  3  2 13  5  6 14 11 12]
