upstreamdiscount_H
[ 8 13 16  2 18 12 20  6  3  1  9  5  7 10 17 11 14 15  4 19]
[15 11  1  2  8  4 14  9 12  7 20 13  3  6 10 16 17  5 19 18]
[ 4 18  5  3 11  2  8 10 14  6 20 17  1 12  9 16 15 13 19  7]
[ 1 20 11 16  6 17 13 14  9 10 12 15  7 19  4 18  5  3  8  2]
[10  7  2 16 17 11 12  4  1 18 15 13 19 14  5 20  9  6  3  8]
[ 2  6 12  8 20 10  4 17 16  3 14  7 15  9  1 13 11 19  5 18]
[13 15 11  2  5  9  3  7  4  6 12  8 20 16 17 18  1 19 14 10]
[20  2  3 19  9 15  1  4 16 13 17  5 11  7  6 12 14 18 10  8]
[ 7 18 19 17 20  3 13 12 16  4 11  8  9 15  1  6 14  2  5 10]
[18 11  8  6  1  3 20  4 17  7 14  2 16  9 13 12 19  5 15 10]
[20  6 16  9 19  1  4 11  5 18 14 17 12  2  3 15  7 13 10  8]
[15 11 20  4  5  2  8 14  6 10 18 13  7 17 16  3  9  1 12 19]
[ 9 20 14  4 11 15 17 10  8 12  2  1  5  3 19 18  7 16  6 13]
[14 16 13  4 12  3 19 18 15  1  5 10  7  8  9 11  2 17  6 20]
[ 7 10  9 15 16 12  8 13  2 17 19 20  5 14 18  6 11  3  4  1]
[ 8 18 11 19 17 20  9 14  3  7  4 16 12  6  1 13  2 10 15  5]
[ 7 18 19  4  5 15 11 20  1  9 16 17 13 14  6  2 10  8  3 12]
[16  7 10 11  2  4 12  5 20  1 14  9 18 19  3 15 17  6  8 13]
[ 3  6 14  5 13  7 11 19  4  2 15 10 18 17 12 20  1  8  9 16]
[15 18 13  3  8  1  5 10  2  9 19 11  6  7 20 14  4 17 16 12]
[16  8  1  2 19 10 18  7 13  3 11  9 12 17  4  5  6 14 20 15]
[ 5 18  1  9 13 14  2 10 17  7  4 20 12  8 16 11 15  3  6 19]
[ 6 12  7 19  1 16 18  5 11  8 15  4 20  9 13  2 17 10 14  3]
[ 2 12  3 13 14 18  4  5 10 19  7 16 17 15  1 11  6  9  8 20]
[ 9  3 14 17  2 15  8  7 20 12 13 16  4  6  1 19 10 11  5 18]
[10 16  6  9 12 19 17  4  2 18  3 13  5 14  7 15  1 20  8 11]
[ 4 11  7  8 14 13  2 15 10  3 20 16 17 19  9 12 18  6  5  1]
[ 5  1 13 14  4 12  9 11  2 10  8  7 17 15  6  3 20 16 18 19]
[ 9  8  1 14 18 16 20 15 13  4 12 11 10 17  6  3  2 19  7  5]
[ 8 16 17 18  9 19 10 20  7  4 15  1  3  2 13  5 12 14  6 11]
