upstreamdiscount_H
[ 8 13 16  6 12 18  3 20  1  2  9  5  7 10 17 11 14 15  4 19]
[15 11  8  4 14  1 12  9  2  7 13 20  6  3 16  5 10 17 19 18]
[ 4 18  5 16  3 11  2  8 10 14 20 17 12  6  9 15 19 13  7  1]
[ 1 11 16  6 17 13 14  3  9 10  4 15  7  5 18 12 20 19  2  8]
[10  7 17 11 16 12  2  4 15 18  1 13 19  9 14 20  5  3  6  8]
[10  2 12 20  6  4  8 17 16  3  7 19 15  1 11 13 14  5  9 18]
[13  2 11  7  5 15  9  3  4  6 12 20 16  8 18 19  1 14 17 10]
[ 3 20 19 16  1  4 17  2 15 13  9  5  6 11  7 12 18 14 10  8]
[ 7 19 17 20 18  3  1 13 12 16  4  9 11 15  2  6 14  8  5 10]
[11 18  3  6  1  8 20  4 17  2  7 16  9 19 12 13 14  5 10 15]
[20  6 16  9 19  1  4 11  5 18 14 17 12  2  3 15  7 13 10  8]
[15 11 20  2  4  5  6  8 14 10 13  7 17 16 18  9  1  3 12 19]
[ 9 14 20  4 11 15  8 17 10 12  2  1  5  3 19 18  7 16  6 13]
[14 13 12  3 16  4 19 18 15  1  5 10  7  8  9  2 11 17  6 20]
[ 7 15  9 10 16 13 12  2 11 19 17 20 14  8  4  3  6  5 18  1]
[ 8 11 17 18 19 20  9 14  3  7  4 12 16 13  1  2 10  6 15  5]
[ 5  4 18 19 15  7 11  1 20  9 17 16 13 14  6  2 10  3  8 12]
[16  7 10  2 11 12  4  5 20  1 14  3 18 19  9 15 17  6  8 13]
[ 3  6 14  5 13  7 11 19  4  2 15 10 18 17 12 20  1  8  9 16]
[15 18 13  3  8  1  5  2  9 10 19  6 11  7 14 20  4 17 16 12]
[ 2  8  1 16 18  7 13 10 19  3 11  9 12 17  5  4 14  6 20 15]
[ 5  9  1 18 14 13  7 10  2 17  4 20 12  8 16 11 15  3  6 19]
[ 6  1  7 11 16 19 12  5  8 13 15  4 20  9  2 17 18 10 14  3]
[ 2 12  3 13 18  4 14 10 17 19 16  7 15  5  1 11  9  8  6 20]
[ 9  3 14  2 12  8 15 17 20  7 13  4 16  6  1 19 10 11  5 18]
[16 10  6  9 12 17  3  4  2 18 13 19  5 14 15  7  8 20  1 11]
[ 4  7 11  8 14 13  2 15  3 20 17 16 10 19  9 12 18  6  1  5]
[ 5  1 13 14  4 12  9 11  2 10  8  7 17 15  6  3 20 16 18 19]
[ 9  8  1 14 18 20 16  4 13 15 12 11 10 17  3  2 19  6  7  5]
[ 8 16 17 18  9 19  4 20 10  7 15  3  2 13  5  1 14  6 11 12]
