benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[5. 0. 3. 0. 0.],[17. 19. 19.  2.  0.],[9. 0. 4. 0. 0.],[ 5. 12.  0.  0.  0.],[5. 7. 0. 0. 0.],[3. 0. 0. 5. 3.],[0. 6. 4. 0. 0.],[ 5.  0. 19. 10.  0.],[ 6.  3. 17.  0.  4.],[ 4.  0. 11.  3.  0.],[0. 5. 0. 6. 0.]
[5. 2. 0. 2. 2.],[19.  0.  0.  0.  0.],[4. 0. 0. 2. 0.],[18.  5.  0.  2.  0.],[1. 5. 2. 3. 0.],[ 6. 10.  0.  0.  0.],[ 0. 10.  0.  0. 14.],[19.  0. 19.  0. 19.],[ 5.  0. 15.  0.  0.],[4. 0. 0. 2. 6.],[0. 0. 9. 0. 0.]
[ 5. 13.  0.  0.  0.],[19. 19. 19.  1. 19.],[0. 0. 0. 0. 0.],[ 5. 10.  0. 19.  0.],[ 7. 12. 19. 19.  0.],[19.  0.  0.  0.  1.],[0. 4. 0. 4. 0.],[ 0. 19. 19.  0.  0.],[ 0  8 17  8  1],[ 0.  5. 19.  0.  2.],[6. 0. 0. 0. 0.]
[0. 0. 3. 0. 0.],[ 0. 18.  0.  0.  0.],[0. 0. 0. 0. 0.],[ 0.  6. 14.  0.  0.],[ 0.  0.  4. 19.  0.],[0. 0. 4. 5. 0.],[ 5. 10. 19.  0.  0.],[ 0.  0. 19.  0.  0.],[6. 3. 0. 0. 2.],[0. 0. 0. 0. 0.],[3. 0. 0. 2. 1.]
[ 6.  0.  0. 19.  0.],[0. 6. 0. 0. 0.],[5. 0. 0. 0. 0.],[0. 6. 0. 0. 0.],[ 5.  0.  0. 18.  0.],[8. 5. 0. 2. 0.],[ 0.  6.  0. 19.  0.],[ 0.  6. 14.  0.  0.],[6. 6. 0. 0. 0.],[ 0. 16.  0.  0.  0.],[ 6. 19.  6.  0.  0.]
[ 0.  0. 19.  0.  0.],[19. 19. 19.  0. 19.],[4. 0. 0. 0. 0.],[ 6.  0. 15.  0.  0.],[19.  0.  0.  0.  0.],[6. 6. 0. 0. 0.],[ 0.  3.  0. 19.  0.],[ 6.  6. 19.  0.  0.],[14.  0.  0.  0.  0.],[0. 6. 0. 1. 0.],[0. 4. 0. 0. 0.]
[ 3.  3. 17. 14.  3.],[11.  0. 19. 19.  0.],[5. 1. 0. 0. 0.],[7. 0. 0. 0. 0.],[ 0.  5. 19.  1.  0.],[4. 9. 0. 0. 0.],[ 4.  0. 19. 19.  0.],[19.  5. 19.  5.  0.],[17.  0.  3.  8.  0.],[6. 6. 0. 0. 0.],[ 6. 14.  0. 19.  0.]
[ 5.  0. 19.  7.  0.],[17. 19. 19.  6.  0.],[3. 7. 0. 0. 4.],[ 0.  0. 19.  0.  0.],[ 0. 18. 16.  0.  0.],[ 0. 18. 18.  0.  0.],[ 5.  0. 18.  0.  0.],[6. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 5. 10.  5.  0.  0.],[ 0.  9. 18. 13.  0.]
[19.  0.  4.  0.  0.],[13. 19. 19.  0.  0.],[5. 0. 4. 2. 0.],[ 0.  0. 11.  0.  0.],[19. 19.  0.  0.  7.],[ 6.  0. 19. 19.  0.],[ 0. 18.  0.  1.  1.],[ 6.  6. 19. 19.  0.],[6. 5. 0. 0. 0.],[0. 5. 0. 0. 0.],[ 0. 19. 19.  0.  2.]
[7. 0. 0. 0. 0.],[19. 19. 19. 19.  0.],[ 5.  0.  0. 19.  0.],[ 5.  0. 19.  0.  0.],[18.  3.  1.  0.  2.],[ 6.  3. 19.  0.  4.],[0. 6. 0. 5. 0.],[6. 0. 0. 0. 0.],[0. 0. 1. 0. 0.],[5. 0. 9. 0. 0.],[ 0. 19. 19.  0.  0.]
[13. 19.  4.  4.  0.],[8. 8. 0. 0. 0.],[0. 4. 0. 4. 0.],[5. 0. 0. 0. 2.],[6. 0. 0. 0. 3.],[8. 0. 0. 1. 0.],[ 5. 10.  0.  0.  2.],[ 0. 19. 19.  0.  0.],[ 0. 18.  0.  0.  1.],[5. 0. 4. 0. 0.],[19.  4.  8.  4.  0.]
[6. 0. 0. 6. 0.],[19. 19. 19.  2.  0.],[0. 0. 4. 0. 0.],[ 6.  0. 19. 19.  0.],[3. 0. 0. 6. 0.],[19.  0.  0.  0.  0.],[ 6. 11. 19.  0.  0.],[0. 0. 0. 7. 0.],[0. 0. 0. 0. 0.],[ 0. 19.  0.  3.  0.],[0. 0. 0. 5. 0.]
[ 8.  6. 10.  0.  0.],[17.  6.  0.  6.  0.],[0. 7. 0. 2. 0.],[ 0. 19.  0.  0.  0.],[6. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[6. 0. 2. 6. 0.],[ 5.  6. 19.  6.  0.],[5. 0. 0. 0. 0.],[ 6.  0. 19.  0.  0.],[7. 5. 0. 5. 0.]
[ 0. 19.  0.  0.  0.],[ 2.  0. 19. 19.  0.],[0. 3. 0. 0. 0.],[ 6.  0.  0. 19.  0.],[19.  5.  0.  1.  0.],[ 1.  4. 16.  4.  0.],[19.  5.  0.  0.  0.],[ 0 11  0 19  0],[4. 4. 0. 4. 0.],[ 0. 10.  5.  0.  0.],[19.  0.  0.  0.  0.]
