benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[ 4  6 14 20  8  9 12  3 16  1 18  5  7 10  2 17 13 19 11 15],[ 1 11  6 16 17 15  2 13  7 18 14 20 12  8 10  4  3  9 19  5],[ 1 19  5  4  6 14  8 10 11 16  2  3 17 15 20  9  7 18 12 13],[20  9  6 19 15  3  5  8  1 11  7 10 16  4 13 18 14 17  2 12],[ 8 13 16  9 20 18  3  1  6 12  2  5  7 10 17 11 14 15 19  4],[18 14 19 15  9 20  4  2 17 16  5  1  6 12  3 13  7 11 10  8],[18 19 10 17 14  9 16  3  2 15  1 20  4  8  5  6 11 12  7 13],[11  2 16  1 19 13 10  3  4  8  7 12  5  6 18  9 15 14 20 17],[ 9 18  2  7  5  6 11 10 19 12 17  8 13 16  4  1 14 15 20  3],[16  9 18 10 11 15  2  5 12  1  4  6  8 19  3 17 13 14 20  7],[13 11 20  5 10 17  3  6 18 15 14  4 12 16  9  7  2 19  1  8]
[14  9 17  2 18 11  7 12  1  3  4 16  6 15 20  8 13 19 10  5],[17 19 18  1  2 13  7 15  6 16 14  9 11  3  5 12  8  4 10 20],[ 7  2  5 14 17  1 19 11 12 15 13  8 10  6  9 20 16 18  4  3],[ 1  9 17  8 20 13  4  5  3  7 19 11  6 12 15  2 14 16 18 10],[15 11  8  4 14  1 12  2  9  7 13 20  3  6 16 10  5 18 17 19],[ 3 14 13 10  5 17 18  6 16  4  1 12  7  2 20 19  8 15  9 11],[17  8 14 12 19 13  5 16  3 18 20  1 10  4 11  9  6  2  7 15],[17  1  5 11 14  3  9 15 18  7 16 10 13  6  4  8 19 20  2 12],[ 3 16 12  7  1 20  5 13 14 19  2 18 15  9  8 11  4  6 17 10],[ 8  2 19  7  4 14 12 18  3 20  9 15 13 10  1  5 16  6 17 11],[18  9 11  2  4  3  1 17 20 19 13 16 10 15 14  8  5  7 12  6]
[ 3 12  4  7 18 19  5 17 16  8 13 10  1  6 20 14 11 15  9  2],[18  9 17 10 14 15  1 12 19  8 16 11  7  3 20  2  6 13  4  5],[17  6  5 20  2 13 16 11  8 15 18 19  1 12 10  9  4  3  7 14],[ 3  1  8 13 20 18  6 12 15  2 14 19  9 10 11  4 16  5 17  7],[ 4 18  5 16  3  6 11  8  2 10 12 14 20 17  1  9 15  7 13 19],[ 1 18 14  5  2  9  7  8 10 16 11  3 19 15  4 17  6 12 13 20],[12  3  1 20  9  8 13  2 17  7 19 11 14  4  6 16 18  5 10 15],[ 5 15  6  9  2  1  4 10 18 14 20 13 11  7 16 17 12  8 19  3],[ 2  3 18 13  8 16 10  5 12 17  4 20  1  6 14 11 15  9 19  7],[18  9 12  4 17  7  2  5 19 20  6 16 13  3 11  8  1 10 14 15],[11 14 12  9 18 16 20 15  3  8 19 13  4 17  5  1  2  7  6 10]
[18  4 11  7 14  5  9  2 13 16 19 10 20 12 15  1  8 17  6  3],[ 5 15  7 11 12  8  3  1 13 16 14 10 20  9 19 18 17  4  6  2],[ 6  8 14 12 11  5  7  4 19 10  2  9 13  3 20 16 15  1 18 17],[ 3 17  1  4 15 16  8 10  2 18 11 13  6 20  9 19  5 12 14  7],[ 1 16 11  6 20 13 17 14  9 10 12 15  7  4 19 18  8  5  2  3],[ 7 19 20 17  1 11 18  6  9 14  4  3 13 15  8 12  2 10 16  5],[ 2  9  8 14 18  3  4  7  5  6  1 17 20 11 16 10 19 12 13 15],[ 8 10  3 17  5 20 16 18  2  4 11  1  6  7 15 13 14 19  9 12],[13  9  2  7  8 19 12 10 15 14 16 11  4 20  1  5  6 17 18  3],[16  4 15  3  9  1  7 19  5 17 14  2 13 11  6 20  8 10 12 18],[19 15 10  4  1  6 17  5  7  3 11  2  9 20 14 13 18  8 16 12]
[11  2 17  1 10  8 16  5  9  6  3 19  4 20 15 13 18 14  7 12],[ 5 13 19 15  2  8 10 14  9  7 17 16 18  6 11  3 20  1 12  4],[19  1  2 16  7  4  3 10 13 14 20 12  9  8 11 15 18 17  5  6],[ 3 18  9 13 16 15 20 12 14  8  2  6  5  4 10 11 17  1 19  7],[10  7 17 12  2 11 16  8  4  1 18 15 13 19  5 14 20  9  6  3],[15 11  9  4 19  2 20  5  3 12 16  8  7 13 10 18  1 14  6 17],[ 6 12 14  5 17  7  9 19  8 20  4 15  1 13 10  2 11 18 16  3],[16  2 20 11 17  1 13  7  8 10  5 12 19  6  9  4 18  3 15 14],[15 17  6  1 13 12 20  2  4 14  3 11 19  5  9 10  7 16 18  8],[15  7 20 14 11  1 18  2 13 16 12  6  8 10  3  9 17  5  4 19],[17  9  3 10 11  6  4  8 20 13 19 15  7  2 18  5 16 12 14  1]
[20 14  7 10 18  6  2 16  5  3  1 17 15 19 11  8 12  9 13  4],[17 19 15 14  1 10  8 13 16 12  4  6 18 11 20  7  5  2  3  9],[13  1  9  6  8 12  4 10 11 19 17 15 14  7 16  3 20  2 18  5],[12  1  5  2  3 18 10 13  9  6  4 15  8 20 14 17 19 16 11  7],[20  2 12  6 10  4 17  8 16  3  7 14  9 15  1 13 11 19  5 18],[15  6  2  8 16  4  7 17 20 11 18 12 10 14 19 13  5  1  9  3],[20  2  9 10  7  6  1 16 18  3 12  8 17  4 19 15  5 14 13 11],[ 8 11 13  6  1  5  3 17 14  2 10 12 15  9 16  4 19 18 20  7],[10  3 11  9 12 20  2  7 14 13  6  1  4 16 18 17 19 15  5  8],[ 7  2 19 18  8 14  4  6 20  1 17  5 13 11 10 12  9 16  3 15],[ 3  6  7  9  8 14 13  2  4  1  5 15 16 17 18 19 12 11 20 10]
[ 6  1 12 10  5  4  2  8 11 16 14 13 19 18 20  7 17  3  9 15],[18  4 16  7  3  1  5 15  6 19 12 14  9 17 10 13  8  2 11 20],[11 17  3  1  8 18  5  6  2 15 14 19 13  9 10  4 20  7 16 12],[12 13 18  7  6 10 15 11  2 16  4 19  5 14  1 17 20  8  9  3],[13  4 15  2  5  9 11  3  7  6 14 12  8 20 19 16 18  1 17 10],[18 20 13  6 15 14 10  5  7  9  3 12  4 11  1 16 17 19  8  2],[15 14  7 16 12 18 17  8 13 11  2  9  3 19  4  5  6 20  1 10],[ 1  7 14  5  4  8 12 10 15 13 16  3  2  9 18  6 19 11 20 17],[ 8  1 14  3 13  6  9  5 11 20 12  7  4 16  2 10 19 15 18 17],[ 2  5  9 18  8 13  3 20 11 14  6  1 17 19 12 10 15  4 16  7],[16 18  2  8 19 13 12 15 11  3  9 14 17  5 20  7  4  1 10  6]
[ 4  6 16  2 19 20 11 12 10  5 15 18 17  7 14  3  8 13  1  9],[ 6  5  4 18  1 14 15 19 11  8  9 12 20 13 10  3  2 17 16  7],[ 7 19  4 15 10  6  9 12 18 13 20  3  1  5 14 16 11  8  2 17],[ 9  2  3 18 14  8  4 12  5  1 20  7 13 11 10 19  6 16 17 15],[19 16  3 13  1 15 20  9  4  2 11 17  5  6  7 18 12 14 10  8],[ 8 20  3 12  1 16  2 15  7  4 18 14 17 10 13 19  5  9  6 11],[10  7  8 11  4  5 16 18  9 15  2  6 20 17  3  1 12 13 14 19],[ 9 12  2 13  8  5  4 18 15 20 16  7 19  6 11 14  3  1 10 17],[19  9  4  7 18  2 13 10  3 20 17  6  8 15 16  5 11 12 14  1],[ 2 20 18 14 19  4 13  9 11  3  8 16 17  5  1  6 10 12  7 15],[16 13 18  4 17 14 12  7  2 15  3 19  6 11  9  8 10  5 20  1]
[ 9  1 14  3  2 11  7  6  4 18 13 17 20 12  8 15  5 19 10 16],[11 20  2  4  9  7  5 14 18  6 15  3 13 17 12 19  8  1 10 16],[10 11  4 17  5 16 12  9 14  2  8 18 13  1 19  6 15 20  7  3],[19 11  6  5 10 15 13  2 14 12  9 17 20  7 18  1 16  3  4  8],[18  7 19 17 20  3  1  4 13 12 16 11  9 15  8 14  6  2  5 10],[20  8  5  3 17 12  6 11  7  2 16 13  4 18 14  1  9 15 19 10],[ 8 10 12 11  7 19 18  3  5  6 20  4 15  1 16 13 17  2 14  9],[11  2 15 13 17 12  6  4  8  9  3 18 20  5  1 19 14  7 16 10],[ 6  3 10  8 17  1 19 13 11 15 16  4 18 14  5  2 20  7 12  9],[ 9 12 19  7  6  4 16 14  2 11 10 18 13  8 15  3 17 20  5  1],[17 11 20  1 12  2 18  3 15  8 13 10  7 14  5  9  6  4 19 16]
[17 14  9 10  7 12  8 15  1  2 20  4  5 16 18 11 19 13  3  6],[20  9 10 18  6 14  4 16 19  1 15  3 11  8 12 17  7  2 13  5],[ 7 19 13  4 15 18 12 11 20  3 16  2 10 17  9  1  6 14  8  5],[ 9 20 19 16  2  1  8 17 14 12 15 18 11  6  5  4  7  3 10 13],[18 11  8  6  3  1 20 17  4 14  2  7 16  9 13 12 19  5 10 15],[ 8  4 19 15 10 12  9  1 20 17 18  3 13  6  5  7 16 11  2 14],[ 8 11  5 13  4 18  1 16 14  6  9  2  3 19 15 17 10 12 20  7],[14 17 10 19 15 12  2  1 16  8 11 18 20  7  9  6  3  5 13  4],[20  3  2 13  8 10 19  4  1 16 11 15 14 12  9  5  6 18  7 17],[11 13  6 10 15 16  8  2 20  1  9  7  5  4  3 18 12 19 17 14],[12  5 20  3  2 10  9  6  8 13 17 18  1  4 11  7 14 16 19 15]
