upstreamdiscount_H
[ 3 13  8 16  1  6 12 18 20  2  9  5  7 10 17 11 14 15 19  4]
[15  4 11 12  8  1  9 14  2  7  6 13 20  3 16 10  5 17 19 18]
[ 4 18  5 16  3 11  2  8 10 14 20  1  6 17  9 15 12 13 19  7]
[ 1 20 16 11 17 13 14  6  9 10 12  7  4 15 18  8 19  2  5  3]
[10  7 17 12 11  2 16  4  1 18 15 19 13 14  5 20  9  3  8  6]
[10  2  4  6 12 20 17 16  7 14  8  3 15  5  1 13 11 19  9 18]
[13  2 15  3  5 11  7  9  4 14  6 12  8 16 20 18  1 19 17 10]
[ 3 19 20 16  2  1  9  4 17 15 13  5 11  7  6 12 14 10 18  8]
[ 7 19 17 20 18  3 12 13  4 16 11  9 15  8  6 14  2  1  5 10]
[18 11  3  1  6  8 20  4 17  2  7 16 14  9 19 12 13  5 10 15]
[20  6 16  9 19  1  4 11  5 18 14 17 12  2  3 15  7 13 10  8]
[ 4 15 11  5 20 14  2  8  6 10 13  7 18  3 17  9 16  1 12 19]
[ 9 14 20  4 11 15  8 17 10 12  2  1  5  3 19 18  7 16  6 13]
[14 15 19 12 16 13  4  3 18  1  5  7 10  8  9 17 11 20  6  2]
[ 7 15 10  9 16  8 12  2 13 19 11 17 14 20  4  3  6  5 18  1]
[ 8 11 17 18 19 20 14  9  3 16 12  4  7  1 13  2 10  6 15  5]
[ 7 18 19 15  5  4 11  1 20  9 17 13 16 14  6  2 10  3  8 12]
[16  7 10  2 11 12  4  5 20  1 14  3 18 19  9 15 17  6  8 13]
[ 3  6 14  5 13  7 11 19  4  2 15 10 18 17 12 20  1  8  9 16]
[15 18 13  3  8  5  1 10  2  9 19  4  6 11  7 14 20 17 16 12]
[ 1  8 16  9  2 10 18  7 13 19  3 12 11  4  5  6 17 14 20 15]
[ 5  9  1 18 14 13  7 10  2 17  4 20 12  8 16 11 15  3  6 19]
[ 6  1  7 11 16 19 12  5  8 13 15  4 20  9  2 17 18 10 14  3]
[12  3  2 14 13 18  4  5 10 19  7 16  1 17 15 11  8  6  9 20]
[ 9  3 14  2 12  8 15 17 20  7 13  4 16  6  1 19 10 11  5 18]
[10  9 16  6 12  4 17  3  2 18 19 13  1 14  7  5 15  8 20 11]
[ 4  7 11  8 14 13  2  3 15 10 17 16 20  6 19  9 12  5 18  1]
[ 1  5 11 13  4 12  9 17  8  6  7  2 10 20 15  3 14 16 18 19]
[ 9  8  1 14 18 20 16  4 13 15 12 11 10 17  3  2 19  6  7  5]
[ 8 16 17 18  9 19 20  4  7 10  1 15  3  2 13  5 12  6 14 11]
