,final objective value,first objective value,final shared job order,final schedule,time,,gurobi,Gap,,¶i¨B
0,471.3529459,728.8039554,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[8, 2, 3, 7, 'M'], [9, 1, 10, 5, 4, 6, 'M'], ['M', 8, 1, 10, 5, 4, 7], [9, 2, 3, 'M', 6]]",127.1116593,,217.43,0.538710849,,0.646748611
1,485.8520716,575.8336768,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[6, 8, 2, 10, 9, 'M'], [4, 7, 1, 5, 3, 'M'], [6, 8, 1, 5, 'M', 10, 9], [4, 7, 2, 3, 'M']]",124.4843264,,187,0.615109185,,0.843736814
2,453.0538333,732.7945341,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[4, 8, 7, 2, 10, 'M'], [6, 9, 1, 5, 3, 'M'], [6, 9, 7, 2, 10, 'M'], [4, 8, 1, 5, 3, 'M']]",111.2469249,,319.22,0.295403821,,0.61825493
3,409.3774281,580.0916749,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[2, 5, 4, 7, 9, 'M'], [3, 8, 1, 'M', 6, 10], [3, 8, 7, 9, 'M'], ['M', 2, 5, 1, 4, 6, 10]]",115.8118033,,279.91,0.316254437,,0.705711607
4,420.4231757,603.2446069,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[10, 8, 4, 3, 5, 'M'], [1, 6, 2, 9, 7, 'M'], ['M', 6, 2, 9, 7], [1, 10, 8, 4, 'M', 3, 5]]",117.0892749,,258.71,0.384643818,,0.696936485
5,376.4039334,574.2555412,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 4, 8, 9, 7, 'M'], [10, 3, 1, 2, 6, 'M'], [3, 8, 'M', 7, 6], ['M', 5, 10, 4, 1, 2, 9]]",116.3884847,,212.39,0.435739159,,0.655464173
6,462.5032243,671.8014154,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[4, 6, 'M', 3, 2], [10, 9, 8, 7, 5, 1, 'M'], [10, 6, 7, 3, 2, 'M'], ['M', 4, 9, 8, 5, 1]]",120.5513289,,329.78,0.286967133,,0.688452292
7,384.8144033,586.7291319,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[2, 8, 7, 9, 5, 3, 'M'], [10, 6, 4, 1, 'M'], [2, 8, 7, 5, 3, 'M'], [10, 6, 9, 4, 1, 'M']]",109.2058384,,244.25,0.365278436,,0.655863809
8,381.7162639,539.1546311,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[4, 2, 8, 6, 7, 'M'], [5, 9, 3, 10, 1, 'M'], ['M', 4, 9, 3, 10, 1, 7], [5, 2, 'M', 8, 6]]",116.1085424,,177.99,0.533711249,,0.707990328
9,460.2092148,589.3741772,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[1, 3, 7, 10, 'M'], [9, 6, 4, 5, 2, 8, 'M'], [6, 4, 7, 'M'], ['M', 9, 1, 3, 5, 2, 10, 8]]",113.4161053,,275.78,0.400750808,,0.780843872
10,536.9491106,694.0779067,"[1, 9, 6, 3, 5, 4, 8, 7, 10, 2]","[[1, 9, 6, 'M', 7], [3, 5, 4, 8, 10, 2, 'M'], ['M', 3, 5, 4, 8, 10], [1, 9, 6, 'M', 7, 2]]",111.6034033,,305.77,0.430541938,,0.773615044
11,412.4521831,503.5646778,"[7, 1, 8, 3, 10, 9, 4, 6, 2, 5]","[[7, 10, 4, 6, 2, 'M'], [1, 8, 3, 9, 5, 'M'], ['M', 7, 8, 3, 9, 6, 2], [1, 'M', 10, 4, 5]]",111.4974153,,165.32,0.599177779,,0.819064961
12,347.9617978,504.3628531,"[3, 1, 5, 7, 4, 8, 9, 6, 2, 10]","[[3, 1, 4, 9, 6, 2, 10, 'M'], [5, 7, 8, 'M'], [1, 4, 9, 6, 2, 'M'], [3, 5, 'M', 7, 8, 10]]",109.4454191,,231.47,0.334783297,,0.689903699
13,459.4990753,610.8266742,"[9, 2, 4, 6, 1, 7, 10, 5, 8, 3]","[[2, 7, 10, 'M'], [9, 4, 6, 1, 5, 8, 3, 'M'], [9, 4, 6, 1, 'M', 3], ['M', 2, 7, 10, 5, 8]]",110.0909243,,280.26,0.390074942,,0.75225771
14,362.8534322,513.9411257,"[9, 1, 4, 2, 10, 8, 7, 6, 3, 5]","[[9, 1, 10, 8, 6, 5, 'M'], [4, 2, 7, 3, 'M'], ['M', 4, 2, 7, 6, 3, 5], ['M', 9, 1, 10, 8]]",112.8509343,,200.03,0.448730583,,0.706021398
15,494.647426,686.0826922,"[8, 10, 3, 6, 7, 5, 1, 9, 4, 2]","[[8, 3, 7, 5, 4, 'M'], [10, 6, 1, 9, 2, 'M'], ['M', 3, 6, 1, 9, 2], [8, 10, 'M', 7, 5, 4]]",111.0021892,,239.57,0.515675232,,0.72097348
16,453.9267838,509.4683529,"[3, 6, 10, 1, 7, 9, 8, 5, 4, 2]","[[1, 9, 5, 4, 'M'], [3, 6, 10, 7, 8, 2, 'M'], ['M', 3, 1, 7, 9, 8, 5], [6, 10, 4, 2, 'M']]",107.5879917,,239.58,0.472205632,,0.890981317
17,458.7288007,572.8278917,"[8, 9, 7, 4, 1, 3, 2, 5, 10, 6]","[['M', 8, 9, 1, 3, 2, 6], [7, 4, 5, 10, 'M'], ['M', 9, 1, 2, 5, 10, 6], [8, 7, 4, 3, 'M']]",112.657918,,245,0.465915374,,0.800814359
18,474.9724432,700.5101695,"[8, 1, 4, 10, 6, 7, 9, 2, 5, 3]","[[4, 10, 7, 9, 2, 'M'], [8, 1, 6, 5, 3, 'M'], ['M', 4, 10, 7, 9, 2], [8, 'M', 1, 6, 5, 3]]",111.9498198,,305.07,0.357710106,,0.678037898
19,409.6680678,571.0068089,"[5, 4, 10, 3, 9, 7, 2, 1, 8, 6]","[[5, 3, 9, 1, 8, 'M'], [4, 10, 7, 2, 'M', 6], [3, 9, 7, 1, 'M'], ['M', 5, 4, 10, 2, 8, 6]]",111.3520312,,147.71,0.639439801,,0.717448656
20,383.9611223,545.9325861,"[2, 7, 4, 5, 9, 6, 3, 10, 1, 8]","[[7, 5, 9, 6, 10, 'M'], [2, 4, 3, 1, 8, 'M'], [2, 5, 3, 1, 8, 'M'], [7, 4, 9, 6, 10, 'M']]",107.9183636,,226.34,0.410513235,,0.703312336
21,503.8652825,747.5523037,"[6, 7, 3, 2, 8, 4, 5, 9, 1, 10]","[[6, 3, 5, 1, 'M'], [7, 2, 8, 4, 9, 10, 'M'], ['M', 3, 8, 5, 1], [6, 7, 2, 4, 9, 10, 'M']]",107.6075768,,322.75,0.3594518,,0.674020105
22,388.4558702,635.0807129,"[6, 9, 8, 2, 3, 7, 1, 5, 4, 10]","[[6, 8, 2, 1, 5, 4, 10, 'M'], [9, 3, 7, 'M'], [9, 8, 2, 7, 4, 10, 'M'], [6, 'M', 3, 1, 5]]",110.2604578,,207.31,0.466322906,,0.611663781
23,438.0212489,640.8557077,"[1, 9, 6, 8, 3, 7, 2, 4, 5, 10]","[[8, 3, 4, 5, 10, 'M'], [1, 9, 6, 7, 2, 'M'], [1, 'M', 6, 8, 3, 5, 10], ['M', 9, 7, 2, 4]]",111.7843134,,277.4,0.36669739,,0.68349434
24,436.3818309,584.4860739,"[8, 1, 5, 2, 4, 10, 6, 9, 7, 3]","[[8, 4, 6, 9, 3, 'M'], [1, 5, 2, 10, 7, 'M'], ['M', 8, 2, 6, 7, 3], [1, 5, 4, 10, 9, 'M']]",108.0812252,,220.04,0.495762691,,0.746607747
