,final objective value,first objective value,final shared job order,final schedule,time,,gurobi,Gap
0,516.3778484,713.405382,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[8, 2, 3, 4, 6, 'M'], [9, 1, 10, 5, 7, 'M'], [8, 'M', 1, 10, 5, 6], [9, 2, 3, 4, 7, 'M']]",34.20346141,,217.43,0.578932364
1,504.5680538,605.3241657,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[6, 1, 5, 10, 'M'], [4, 7, 8, 2, 3, 9, 'M'], [6, 1, 5, 'M', 10], [4, 7, 8, 2, 3, 9, 'M']]",33.97794008,,187,0.62938597
2,516.2976704,776.5930206,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[4, 8, 1, 5, 3, 10, 'M'], [6, 9, 7, 2, 'M'], [4, 9, 7, 2, 3, 'M'], [6, 8, 1, 5, 10, 'M']]",33.66303897,,319.22,0.381713267
3,502.4166708,701.3035225,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[8, 2, 4, 7, 'M'], [3, 'M', 5, 1, 6, 9, 10], [3, 4, 6, 10, 'M'], ['M', 8, 2, 5, 1, 7, 9]]",35.122262,,279.91,0.442872786
4,421.8541988,592.1392472,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[1, 10, 8, 3, 7, 'M'], [6, 2, 4, 9, 5, 'M'], ['M', 6, 2, 4, 9, 7], [1, 'M', 10, 8, 3, 5]]",35.04440212,,258.71,0.386731243
5,460.9897201,644.6622823,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 4, 1, 9, 6, 'M'], [10, 3, 2, 8, 7, 'M'], [5, 3, 2, 'M', 8, 7], [10, 4, 'M', 1, 9, 6]]",34.7553165,,212.39,0.539273891
6,559.15091,637.037409,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[4, 10, 6, 2, 'M'], [9, 8, 7, 'M', 5, 1, 3], ['M', 4, 10, 6, 5, 2], [9, 8, 7, 1, 'M', 3]]",36.26617432,,329.78,0.410212889
7,384.8144033,641.7423552,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[2, 8, 7, 9, 5, 3, 'M'], [10, 6, 4, 1, 'M'], [2, 8, 7, 5, 3, 'M'], [10, 6, 9, 4, 1, 'M']]",32.8121767,,244.25,0.365278436
8,457.2289182,565.4262744,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[4, 2, 8, 3, 1, 'M'], [5, 9, 'M', 10, 6, 7], ['M', 4, 2, 9, 3, 1, 7], [5, 8, 10, 'M', 6]]",35.75895977,,177.99,0.61072016
9,470.8002615,713.5147547,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[1, 3, 7, 2, 'M'], [9, 6, 4, 5, 10, 8, 'M'], [1, 3, 7, 5, 8, 'M'], [9, 6, 4, 2, 10, 'M']]",33.99170899,,275.78,0.414231421
10,561.4910769,742.533039,"[1, 9, 6, 3, 5, 4, 8, 7, 10, 2]","[[1, 9, 5, 7, 'M'], [6, 3, 4, 8, 10, 2, 'M'], ['M', 6, 3, 4, 8], [1, 9, 'M', 5, 7, 10, 2]]",35.01350808,,305.77,0.45543213
11,408.9499916,566.8492857,"[7, 1, 8, 3, 10, 9, 4, 6, 2, 5]","[[7, 8, 9, 4, 5, 'M'], [1, 3, 10, 6, 2, 'M'], ['M', 7, 8, 3, 9, 6, 2], [1, 'M', 10, 4, 5]]",35.14364386,,165.32,0.595745193
12,431.7306946,624.396121,"[3, 1, 5, 7, 4, 8, 9, 6, 2, 10]","[[3, 1, 5, 4, 9, 6, 10, 'M'], [7, 8, 2, 'M'], [1, 'M', 9, 6, 10], [3, 'M', 5, 7, 4, 8, 2]]",35.35985899,,231.47,0.463855587
13,465.4068807,717.9831843,"[9, 2, 4, 6, 1, 7, 10, 5, 8, 3]","[[2, 10, 5, 3, 'M'], [9, 4, 6, 1, 7, 8, 'M'], [9, 4, 6, 1, 7, 3, 'M'], [2, 10, 'M', 5, 8]]",34.56308746,,280.26,0.39781724
14,397.7190108,642.5764857,"[9, 1, 4, 2, 10, 8, 7, 6, 3, 5]","[[9, 2, 8, 6, 'M'], [1, 4, 10, 7, 3, 5, 'M'], ['M', 2, 8, 7, 3, 5], ['M', 9, 1, 4, 10, 6]]",35.1522274,,200.03,0.497056981
15,596.1760759,711.3908958,"[8, 10, 3, 6, 7, 5, 1, 9, 4, 2]","[[8, 3, 7, 9, 4, 'M'], [10, 6, 5, 1, 'M', 2], [8, 3, 'M', 9, 4], [10, 6, 7, 5, 1, 2, 'M']]",34.23633742,,239.57,0.598155629
