,final objective value,first objective value,final shared job order,final schedule,time,,,Optimality Gap
0,1114.085589,1335.69945,"[4, 6, 12, 18, 8, 16, 9, 2, 14, 20, 13, 5, 10, 3, 15, 1, 7, 17, 11, 19]","[[4, 6, 12, 18, 8, 16, 9, 2, 14, 20, 13, 5, 10, 3, 15, 1, 7, 17, 11, 19, 'M'], [4, 'M', 6, 12, 18, 8, 16, 9, 2, 14, 20, 13, 5, 10, 3, 15, 1, 7, 17, 11, 19], [4, 'M', 6, 12, 18, 8, 16, 9, 2, 14, 20, 13, 5, 10, 3, 15, 1, 7, 17, 11, 19], [4, 'M', 6, 12, 18, 8, 16, 9, 2, 14, 20, 13, 5, 10, 3, 15, 1, 7, 17, 11, 19], [4, 'M', 6, 12, 18, 8, 16, 9, 2, 14, 20, 13, 5, 10, 3, 15, 1, 7, 17, 11, 19]]",165.7803841,,,
1,2336.298698,2494.509575,"[14, 9, 17, 7, 2, 18, 3, 16, 1, 4, 11, 12, 6, 20, 15, 13, 5, 8, 10, 19]","[[14, 9, 17, 7, 2, 18, 3, 16, 1, 4, 11, 12, 6, 20, 15, 13, 5, 8, 10, 'M', 19], [14, 9, 17, 7, 2, 18, 3, 16, 1, 4, 11, 12, 6, 20, 15, 13, 5, 8, 10, 19, 'M'], [14, 9, 17, 7, 2, 18, 3, 16, 1, 4, 11, 12, 6, 20, 15, 13, 5, 8, 10, 19, 'M'], [14, 9, 'M', 17, 7, 2, 18, 3, 16, 1, 4, 11, 12, 6, 20, 15, 13, 5, 8, 10, 19], [14, 9, 'M', 17, 7, 2, 18, 3, 16, 1, 4, 11, 12, 6, 20, 15, 13, 5, 8, 10, 19]]",152.7257798,,,
2,6187.718786,6662.31272,"[12, 3, 4, 7, 18, 19, 5, 8, 13, 17, 9, 10, 11, 16, 6, 1, 20, 15, 14, 2]","[[12, 3, 4, 7, 18, 19, 5, 8, 13, 17, 9, 10, 11, 16, 6, 1, 20, 15, 14, 2, 'M'], [12, 3, 4, 7, 18, 19, 5, 8, 13, 17, 9, 10, 11, 16, 6, 1, 20, 'M', 15, 14, 2], [12, 3, 4, 7, 18, 19, 5, 8, 13, 17, 9, 10, 11, 16, 6, 1, 20, 15, 14, 2, 'M'], [12, 3, 4, 'M', 7, 18, 19, 5, 8, 13, 17, 9, 10, 11, 16, 6, 1, 20, 15, 14, 2], [12, 'M', 3, 4, 7, 18, 19, 5, 8, 13, 17, 9, 10, 11, 16, 6, 1, 20, 15, 14, 2]]",164.0853999,,,
3,1289.323318,1315.976145,"[18, 4, 11, 7, 14, 20, 9, 2, 8, 16, 19, 10, 5, 12, 17, 15, 13, 3, 1, 6]","[['M', 18, 4, 11, 7, 14, 20, 9, 2, 8, 16, 19, 10, 5, 12, 17, 15, 13, 3, 1, 6], ['M', 18, 4, 11, 7, 14, 20, 9, 2, 8, 16, 19, 10, 5, 12, 17, 15, 13, 3, 1, 6], ['M', 18, 4, 11, 7, 14, 20, 9, 2, 8, 16, 19, 10, 5, 12, 17, 15, 13, 3, 1, 6], [18, 4, 11, 7, 14, 20, 'M', 9, 2, 8, 16, 19, 10, 5, 12, 17, 15, 13, 3, 1, 6], ['M', 18, 4, 11, 7, 14, 20, 9, 2, 8, 16, 19, 10, 5, 12, 17, 15, 13, 3, 1, 6]]",162.9582319,,,
4,2809.96941,3568.466505,"[11, 2, 17, 1, 10, 16, 3, 19, 5, 6, 4, 8, 9, 20, 15, 18, 13, 12, 7, 14]","[[11, 2, 17, 1, 10, 16, 3, 19, 5, 6, 4, 8, 'M', 9, 20, 15, 18, 13, 12, 7, 14], [11, 2, 17, 1, 'M', 10, 16, 3, 19, 5, 6, 4, 8, 9, 20, 15, 18, 13, 12, 7, 14], ['M', 11, 2, 17, 1, 10, 16, 3, 19, 5, 6, 4, 8, 9, 20, 15, 18, 13, 12, 7, 14], [11, 2, 17, 1, 10, 16, 3, 19, 5, 6, 4, 8, 9, 20, 15, 18, 13, 12, 7, 14, 'M'], ['M', 11, 2, 17, 1, 10, 16, 3, 19, 5, 6, 4, 8, 9, 20, 15, 18, 13, 12, 7, 14]]",166.7587409,,,
5,641.7872143,1012.789092,"[20, 14, 7, 10, 18, 6, 2, 16, 15, 8, 1, 17, 5, 9, 13, 3, 12, 19, 11, 4]","[['M', 20, 14, 7, 10, 18, 6, 2, 16, 15, 8, 1, 17, 5, 9, 13, 3, 12, 19, 11, 4], [20, 14, 7, 10, 18, 6, 2, 16, 15, 8, 1, 17, 5, 9, 13, 3, 12, 19, 11, 4, 'M'], [20, 14, 7, 10, 18, 6, 2, 16, 15, 8, 1, 17, 5, 9, 13, 3, 12, 19, 11, 4, 'M'], ['M', 20, 14, 7, 10, 18, 6, 2, 16, 15, 8, 1, 17, 5, 9, 13, 3, 12, 19, 11, 4], [20, 14, 7, 10, 'M', 18, 6, 2, 16, 15, 8, 1, 17, 5, 9, 13, 3, 12, 19, 11, 4]]",169.3618639,,,
6,1822.372408,1992.095588,"[6, 12, 1, 5, 4, 11, 2, 10, 8, 16, 13, 19, 20, 14, 18, 7, 3, 17, 15, 9]","[[6, 12, 1, 'M', 5, 4, 11, 2, 10, 8, 16, 13, 19, 20, 14, 18, 7, 3, 17, 15, 9], [6, 12, 1, 5, 4, 11, 2, 10, 8, 16, 13, 19, 20, 14, 18, 7, 3, 'M', 17, 15, 9], [6, 12, 1, 5, 4, 11, 2, 10, 8, 16, 13, 19, 20, 14, 18, 7, 3, 17, 15, 9, 'M'], [6, 12, 1, 5, 4, 11, 2, 10, 8, 16, 13, 19, 20, 14, 18, 7, 3, 17, 15, 9, 'M'], [6, 12, 1, 'M', 5, 4, 11, 2, 10, 8, 16, 13, 19, 20, 14, 18, 7, 3, 17, 15, 9]]",201.7181506,,,
7,3838.201802,4650.369835,"[4, 6, 16, 2, 20, 10, 18, 11, 19, 15, 5, 17, 12, 8, 13, 9, 14, 1, 7, 3]","[[4, 6, 16, 2, 20, 10, 18, 11, 19, 15, 5, 'M', 17, 12, 8, 13, 9, 14, 1, 7, 3], [4, 6, 16, 2, 20, 10, 18, 11, 19, 15, 5, 17, 12, 8, 13, 9, 14, 1, 7, 3, 'M'], [4, 6, 16, 2, 20, 10, 18, 11, 19, 15, 5, 17, 12, 8, 13, 9, 14, 1, 7, 3, 'M'], [4, 6, 16, 2, 20, 10, 18, 11, 19, 15, 5, 17, 'M', 12, 8, 13, 9, 14, 1, 7, 3], ['M', 4, 6, 16, 2, 20, 10, 18, 11, 19, 15, 5, 17, 12, 8, 13, 9, 14, 1, 7, 3]]",209.1595733,,,
8,2822.866037,3469.479445,"[9, 1, 14, 3, 2, 11, 13, 6, 4, 18, 7, 5, 8, 10, 17, 12, 20, 15, 19, 16]","[['M', 9, 1, 14, 3, 2, 11, 13, 6, 4, 18, 7, 5, 8, 10, 17, 12, 20, 15, 19, 16], [9, 1, 14, 3, 2, 11, 13, 6, 4, 18, 7, 5, 8, 10, 17, 12, 20, 15, 19, 16, 'M'], ['M', 9, 1, 14, 3, 2, 11, 13, 6, 4, 18, 7, 5, 8, 10, 17, 12, 20, 15, 19, 16], ['M', 9, 1, 14, 3, 2, 11, 13, 6, 4, 18, 7, 5, 8, 10, 17, 12, 20, 15, 19, 16], ['M', 9, 1, 14, 3, 2, 11, 13, 6, 4, 18, 7, 5, 8, 10, 17, 12, 20, 15, 19, 16]]",166.6426601,,,
9,2303.946346,2719.569251,"[17, 14, 9, 10, 7, 12, 8, 15, 1, 2, 16, 13, 3, 20, 5, 11, 6, 4, 19, 18]","[[17, 14, 9, 10, 7, 12, 8, 15, 1, 2, 16, 13, 3, 20, 'M', 5, 11, 6, 4, 19, 18], [17, 14, 'M', 9, 10, 7, 12, 8, 15, 1, 2, 16, 13, 3, 20, 5, 11, 6, 4, 19, 18], [17, 14, 'M', 9, 10, 7, 12, 8, 15, 1, 2, 16, 13, 3, 20, 5, 11, 6, 4, 19, 18], [17, 14, 9, 10, 'M', 7, 12, 8, 15, 1, 2, 16, 13, 3, 20, 5, 11, 6, 4, 19, 18], [17, 14, 'M', 9, 10, 7, 12, 8, 15, 1, 2, 16, 13, 3, 20, 5, 11, 6, 4, 19, 18]]",160.9243333,,,
