,final objective value,first objective value,final shared job order,final schedule,time
0,530.3103360668904,745.4706476289603,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[8, 3, 4, 6, 'M'], [9, 1, 2, 10, 5, 7, 'M'], [8, 'M', 1, 10, 3, 4, 7], [9, 2, 5, 6, 'M']]",183.8679428100586
1,550.456093821215,664.5287929228206,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[6, 8, 5, 'M'], [4, 7, 1, 2, 3, 10, 9, 'M'], [6, 8, 'M', 5, 2, 10, 9], [4, 7, 1, 3, 'M']]",164.92052698135376
2,456.0683891245241,780.0522473365011,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[4, 8, 7, 5, 2, 10, 'M'], [6, 9, 1, 3, 'M'], [6, 9, 7, 2, 3, 'M'], [4, 8, 1, 5, 10, 'M']]",158.41558980941772
3,508.96191677707355,704.3161856429593,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[3, 5, 7, 'M'], [8, 2, 1, 4, 6, 9, 10, 'M'], [3, 1, 7, 9, 'M'], [8, 'M', 2, 5, 4, 6, 10]]",167.58723640441895
4,460.4241648703582,566.4638645560284,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[10, 2, 8, 3, 5, 'M'], [1, 6, 4, 9, 7, 'M'], ['M', 6, 8, 5, 7], [1, 10, 'M', 2, 4, 3, 9]]",168.700936794281
5,377.1700858711368,573.6714150229982,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[10, 8, 9, 7, 6, 'M'], [5, 4, 3, 1, 2, 'M'], [5, 3, 8, 9, 7, 6, 'M'], ['M', 10, 4, 1, 2]]",159.36942434310913
6,491.11705794011766,597.1748673603882,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[4, 9, 3, 'M'], [10, 6, 8, 7, 5, 1, 2, 'M'], ['M', 10, 6, 8, 7, 3, 2], [4, 9, 5, 1, 'M']]",157.86026883125305
7,415.4734038821941,494.0905504673298,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[2, 8, 7, 9, 1, 3, 'M'], [10, 6, 5, 4, 'M'], [2, 8, 7, 5, 4, 'M'], [10, 6, 9, 1, 3, 'M']]",153.03905963897705
8,421.3358379812563,529.6553485448027,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[4, 8, 10, 'M', 6], [5, 2, 9, 3, 1, 7, 'M'], [5, 2, 9, 10, 1, 7, 'M'], [4, 8, 'M', 3, 6]]",158.68079233169556
9,495.9660010777028,632.547060310341,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[4, 3, 7, 5, 8, 'M'], [9, 1, 6, 2, 10, 'M'], ['M', 4, 3, 5], ['M', 9, 1, 6, 7, 2, 10, 8]]",156.77991104125977
10,510.9506536590193,556.7465924300176,"[1, 9, 6, 3, 5, 4, 8, 7, 10, 2]","[[9, 6, 4, 8, 2, 'M'], [1, 3, 5, 7, 10, 'M'], ['M', 1, 6, 4, 8], ['M', 9, 3, 5, 7, 10, 2]]",159.24488592147827
11,441.0715939993082,575.2540496122466,"[7, 1, 8, 3, 10, 9, 4, 6, 2, 5]","[[7, 8, 4, 'M', 6, 5], [1, 3, 10, 9, 2, 'M'], ['M', 7, 8, 10, 9, 6, 5], [1, 3, 4, 2, 'M']]",162.24580192565918
12,389.9695938160196,536.5630141577226,"[3, 1, 5, 7, 4, 8, 9, 6, 2, 10]","[[3, 1, 5, 9, 6, 'M', 2, 10], [7, 4, 8, 'M'], [1, 'M', 4, 9, 6, 2], ['M', 3, 5, 7, 8, 10]]",159.87272214889526
