,final objective value,final shared job order,final schedule,time,,Gurobi obj. val.,Gurobi obj. bd.
0,363.06,"[8, 6, 3, 2, 5, 9, 7, 4, 1]","[[8, 6, 3, 2, 5, 9, 7, 4, 1, 'M'], [6, 'M', 9], [8, 3, 2, 7, 'M'], ['M', 4, 1], [5, 'M'], [6, 2, 'M'], ['M', 5, 7, 1], ['M', 4], [8, 3, 9, 'M'], [5, 'M'], [8, 'M', 7, 4, 1], ['M', 6, 3, 2, 9]]",0.750,,169.17,0
1,755.79,"[1, 8, 10, 5, 6, 2, 3, 9, 4, 7]","[[9, 4, 'M'], [1, 5, 6, 3, 7, 'M'], [8, 10, 2, 'M'], [8, 6, 4, 7, 'M'], [1, 10, 5, 2, 3, 9, 'M'], [10, 5, 6, 'M'], [1, 8, 2, 3, 9, 4, 7, 'M'], [8, 2, 3, 9, 4, 'M'], [1, 10, 5, 6, 'M', 7]]",0.705,,382.29,202.96
2,610.99,"[3, 1, 2, 7, 8, 4, 5, 9, 6]","[[3, 2, 7, 8, 4, 5, 'M'], [1, 'M', 9, 6], [3, 5, 'M'], [1, 2, 7, 4, 'M'], ['M', 8, 9, 6], [3, 1, 2, 7, 8, 4, 5, 9, 6, 'M'], [3, 'M', 8], ['M', 4, 9, 6], [2, 'M'], [1, 7, 'M', 5], [1, 9, 'M'], ['M', 5, 6], [3, 2, 8, 4, 'M'], ['M', 7]]",0.859,,316.8,0
3,293.40,"[7, 3, 4, 6, 2, 1, 5]","[[6, 'M'], [7, 3, 4, 'M', 5], ['M', 2, 1], [7, 3, 4, 6, 2, 1, 'M', 5], ['M', 7, 3, 4, 6, 2, 1, 5], [7, 'M', 6, 1], ['M', 3, 4, 5], ['M', 2]]",0.516,,166.04,166.04
4,483.72,"[8, 1, 7, 2, 4, 3, 5, 9, 6]","[[1, 4, 5, 'M'], [8, 7, 2, 3, 'M', 9, 6], [8, 1, 7, 2, 4, 3, 5, 'M', 9, 6], [8, 2, 'M', 5, 9, 6], [1, 'M'], [7, 4, 3, 'M'], [8, 1, 7, 2, 4, 5, 'M', 9], ['M', 3, 6]]",0.630,,220.11,91.59
5,489.95,"[5, 1, 7, 8, 10, 3, 4, 6, 9, 2]","[[1, 8, 'M'], [5, 7, 10, 3, 4, 6, 9, 2, 'M'], [5, 1, 7, 'M', 8, 10, 3, 4, 6, 9, 2], [7, 'M', 6], ['M', 4, 2], ['M', 5, 1, 8, 10, 3, 9]]",0.552,,259.47,80.39
6,422.26,"[3, 5, 4, 2, 1]","[['M'], [2, 'M'], ['M', 5, 1], [3, 4, 'M'], [3, 4, 1, 'M'], ['M', 5], [2, 'M'], [5, 'M'], [3, 4, 2, 1, 'M'], [2, 'M'], [1, 'M'], ['M'], [3, 5, 4, 'M'], [2, 1, 'M'], [5, 'M'], [3, 4, 'M']]",0.579,,182.89,182.89
7,611.27,"[3, 1, 6, 5, 8, 2, 9, 7, 10, 4]","[['M', 3, 6, 8, 4], [5, 2, 'M', 10], [1, 9, 7, 'M'], ['M', 2, 9], [1, 'M', 4], [3, 6, 8, 'M'], [5, 'M', 7, 10], [3, 5, 10, 'M'], [6, 2, 'M'], [1, 8, 9, 4, 'M'], ['M', 7]]",0.657,,163.34,53.04
8,760.48,"[4, 1, 6, 8, 3, 5, 7, 2]","[[4, 3, 5, 7, 2, 'M'], [1, 6, 'M', 8], [4, 1, 6, 8, 3, 5, 7, 2, 'M'], [4, 1, 6, 8, 3, 5, 7, 2, 'M'], [4, 1, 8, 3, 2, 'M'], [6, 'M', 5, 7], [4, 1, 5, 'M'], ['M', 2], ['M', 6, 7], [8, 3, 'M']]",0.735,,342.87,211.83
9,570.63,"[7, 2, 9, 6, 5, 4, 3, 8, 1]","[[9, 6, 'M', 3, 1], [5, 'M'], [7, 2, 4, 'M'], ['M', 8], [7, 2, 6, 4, 3, 8, 1, 'M'], [9, 5, 'M'], [5, 3, 'M'], [7, 'M', 6, 1], ['M', 2, 4, 8], [9, 'M'], [2, 5, 4, 3, 'M'], [7, 9, 6, 'M', 8, 1]]",0.875,,291.28,144.34
