,final objective value,first objective value,final shared job order,final schedule,time
0,298.28749516031615,426.71773702032027,"[8, 6, 3, 2, 5, 9, 7, 4, 1]","[['M', 8, 6, 3, 2, 5, 9, 7, 4, 1], ['M', 2], [3, 9, 1, 'M'], [8, 6, 'M', 4], ['M', 5, 7], ['M', 5, 4], ['M', 6, 2, 9, 7, 1], [8, 'M'], [3, 'M'], [8, 2, 5, 'M'], [6, 'M', 7], ['M', 3, 9, 4, 1]]",198.45516419410706
1,610.3645672023271,998.0468460197403,"[1, 8, 10, 5, 6, 2, 3, 9, 4, 7]","[['M', 8, 5, 6, 3], [1, 'M', 4, 7], [10, 2, 9, 'M'], [10, 5, 2, 3, 4, 'M'], [1, 8, 6, 9, 'M', 7], [10, 5, 9, 'M'], [1, 8, 6, 2, 3, 4, 7, 'M'], [1, 8, 5, 2, 9, 'M', 7], ['M', 10, 6, 3, 4]]",180.17363572120667
2,540.1546989130314,618.8809586624617,"[3, 1, 2, 7, 8, 4, 5, 9, 6]","[[3, 1, 7, 9, 'M'], [2, 8, 4, 5, 6, 'M'], [3, 'M', 7, 5, 6], [1, 'M'], [2, 'M', 8, 4, 9], [3, 1, 2, 7, 8, 4, 5, 9, 6, 'M'], [3, 1, 2, 7, 8, 'M', 9], ['M', 5], ['M'], [4, 'M', 6], ['M', 8], ['M', 3, 7, 4, 5], [1, 'M'], [2, 'M', 9, 6]]",227.4784905910492
3,281.7710943312719,371.199170477675,"[7, 3, 4, 6, 2, 1, 5]","[[4, 6, 'M'], [7, 3, 5, 'M'], [2, 1, 'M'], [7, 3, 4, 6, 2, 1, 5, 'M'], ['M', 7, 3, 4, 6, 2, 1, 5], [7, 'M', 2, 5], [3, 'M', 4, 6, 1], ['M']]",120.77524423599243
4,411.853393451473,489.1014243873093,"[8, 1, 7, 2, 4, 3, 5, 9, 6]","[[1, 7, 4, 3, 'M'], [8, 'M', 2, 5, 9, 6], [8, 'M', 1, 7, 2, 4, 3, 5, 9, 6], [4, 3, 'M'], [2, 'M', 9], [8, 1, 'M', 7, 5, 6], [8, 7, 2, 'M', 4, 3, 6], [1, 'M', 5, 9]]",172.38627099990845
5,391.27238676040713,416.6708959585376,"[5, 1, 7, 8, 10, 3, 4, 6, 9, 2]","[[1, 8, 10, 3, 'M', 9], [5, 7, 'M', 4, 6, 2], ['M', 5, 1, 7, 8, 10, 3, 4, 6, 9, 2], ['M', 10, 6], ['M', 7, 3, 4], [5, 1, 8, 'M', 9, 2]]",140.4816997051239
6,352.06296031605245,412.65652839122936,"[3, 5, 4, 2, 1]","[[2, 1, 'M'], [5, 4, 'M'], ['M'], [3, 'M'], [2, 'M'], [4, 'M'], [3, 5, 1, 'M'], [4, 1, 'M'], [3, 5, 2, 'M'], ['M', 2, 1], [4, 'M'], ['M', 5], ['M', 3], [3, 'M'], ['M', 5, 2, 1], [4, 'M']]",135.8734941482544
7,451.88078137893666,735.5020221152215,"[3, 1, 6, 5, 8, 2, 9, 7, 10, 4]","[[3, 1, 8, 10, 'M'], [2, 9, 4, 'M'], [6, 5, 7, 'M'], [2, 9, 7, 4, 'M'], [1, 'M'], [3, 8, 'M', 10], [6, 5, 'M'], [3, 'M', 5, 8, 4], [6, 'M'], [2, 9, 7, 'M'], [1, 10, 'M']]",151.4304301738739
8,661.6891944942437,797.4880373652288,"[4, 1, 6, 8, 3, 5, 7, 2]","[[4, 1, 'M', 5, 7, 2], [6, 8, 3, 'M'], ['M', 4, 1, 6, 8, 3, 5, 7, 2], [4, 1, 6, 8, 3, 5, 7, 2, 'M'], [6, 'M', 8, 3, 2], ['M', 4, 1, 5, 7], [6, 5, 'M'], [4, 'M', 3], ['M', 2], [1, 8, 'M', 7]]",173.850891828537
9,452.66769890169815,631.6335616968522,"[7, 2, 9, 6, 5, 4, 3, 8, 1]","[[2, 6, 8, 'M'], [7, 5, 3, 1, 'M'], ['M'], [9, 4, 'M'], [7, 9, 4, 8, 1, 'M'], [2, 6, 5, 3, 'M'], [9, 'M', 4, 3], [2, 6, 'M'], [7, 'M', 8, 1], ['M', 5], ['M', 2, 5, 4, 3, 1], [7, 9, 6, 8, 'M']]",171.03877210617065
10,554.6136505335663,1079.234739215593,"[9, 5, 10, 2, 7, 1, 6, 3, 8, 4]","[[9, 10, 1, 'M', 8], [5, 2, 6, 'M'], [7, 3, 4, 'M'], [9, 6, 3, 'M'], ['M'], [10, 2, 1, 8, 'M'], [5, 'M', 7, 4], [9, 5, 2, 6, 3, 8, 'M'], [10, 7, 1, 4, 'M'], [9, 5, 7, 6, 3, 8, 'M'], ['M', 10, 2, 1, 4]]",166.1912202835083
11,1088.3447492884795,1369.8333718101305,"[2, 1, 5, 4, 8, 9, 7, 10, 3, 6]","[[5, 8, 9, 'M'], [10, 3, 'M'], [2, 4, 7, 'M'], [1, 6, 'M'], ['M', 2, 1, 5, 8, 10], [4, 'M', 9, 7, 3, 6], [2, 1, 4, 'M', 7, 10, 3, 6], [5, 8, 9, 'M'], [2, 1, 5, 8, 'M', 7, 3], ['M', 4, 9, 10, 6], [2, 1, 5, 4, 8, 9, 7, 10, 3, 6, 'M']]",219.265065908432
12,448.5017166459305,823.6286426517873,"[6, 1, 4, 2, 8, 9, 10, 7, 3, 5]","[[6, 1, 8, 3, 'M'], [2, 9, 'M'], [4, 10, 7, 5, 'M'], [6, 'M', 3], ['M', 1, 10, 7], [4, 2, 8, 9, 'M', 5], [6, 1, 8, 9, 3, 'M'], [4, 2, 10, 7, 5, 'M']]",133.65848398208618
