,final objective value,first objective value,final shared job order,final schedule,time
0,395.96345713056246,395.96345713056246,"[8, 6, 3, 2, 5, 9, 7, 4, 1]","[['M', 8, 6, 3, 2, 5, 9, 7, 4, 1], [6, 3, 9, 'M'], ['M', 7, 4, 1], [8, 2, 5, 'M'], ['M'], [6, 2, 'M', 4], [7, 'M'], ['M', 5], [8, 3, 'M', 9, 1], [6, 'M', 3, 4, 1], [5, 7, 'M'], ['M', 8, 2, 9]]",0.10983538627624512
1,908.5005374788391,908.5005374788391,"[1, 8, 10, 5, 6, 2, 3, 9, 4, 7]","[[1, 5, 2, 3, 'M', 7], [8, 9, 'M'], [10, 6, 'M', 4], ['M', 8, 5, 9, 4, 7], [1, 'M', 10, 6, 2, 3], [8, 10, 2, 'M', 7], [1, 5, 6, 'M', 3, 9, 4], [5, 6, 2, 'M', 3], [1, 8, 10, 9, 4, 7, 'M']]",0.09705877304077148
2,667.5426893446595,667.5426893446595,"[3, 1, 2, 7, 8, 4, 5, 9, 6]","[[3, 1, 2, 7, 5, 9, 'M'], ['M', 8, 4, 6], [3, 1, 2, 8, 'M'], ['M', 4, 5], ['M', 7, 9, 6], [3, 1, 2, 7, 8, 4, 'M', 5, 9, 6], [1, 8, 'M', 9], ['M'], [3, 2, 7, 5, 'M', 6], [4, 'M'], [2, 7, 5, 'M', 6], ['M', 9], ['M', 3, 1, 8], [4, 'M']]",0.11255836486816406
3,376.8500374226769,376.8500374226769,"[7, 3, 4, 6, 2, 1, 5]","[[7, 3, 2, 'M'], [4, 'M', 5], ['M', 6, 1], [7, 3, 4, 6, 2, 1, 5, 'M'], [7, 'M', 3, 4, 6, 2, 1, 5], [7, 4, 'M'], ['M', 1], [3, 'M', 6, 2, 5]]",0.08124542236328125
4,518.9714749519095,518.9714749519095,"[8, 1, 7, 2, 4, 3, 5, 9, 6]","[[1, 7, 9, 'M'], [8, 'M', 2, 4, 3, 5, 6], [8, 1, 7, 2, 'M', 4, 3, 5, 9, 6], [7, 4, 'M', 9], [8, 1, 2, 'M'], [3, 5, 'M', 6], [1, 7, 4, 5, 9, 6, 'M'], [8, 2, 'M', 3]]",0.08147096633911133
5,541.3267009414208,544.4120050027523,"[5, 1, 7, 8, 10, 3, 4, 6, 9, 2]","[[1, 10, 4, 'M', 6, 9], [5, 7, 8, 3, 2, 'M'], [5, 1, 7, 8, 10, 3, 4, 6, 'M', 9, 2], [7, 10, 'M'], ['M', 3, 4, 9], [5, 1, 8, 'M', 6, 2]]",0.0813748836517334
6,451.678725220308,451.678725220308,"[3, 5, 4, 2, 1]","[[5, 'M'], [3, 4, 'M', 1], ['M', 2], ['M'], ['M', 4], [3, 5, 'M'], ['M', 2, 1], ['M'], [3, 5, 4, 2, 'M', 1], ['M', 4], [3, 'M'], [2, 'M', 1], [5, 'M'], ['M', 3, 4], [5, 2, 'M'], ['M', 1]]",0.08094000816345215
7,589.5947919441763,589.5947919441763,"[3, 1, 6, 5, 8, 2, 9, 7, 10, 4]","[[6, 5, 2, 'M'], ['M', 1, 9, 7, 10, 4], [3, 8, 'M'], ['M', 8], [3, 6, 5, 'M', 10, 4], [1, 9, 'M'], ['M', 2, 7], ['M', 9, 7, 4], [3, 6, 2, 'M'], [1, 'M'], ['M', 5, 8, 10]]",0.08059334754943848
8,837.6460028207063,837.6460028207063,"[4, 1, 6, 8, 3, 5, 7, 2]","[[4, 6, 'M', 5, 7], [1, 8, 3, 2, 'M'], [4, 1, 6, 'M', 8, 3, 5, 7, 2], ['M', 4, 1, 6, 8, 3, 5, 7, 2], [4, 1, 6, 'M', 5, 2], ['M', 8, 3, 7], [4, 5, 'M', 2], [1, 'M'], ['M', 6, 8, 3, 7], ['M']]",0.10934758186340332
9,830.3070977450416,863.1287687428113,"[7, 2, 9, 6, 5, 4, 3, 8, 1]","[['M', 2, 9, 6, 8], [5, 3, 'M'], [4, 'M'], [7, 'M', 1], [7, 5, 4, 'M'], ['M', 2, 9, 6, 3, 8, 1], ['M'], [2, 9, 'M', 4, 8], [7, 6, 3, 'M', 1], ['M', 5], [2, 9, 5, 'M'], [7, 6, 4, 'M', 3, 8, 1]]",0.09714603424072266
10,1008.1393712573458,1037.2096102218957,"[9, 5, 10, 2, 7, 1, 6, 3, 8, 4]","[[9, 'M', 3, 8], [5, 10, 2, 7, 'M'], [1, 6, 'M', 4], ['M', 5, 2, 6], [10, 'M', 8], [3, 'M'], [9, 7, 1, 'M', 4], ['M', 5, 10, 2, 7, 1, 4], [9, 'M', 6, 3, 8], [10, 2, 'M', 1, 6, 3, 4], [9, 5, 'M', 7, 8]]",0.11254119873046875
11,1289.9143576362944,1394.3510321291376,"[2, 1, 5, 4, 8, 9, 7, 10, 3, 6]","[[2, 4, 9, 7, 'M', 6], ['M', 3], [1, 5, 8, 'M'], ['M', 10], [2, 8, 9, 7, 10, 'M', 3, 6], [1, 5, 4, 'M'], ['M', 8, 3, 6], [2, 1, 5, 4, 9, 7, 10, 'M'], [2, 4, 'M', 10, 3], [1, 5, 'M', 8, 9, 7, 6], [2, 1, 5, 4, 8, 9, 7, 10, 'M', 3, 6]]",0.14339375495910645
12,803.2608576030367,803.2608576030367,"[6, 1, 4, 2, 8, 9, 10, 7, 3, 5]","[[6, 7, 3, 'M'], [4, 2, 'M'], [1, 8, 9, 10, 5, 'M'], ['M', 2, 8, 10], ['M', 5], [6, 1, 4, 9, 7, 3, 'M'], [6, 4, 2, 8, 9, 10, 3, 'M'], [1, 'M', 7, 5]]",0.08081603050231934
13,939.0426084394645,939.0426084394645,"[9, 1, 6, 2, 5, 8, 7, 3, 4]","[[1, 'M', 2, 8, 4], [9, 'M', 6, 5, 7, 3], [9, 1, 2, 'M', 5, 7, 3, 4], [6, 'M', 8], ['M', 9, 1, 6, 2, 5, 8, 7, 3, 4], [9, 1, 6, 2, 5, 8, 7, 3, 'M', 4], [9, 6, 2, 'M', 5, 8, 7, 4], [1, 3, 'M']]",0.09635686874389648
14,261.64787852416316,261.64787852416316,"[3, 2, 1, 5, 4]","[['M'], [1, 'M', 4], [3, 2, 5, 'M'], [3, 'M', 2, 1, 5], ['M', 4], [3, 1, 'M'], [2, 5, 4, 'M']]",0.04689168930053711
15,538.1354685391568,538.1354685391568,"[3, 6, 7, 1, 4, 5, 2]","[[4, 'M'], ['M'], ['M', 2], [3, 6, 7, 1, 5, 'M'], [3, 6, 7, 1, 'M', 4, 5, 2], ['M', 1, 4], [3, 'M', 2], ['M', 6, 7, 5], ['M', 3, 6, 7, 1, 4, 5, 2]]",0.08099937438964844
16,192.66035091576538,223.711166506546,"[6, 3, 1, 5, 4, 2]","[[6, 3, 1, 4, 2, 'M'], ['M'], ['M', 5], [6, 3, 1, 5, 4, 2, 'M'], [6, 3, 5, 'M'], ['M', 1, 4, 2]]",0.044442176818847656
17,566.4576031196813,566.4576031196813,"[8, 2, 6, 4, 5, 3, 1, 7]","[[8, 2, 6, 4, 'M', 5, 3, 1, 7], [8, 'M', 1, 7], [2, 6, 5, 'M'], [4, 3, 'M'], [2, 'M'], ['M'], [8, 6, 4, 1, 'M'], ['M', 5, 3, 7], [8, 2, 6, 4, 7, 'M'], ['M', 5, 1], [3, 'M']]",0.08075594902038574
18,473.73358547226826,549.1062162569151,"[4, 6, 2, 3, 1, 8, 7, 5]","[[4, 3, 1, 'M'], ['M', 8, 5], [6, 2, 'M', 7], [4, 'M', 3, 8, 7], [6, 2, 1, 'M', 5], [2, 'M'], [4, 'M', 3, 7], ['M', 8], [6, 1, 'M', 5]]",0.08102011680603027
19,425.66532043984387,425.66532043984387,"[2, 7, 3, 5, 4, 6, 1]","[[2, 6, 1, 'M'], [7, 3, 5, 4, 'M'], ['M'], ['M'], [7, 3, 4, 6, 'M'], [5, 'M', 1], [2, 'M'], ['M', 5], [3, 'M'], [2, 'M'], [7, 'M', 4, 6, 1]]",0.06725168228149414
20,954.6147610896289,954.6147610896289,"[7, 6, 2, 8, 1, 3, 10, 5, 4, 9]","[[6, 3, 'M'], ['M', 8, 10, 4], [7, 'M', 1, 9], [2, 'M', 5], ['M', 7, 6, 2, 8, 1, 3, 10, 5, 4, 9], [7, 'M', 2, 1, 3, 10, 5], ['M', 6, 8, 4, 9], [7, 2, 8, 'M', 9], [6, 1, 3, 10, 5, 'M', 4], [7, 6, 1, 10, 'M', 9], [2, 'M', 5], [8, 3, 'M', 4]]",0.12769603729248047
21,191.86280010214807,191.86280010214807,"[2, 1, 4, 3, 5]","[[2, 1, 4, 3, 5, 'M'], [2, 'M', 4, 3], ['M', 5], [1, 'M'], [2, 'M', 4], [1, 'M', 3], ['M', 5], [2, 'M', 4, 3], ['M', 1], ['M'], ['M', 5]]",0.06499934196472168
22,296.59356795117225,296.59356795117225,"[3, 2, 5, 4, 1]","[[3, 2, 5, 'M', 4, 1], ['M'], [3, 4, 'M'], [2, 5, 1, 'M'], [5, 1, 'M'], ['M', 2], [3, 4, 'M'], ['M', 2, 5, 1], [3, 4, 'M'], ['M']]",0.050026893615722656
23,1253.7041852696507,1253.7041852696507,"[7, 3, 10, 1, 8, 5, 6, 4, 2, 9]","[[3, 10, 'M', 9], [7, 1, 5, 2, 'M'], [8, 6, 4, 'M'], ['M', 10, 1, 6, 2], [3, 8, 'M'], [7, 'M', 5, 4, 9], [10, 'M', 6, 4], ['M', 3, 2, 9], [7, 8, 5, 'M'], ['M', 1], [10, 'M', 2, 9], [8, 5, 6, 'M'], [3, 1, 'M', 4], [7, 'M'], [7, 1, 5, 6, 2, 'M'], ['M', 9], [3, 10, 8, 'M', 4]]",0.12867498397827148
