,final objective value,first objective value,final shared job order,final schedule,time,,Lower Bound
0,286.8126117,396.1022815,"[8, 6, 3, 2, 5, 9, 7, 4, 1]","[['M', 8, 6, 3, 2, 5, 9, 7, 4, 1], ['M', 9], ['M', 1], ['M', 6, 3, 7, 4], [8, 2, 5, 'M'], [2, 5, 'M', 4], [6, 9, 'M'], ['M', 8, 3, 7], ['M', 1], ['M', 6, 2, 5, 7], [8, 'M', 3, 9, 4, 1], ['M']]",103.5922668,,
1,622.4263116,948.2818891,"[1, 8, 10, 5, 6, 2, 3, 9, 4, 7]","[[10, 2, 4, 'M'], [1, 5, 6, 3, 7, 'M'], [8, 9, 'M'], [8, 2, 3, 9, 'M', 7], [1, 10, 5, 'M', 6, 4], ['M', 10, 5, 2, 4, 7], [1, 8, 6, 3, 9, 'M'], ['M', 10, 5, 6, 3, 9, 7], [1, 8, 2, 4, 'M']]",67.63379931,,
2,483.7684169,792.7074118,"[3, 1, 2, 7, 8, 4, 5, 9, 6]","[[3, 1, 4, 6, 'M'], [2, 7, 8, 'M', 5, 9], [1, 'M', 5, 9], [2, 8, 4, 'M'], [3, 7, 6, 'M'], ['M', 3, 1, 2, 7, 8, 4, 5, 9, 6], ['M', 8, 6], [7, 'M'], ['M', 2, 4, 5], [3, 1, 9, 'M'], [3, 5, 'M'], [2, 8, 'M', 9], [1, 'M'], ['M', 7, 4, 6]]",121.4758945,,
3,267.3519137,310.275479,"[7, 3, 4, 6, 2, 1, 5]","[[6, 1, 'M'], [7, 'M'], [3, 4, 2, 5, 'M'], [7, 3, 4, 6, 2, 1, 5, 'M'], ['M', 7, 3, 4, 6, 2, 1, 5], [7, 'M'], ['M', 4, 5], ['M', 3, 6, 2, 1]]",51.07750034,,
4,351.7691289,526.9135942,"[8, 1, 7, 2, 4, 3, 5, 9, 6]","[[1, 7, 4, 'M', 5, 9], [8, 2, 3, 6, 'M'], ['M', 8, 1, 7, 2, 4, 3, 5, 9, 6], [8, 2, 'M'], ['M', 9], [1, 7, 'M', 4, 3, 5, 6], [8, 'M', 7, 2, 3, 5, 6], ['M', 1, 4, 9]]",59.26354003,,
5,359.2330489,559.6677381,"[5, 1, 7, 8, 10, 3, 4, 6, 9, 2]","[[1, 'M', 6], [5, 'M', 7, 8, 10, 3, 4, 9, 2], ['M', 5, 1, 7, 8, 10, 3, 4, 6, 9, 2], [1, 7, 'M', 3, 9], [10, 'M'], [5, 'M', 8, 4, 6, 2]]",52.52274299,,
6,326.806699,477.2787299,"[3, 5, 4, 2, 1]","[['M'], [4, 'M'], [2, 1, 'M'], [3, 5, 'M'], [3, 'M'], [5, 4, 'M'], [2, 1, 'M'], [5, 4, 1, 'M'], ['M', 3, 2], [3, 'M'], [5, 'M'], ['M', 2], [4, 1, 'M'], [2, 'M'], [5, 4, 'M'], [3, 'M', 1]]",83.01556873,,
7,443.8567143,694.6876646,"[3, 1, 6, 5, 8, 2, 9, 7, 10, 4]","[[5, 7, 'M'], [3, 8, 4, 'M'], [1, 6, 2, 9, 10, 'M'], [3, 'M', 7, 10], [6, 2, 4, 'M'], [1, 5, 8, 9, 'M'], ['M'], [6, 5, 'M'], [2, 7, 'M'], [3, 8, 4, 'M'], [1, 9, 10, 'M']]",93.24337363,,
8,718.3814129,835.3904826,"[4, 1, 6, 8, 3, 5, 7, 2]","[[4, 1, 8, 5, 'M', 7, 2], [6, 'M', 3], [4, 1, 6, 8, 3, 5, 7, 2, 'M'], [4, 1, 6, 8, 3, 5, 7, 2, 'M'], ['M', 6, 8, 5, 2], [4, 'M', 1, 3, 7], [6, 5, 2, 'M'], [4, 'M'], ['M'], ['M', 1, 8, 3, 7]]",81.08754563,,
9,498.3575078,654.2012232,"[7, 2, 9, 6, 5, 4, 3, 8, 1]","[[9, 5, 'M'], [7, 8, 1, 'M'], [2, 6, 'M'], [4, 3, 'M'], [7, 9, 4, 3, 8, 1, 'M'], [2, 6, 5, 'M'], ['M', 6, 5, 1], ['M', 9], [7, 'M', 4, 3, 8], [2, 'M'], [2, 'M', 4, 3, 8, 1], [7, 9, 6, 5, 'M']]",64.40079999,,
10,591.8978027,1100.718147,"[9, 5, 10, 2, 7, 1, 6, 3, 8, 4]","[[9, 'M'], [5, 10, 7, 1, 6, 'M'], ['M', 2, 3, 8, 4], [5, 'M', 7, 3, 4], [1, 'M'], [10, 6, 'M'], [9, 'M', 2, 8], [9, 5, 'M', 6, 3, 4], [10, 2, 7, 1, 8, 'M'], [9, 10, 6, 3, 'M', 4], [5, 2, 7, 1, 8, 'M']]",70.38741517,,
11,1207.882586,1453.481562,"[2, 1, 5, 4, 8, 9, 7, 10, 3, 6]","[[2, 1, 10, 'M'], ['M', 9, 7, 3, 6], [5, 4, 'M'], [8, 'M'], [2, 1, 5, 'M', 9, 7, 6], [4, 8, 10, 3, 'M'], [2, 7, 3, 'M', 6], ['M', 1, 5, 4, 8, 9, 10], [2, 'M', 1, 5, 8, 9, 7, 10, 3, 6], [4, 'M'], [2, 'M', 1, 5, 4, 8, 9, 7, 10, 3, 6]]",112.3730519,,
