,final objective value,first objective value,final shared job order,final schedule,time
0,339.9361216899377,425.394476085576,"[8, 6, 3, 2, 5, 9, 7, 4, 1]","[[8, 6, 3, 2, 5, 9, 7, 4, 1, 'M'], ['M', 2, 7], ['M', 9, 1], ['M', 6, 3, 5], [8, 4, 'M'], [3, 'M', 7, 1], ['M', 6, 2, 9], [8, 'M', 5, 4], ['M'], [8, 2, 'M', 1], ['M', 6, 5, 4], [3, 'M', 9, 7]]",65.12865805625916
1,668.144370985337,1031.115712784869,"[1, 8, 10, 5, 6, 2, 3, 9, 4, 7]","[[8, 5, 6, 3, 4, 'M'], [1, 10, 2, 9, 7, 'M'], ['M'], [8, 5, 6, 3, 9, 4, 'M'], [1, 'M', 10, 2, 7], [10, 'M', 2, 9, 4], [1, 8, 5, 6, 3, 7, 'M'], ['M', 8, 5, 3, 9, 4], [1, 10, 6, 2, 'M', 7]]",63.16459274291992
2,440.1423881259029,668.7287929603613,"[3, 1, 2, 7, 8, 4, 5, 9, 6]","[[3, 2, 'M'], [1, 7, 8, 4, 5, 9, 6, 'M'], [3, 7, 'M'], [1, 4, 5, 9, 6, 'M'], ['M', 2, 8], ['M', 3, 1, 2, 7, 8, 4, 5, 9, 6], [3, 'M', 8], [1, 7, 5, 'M'], ['M', 4, 6], [2, 'M', 9], [7, 'M', 5, 6], [3, 'M', 2], [1, 'M', 4], ['M', 8, 9]]",78.46366739273071
3,300.0309778452744,392.29525594279806,"[7, 3, 4, 6, 2, 1, 5]","[[2, 1, 'M'], [7, 6, 'M'], [3, 4, 5, 'M'], [7, 3, 4, 6, 2, 1, 5, 'M'], [7, 'M', 3, 4, 6, 2, 1, 5], [7, 'M', 6, 2], [3, 'M', 5], ['M', 4, 1]]",45.98988389968872
4,407.2241800730438,561.8580315487762,"[8, 1, 7, 2, 4, 3, 5, 9, 6]","[[1, 2, 5, 'M'], [8, 7, 4, 3, 9, 6, 'M'], [8, 'M', 1, 7, 2, 4, 3, 5, 9, 6], [5, 9, 'M'], [8, 'M', 2, 6], [1, 'M', 7, 4, 3], [8, 1, 7, 'M', 4, 3], ['M', 2, 5, 9, 6]]",57.764585733413696
5,399.09322447334694,541.4300742339427,"[5, 1, 7, 8, 10, 3, 4, 6, 9, 2]","[[7, 4, 6, 'M'], [5, 1, 8, 10, 3, 'M', 9, 2], [5, 'M', 1, 7, 8, 10, 3, 4, 6, 9, 2], [5, 'M', 3, 6], [7, 2, 'M'], [1, 'M', 8, 10, 4, 9]]",50.26367449760437
6,340.0510588812189,424.65421442251545,"[3, 5, 4, 2, 1]","[[3, 'M'], ['M'], [4, 2, 'M'], [5, 1, 'M'], [3, 'M'], [2, 'M'], [5, 4, 'M', 1], [4, 1, 'M'], [3, 5, 2, 'M'], ['M', 3, 2, 1], [4, 'M'], [5, 'M'], ['M'], [2, 'M'], ['M', 4], [3, 5, 1, 'M']]",50.51337194442749
7,372.34241188939365,670.3143843418022,"[3, 1, 6, 5, 8, 2, 9, 7, 10, 4]","[[3, 1, 10, 4, 'M'], [5, 9, 'M'], [6, 8, 2, 7, 'M'], [8, 9, 4, 'M'], [6, 'M', 2], [5, 'M', 10], [3, 1, 7, 'M'], ['M', 5, 8, 9, 10], [6, 2, 'M'], [3, 1, 'M'], ['M', 7, 4]]",57.92869424819946
8,706.996815496204,795.0428489374127,"[4, 1, 6, 8, 3, 5, 7, 2]","[[4, 1, 6, 8, 3, 'M', 5], [7, 'M', 2], ['M', 4, 1, 6, 8, 3, 5, 7, 2], [4, 1, 6, 8, 3, 5, 7, 2, 'M'], ['M', 1, 8, 5, 2], [4, 'M', 6, 3, 7], [1, 6, 3, 'M'], [4, 'M'], ['M', 5, 2], ['M', 8, 7]]",68.25456166267395
9,557.6724859688301,815.9304378643311,"[7, 2, 9, 6, 5, 4, 3, 8, 1]","[[2, 9, 6, 4, 8, 'M'], [7, 1, 'M'], [5, 3, 'M'], ['M'], [7, 9, 6, 5, 4, 'M'], [2, 'M', 3, 8, 1], [9, 4, 'M', 1], ['M', 2], ['M', 7, 3], ['M', 6, 5, 8], [7, 2, 6, 5, 4, 3, 'M'], [9, 'M', 8, 1]]",64.65243434906006
10,629.045582555559,928.2904754307533,"[9, 5, 10, 2, 7, 1, 6, 3, 8, 4]","[[9, 5, 10, 7, 'M'], [2, 'M', 6, 8, 4], [1, 3, 'M'], [5, 7, 1, 'M'], [10, 6, 3, 'M'], [8, 'M'], [9, 'M', 2, 4], [9, 5, 2, 'M', 3, 8], ['M', 10, 7, 1, 6, 4], [9, 5, 7, 6, 3, 8, 'M'], [10, 2, 1, 4, 'M']]",71.90478301048279
11,984.4865088711034,1379.872060670053,"[2, 1, 5, 4, 8, 9, 7, 10, 3, 6]","[[9, 'M'], ['M'], [2, 1, 4, 8, 7, 6, 'M'], [5, 'M', 10, 3], [2, 'M', 5, 8], [1, 4, 'M', 9, 7, 10, 3, 6], [2, 1, 4, 8, 'M', 7, 6], [5, 9, 'M', 10, 3], [2, 1, 5, 8, 7, 'M', 3, 6], [4, 9, 10, 'M'], ['M', 2, 1, 5, 4, 8, 9, 7, 10, 3, 6]]",86.23894357681274
12,522.6616270868999,817.3056672692456,"[6, 1, 4, 2, 8, 9, 10, 7, 3, 5]","[[1, 10, 'M'], [6, 2, 9, 'M'], ['M', 4, 8, 7, 3, 5], ['M'], [1, 'M', 10, 7], [6, 'M', 4, 2, 8, 9, 3, 5], [1, 4, 8, 9, 'M', 5], [6, 2, 10, 7, 3, 'M']]",52.45826721191406
13,800.7260773865473,1030.96729214361,"[9, 1, 6, 2, 5, 8, 7, 3, 4]","[[6, 2, 8, 7, 3, 4, 'M'], [9, 1, 5, 'M'], [9, 6, 7, 'M'], [1, 2, 'M', 5, 8, 3, 4], ['M', 9, 1, 6, 2, 5, 8, 7, 3, 4], [9, 1, 6, 2, 5, 'M', 8, 7, 3, 4], ['M', 9, 6, 2, 8, 3, 4], [1, 5, 7, 'M']]",62.529654026031494
14,174.45093331732681,301.53395908214543,"[3, 2, 1, 5, 4]","[[1, 'M'], [2, 5, 4, 'M'], [3, 'M'], [3, 1, 5, 4, 'M'], [2, 'M'], ['M', 1, 5], [3, 2, 'M', 4]]",28.448041915893555
15,453.86014107187043,594.4091018459887,"[3, 6, 7, 1, 4, 5, 2]","[[7, 'M'], [6, 'M', 5], [1, 'M'], [3, 'M', 4, 2], [3, 6, 7, 1, 4, 5, 2, 'M'], [3, 6, 7, 5, 2, 'M'], [1, 4, 'M'], ['M'], [3, 6, 7, 1, 4, 5, 2, 'M']]",48.17803239822388
16,178.56384810851318,199.24330529840356,"[6, 3, 1, 5, 4, 2]","[[6, 3, 1, 5, 4, 'M', 2], ['M'], ['M'], [6, 3, 1, 5, 4, 2, 'M'], [6, 1, 'M'], ['M', 3, 5, 4, 2]]",30.403709650039673
17,330.4154882126887,525.0811640499547,"[8, 2, 6, 4, 5, 3, 1, 7]","[['M', 8, 2, 6, 4, 5, 3, 1, 7], [2, 'M', 5, 1, 7], [8, 'M'], [6, 4, 3, 'M'], ['M'], [2, 4, 'M'], ['M', 5, 1], [8, 6, 3, 7, 'M'], ['M', 5, 1], ['M', 8, 4, 3, 7], [2, 6, 'M']]",58.609429597854614
18,275.1831585008776,481.7422215799393,"[4, 6, 2, 3, 1, 8, 7, 5]","[[5, 'M'], [4, 6, 1, 'M'], [2, 3, 8, 7, 'M'], [2, 8, 7, 5, 'M'], [4, 6, 3, 1, 'M'], [3, 'M', 5], [4, 6, 7, 'M'], [2, 1, 'M'], ['M', 8]]",45.817259788513184
19,322.4510837233982,598.1394783128919,"[2, 7, 3, 5, 4, 6, 1]","[[2, 6, 'M'], [7, 4, 1, 'M'], [5, 'M'], [3, 'M'], [4, 'M', 6], [7, 5, 'M'], [2, 3, 1, 'M'], [7, 3, 'M'], [2, 6, 'M'], [5, 1, 'M'], [4, 'M']]",41.038803815841675
20,863.0075714336676,1114.7817719187062,"[7, 6, 2, 8, 1, 3, 10, 5, 4, 9]","[[5, 'M'], [1, 10, 'M'], [7, 6, 2, 8, 3, 'M'], [4, 'M', 9], ['M', 7, 6, 2, 8, 1, 3, 10, 5, 4, 9], [6, 2, 'M', 3, 10, 5, 4], [7, 'M', 8, 1, 9], [2, 1, 'M', 4, 9], [7, 6, 8, 'M', 3, 10, 5], [6, 2, 'M', 8, 3, 4, 9], ['M'], [7, 'M', 1, 10, 5]]",85.73703694343567
21,165.18942509293342,207.8363218845353,"[2, 1, 4, 3, 5]","[[2, 1, 4, 3, 5, 'M'], [2, 'M', 3, 5], ['M'], ['M', 1, 4], [4, 'M', 3, 5], ['M', 1], [2, 'M'], ['M', 1], [2, 'M', 3], [4, 'M'], ['M', 5]]",41.633747816085815
22,174.58175833557027,347.7948863953023,"[3, 2, 5, 4, 1]","[[2, 4, 1, 'M'], [3, 5, 'M'], [3, 5, 'M'], ['M', 2, 4, 1], [3, 'M'], [5, 'M'], [2, 4, 1, 'M'], [3, 5, 'M'], [2, 'M'], ['M', 4, 1]]",35.340564012527466
23,857.720403505412,1293.9682685617224,"[7, 3, 10, 1, 8, 5, 6, 4, 2, 9]","[[9, 'M'], [1, 8, 6, 4, 'M'], [7, 3, 10, 5, 2, 'M'], [1, 8, 9, 'M'], [5, 'M'], [7, 3, 10, 6, 4, 2, 'M'], [8, 2, 'M'], [7, 'M'], [3, 1, 'M', 4, 9], ['M', 10, 5, 6], [5, 6, 9, 'M'], [7, 1, 'M', 4, 2], [3, 'M', 8], [10, 'M'], [5, 2, 'M'], ['M', 7, 10, 4], [3, 1, 8, 6, 9, 'M']]",87.99853491783142
24,836.464578239096,1109.1231116863726,"[1, 3, 6, 9, 8, 4, 7, 5, 2]","[[1, 8, 'M'], ['M', 3, 6, 9, 4, 7, 5, 2], ['M', 6, 9, 4, 7, 5, 2], [1, 3, 8, 'M'], [6, 'M', 8, 5, 2], [4, 7, 'M'], [1, 3, 9, 'M'], [3, 8, 'M', 5], [6, 4, 2, 'M'], [1, 'M', 9, 7], [6, 'M', 8, 7], ['M', 1, 3, 5, 2], ['M', 9], [4, 'M']]",77.7589898109436
25,345.10383033611834,390.00338337068723,"[9, 1, 2, 4, 6, 5, 7, 3, 8]","[[9, 1, 2, 4, 6, 5, 7, 3, 8, 'M'], [2, 'M', 8], [7, 3, 'M'], [9, 1, 'M', 4, 6, 5], ['M', 9, 1, 2, 4, 6, 5, 7, 3, 8], ['M', 9, 1, 2, 4, 6, 5, 7, 3, 8]]",55.84023594856262
26,380.70590635940954,434.5790394674748,"[4, 5, 1, 6, 3, 2]","[[6, 3, 2, 'M'], [4, 'M'], [5, 1, 'M'], ['M'], [4, 5, 1, 6, 3, 2, 'M'], ['M', 1, 3], ['M', 4, 5, 6], ['M', 2], ['M', 6], [4, 1, 'M', 2], ['M'], [5, 'M', 3]]",47.403176069259644
