,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,567.3570834892794,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[8, 'M', 6], [9, 1, 2, 10, 5, 3, 4, 7, 'M'], ['M', 8, 1, 10, 5, 4], [9, 2, 3, 7, 6, 'M']]",375.0096273310431,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[6, 8, 'M'], [2, 4, 5, 10, 3, 9, 1, 7, 'M'], ['M', 4, 5, 10, 8, 1], [2, 6, 3, 9, 'M', 7]]",375.0096273310431,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[6, 8, 'M'], [2, 4, 5, 10, 3, 9, 1, 7, 'M'], ['M', 4, 5, 10, 8, 1], [2, 6, 3, 9, 'M', 7]]",0.4270050525665283
2,504.2111309801655,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[6, 8, 1, 'M', 3, 9], [4, 7, 5, 2, 10, 'M'], [6, 7, 1, 5, 'M', 10, 9], [4, 'M', 8, 2, 3]]",442.6189744597895,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[1, 9, 3, 8, 6, 'M'], [4, 5, 10, 2, 7, 'M'], [1, 5, 9, 10, 'M', 7, 6], [4, 'M', 3, 2, 8]]",442.6189744597895,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[1, 9, 3, 8, 6, 'M'], [4, 5, 10, 2, 7, 'M'], [1, 5, 9, 10, 'M', 7, 6], [4, 'M', 3, 2, 8]]",0.33099842071533203
3,598.5998277634662,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[4, 'M', 5, 2, 3, 10], [6, 8, 9, 1, 7, 'M'], [6, 'M', 9, 7, 2], [4, 8, 1, 5, 3, 10, 'M']]",464.09669907258564,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[10, 5, 4, 2, 3, 'M'], [6, 9, 7, 1, 8, 'M'], [6, 9, 7, 2, 'M'], [10, 5, 4, 1, 3, 8, 'M']]",464.09669907258564,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[10, 5, 4, 2, 3, 'M'], [6, 9, 7, 1, 8, 'M'], [6, 9, 7, 2, 'M'], [10, 5, 4, 1, 3, 8, 'M']]",0.22999906539916992
4,701.4323417957232,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[['M', 2, 5, 4, 7], [3, 8, 'M', 1, 6, 9, 10], [9, 'M'], ['M', 3, 8, 2, 5, 1, 4, 6, 7, 10]]",499.517107024777,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[5, 2, 4, 7, 'M'], [1, 9, 8, 6, 3, 10, 'M'], [9, 'M'], ['M', 1, 5, 2, 8, 6, 3, 10, 4, 7]]",499.517107024777,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[5, 2, 4, 7, 'M'], [1, 9, 8, 6, 3, 10, 'M'], [9, 'M'], ['M', 1, 5, 2, 8, 6, 3, 10, 4, 7]]",0.3021049499511719
5,611.3317887364354,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[1, 10, 2, 8, 4, 3, 9, 7, 'M'], [6, 5, 'M'], [6, 'M', 2, 3, 9, 5, 7], ['M', 1, 10, 8, 4]]",488.29682196652846,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[10, 8, 9, 2, 1, 4, 3, 7, 'M'], [5, 6, 'M'], ['M', 5, 6, 9, 2, 3, 7], ['M', 10, 8, 1, 4]]",488.29682196652846,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[10, 8, 9, 2, 1, 4, 3, 7, 'M'], [5, 6, 'M'], ['M', 5, 6, 9, 2, 3, 7], ['M', 10, 8, 1, 4]]",0.4590017795562744
6,366.26392079489415,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 8, 9, 7, 6, 'M'], [10, 4, 3, 1, 2, 'M'], ['M', 3, 8, 9, 7], ['M', 5, 10, 4, 1, 2, 6]]",266.6675605467261,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 8, 7, 6, 9, 'M'], [4, 3, 1, 2, 10, 'M'], [3, 8, 7, 'M', 9], ['M', 4, 5, 1, 2, 6, 10]]",266.6675605467261,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 8, 7, 6, 9, 'M'], [4, 3, 1, 2, 10, 'M'], [3, 8, 7, 'M', 9], ['M', 4, 5, 1, 2, 6, 10]]",0.4436321258544922
7,717.648043171925,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[6, 'M'], [4, 10, 'M', 9, 8, 7, 5, 1, 3, 2], [6, 'M', 3], ['M', 4, 10, 9, 8, 7, 5, 1, 2]]",554.154119307621,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[6, 'M'], [8, 9, 'M', 5, 1, 7, 4, 10, 3, 2], [6, 'M', 3], ['M', 8, 9, 5, 1, 7, 4, 10, 2]]",554.154119307621,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[6, 'M'], [8, 9, 'M', 5, 1, 7, 4, 10, 3, 2], [6, 'M', 3], ['M', 8, 9, 5, 1, 7, 4, 10, 2]]",0.5804712772369385
8,534.667420674586,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[2, 'M', 9, 5, 4, 3], [10, 6, 8, 7, 1, 'M'], [2, 8, 'M'], ['M', 10, 6, 7, 9, 5, 4, 1, 3]]",388.68798142522394,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[9, 5, 2, 'M', 3, 4], [8, 10, 1, 6, 7, 'M'], [8, 2, 'M'], ['M', 9, 5, 10, 1, 6, 3, 7, 4]]",388.68798142522394,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[9, 5, 2, 'M', 3, 4], [8, 10, 1, 6, 7, 'M'], [8, 2, 'M'], ['M', 9, 5, 10, 1, 6, 3, 7, 4]]",0.5709984302520752
9,595.3355380997897,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[4, 2, 8, 3, 'M', 6, 7], [5, 'M', 9, 10, 1], [5, 4, 2, 9, 'M', 1, 6, 7], ['M', 8, 3, 10]]",415.9802517409016,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[3, 2, 8, 4, 6, 7, 'M'], [5, 9, 'M', 10, 1], [5, 2, 9, 'M', 4, 1, 6, 7], [3, 8, 10, 'M']]",415.9802517409016,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[3, 2, 8, 4, 6, 7, 'M'], [5, 9, 'M', 10, 1], [5, 2, 9, 'M', 4, 1, 6, 7], [3, 8, 10, 'M']]",0.3240022659301758
10,522.1303039697907,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[1, 4, 3, 7, 2, 10, 'M'], [9, 6, 5, 8, 'M'], ['M', 4, 3, 5, 8], ['M', 9, 1, 6, 7, 2, 10]]",379.62287339677096,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[4, 3, 10, 7, 1, 2, 'M'], [6, 5, 9, 8, 'M'], [5, 4, 3, 8, 'M'], ['M', 6, 9, 10, 7, 1, 2]]",379.62287339677096,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[4, 3, 10, 7, 1, 2, 'M'], [6, 5, 9, 8, 'M'], [5, 4, 3, 8, 'M'], ['M', 6, 9, 10, 7, 1, 2]]",0.5831587314605713
