,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,372.16598224020737,"[7, 3, 1, 5, 4, 8, 2, 6, 10, 9]","[['M', 7, 3, 1, 2, 9], ['M', 5, 4, 8, 6, 10], ['M', 3, 1, 4, 8, 6, 9], ['M', 7, 5, 2, 10]]",269.9002498360758,"[7, 3, 1, 5, 4, 8, 2, 6, 10, 9]","[['M', 7, 3, 1, 2, 9], ['M', 5, 4, 8, 6, 10], ['M', 3, 1, 4, 8, 6, 9], ['M', 7, 5, 2, 10]]",269.9002498360758,"[7, 3, 1, 5, 4, 8, 2, 6, 10, 9]","[['M', 7, 3, 1, 2, 9], ['M', 5, 4, 8, 6, 10], ['M', 3, 1, 4, 8, 6, 9], ['M', 7, 5, 2, 10]]",4.205183029174805
2,352.4465273557683,"[5, 6, 1, 3, 9, 10, 8, 2, 7, 4]","[['M', 6, 3, 9, 10, 4], ['M', 5, 1, 8, 2, 7], ['M', 6, 1, 3, 8, 2, 4], ['M', 5, 9, 10, 7]]",287.5809219923004,"[5, 6, 1, 3, 9, 10, 8, 2, 7, 4]","[['M', 6, 3, 9, 10, 4], ['M', 5, 1, 8, 2, 7], ['M', 6, 1, 3, 8, 2, 4], ['M', 5, 9, 10, 7]]",287.5809219923004,"[5, 6, 1, 3, 9, 10, 8, 2, 7, 4]","[['M', 6, 3, 9, 10, 4], ['M', 5, 1, 8, 2, 7], ['M', 6, 1, 3, 8, 2, 4], ['M', 5, 9, 10, 7]]",4.2615580558776855
3,354.65756827149147,"[8, 2, 1, 9, 7, 4, 5, 6, 3, 10]","[['M', 8, 1, 9, 7, 10], ['M', 2, 4, 5, 6, 3], ['M', 9, 7, 6, 3, 10], ['M', 8, 2, 1, 4, 5]]",282.01466474977,"[8, 2, 1, 9, 7, 4, 5, 6, 3, 10]","[['M', 8, 1, 9, 7, 10], ['M', 2, 4, 5, 6, 3], ['M', 9, 7, 6, 3, 10], ['M', 8, 2, 1, 4, 5]]",282.01466474977,"[8, 2, 1, 9, 7, 4, 5, 6, 3, 10]","[['M', 8, 1, 9, 7, 10], ['M', 2, 4, 5, 6, 3], ['M', 9, 7, 6, 3, 10], ['M', 8, 2, 1, 4, 5]]",4.1627278327941895
4,463.7258186042352,"[9, 3, 8, 10, 7, 6, 2, 5, 1, 4]","[['M', 9, 10, 6, 2, 1], ['M', 3, 8, 7, 5, 4], ['M', 9, 10, 2, 5, 1], ['M', 3, 8, 7, 6, 4]]",396.2427161166357,"[9, 3, 8, 10, 7, 6, 2, 5, 1, 4]","[['M', 9, 10, 6, 2, 1], ['M', 3, 8, 7, 5, 4], ['M', 9, 10, 2, 5, 1], ['M', 3, 8, 7, 6, 4]]",396.2427161166357,"[9, 3, 8, 10, 7, 6, 2, 5, 1, 4]","[['M', 9, 10, 6, 2, 1], ['M', 3, 8, 7, 5, 4], ['M', 9, 10, 2, 5, 1], ['M', 3, 8, 7, 6, 4]]",4.347600936889648
5,494.5588794532059,"[4, 10, 7, 1, 5, 2, 3, 6, 8, 9]","[['M', 4, 10, 1, 6, 8], ['M', 7, 5, 2, 3, 9], ['M', 10, 1, 5, 2, 9], ['M', 4, 7, 3, 6, 8]]",339.6231737293766,"[4, 10, 7, 1, 5, 2, 3, 6, 8, 9]","[['M', 4, 10, 1, 6, 8], ['M', 7, 5, 2, 3, 9], ['M', 10, 1, 5, 2, 9], ['M', 4, 7, 3, 6, 8]]",339.6231737293766,"[4, 10, 7, 1, 5, 2, 3, 6, 8, 9]","[['M', 4, 10, 1, 6, 8], ['M', 7, 5, 2, 3, 9], ['M', 10, 1, 5, 2, 9], ['M', 4, 7, 3, 6, 8]]",4.296483278274536
6,402.39569065991736,"[1, 9, 2, 4, 3, 5, 7, 10, 6, 8]","[['M', 2, 3, 7, 10], ['M', 1, 9, 4, 5, 6, 8], ['M', 3, 5, 7, 10, 8], ['M', 1, 9, 2, 4, 6]]",307.28410228332865,"[1, 9, 2, 4, 3, 5, 7, 10, 6, 8]","[['M', 2, 3, 7, 10], ['M', 1, 9, 4, 5, 6, 8], ['M', 3, 5, 7, 10, 8], ['M', 1, 9, 2, 4, 6]]",307.28410228332865,"[1, 9, 2, 4, 3, 5, 7, 10, 6, 8]","[['M', 2, 3, 7, 10], ['M', 1, 9, 4, 5, 6, 8], ['M', 3, 5, 7, 10, 8], ['M', 1, 9, 2, 4, 6]]",4.1858789920806885
7,469.8504926508239,"[10, 6, 7, 3, 9, 1, 8, 5, 2, 4]","[['M', 7, 3, 9, 1, 5, 4], ['M', 10, 6, 8, 2], ['M', 3, 9, 8, 2], ['M', 10, 6, 7, 1, 5, 4]]",339.5542096151651,"[10, 6, 7, 3, 9, 1, 8, 5, 2, 4]","[['M', 7, 3, 9, 1, 5, 4], ['M', 10, 6, 8, 2], ['M', 3, 9, 8, 2], ['M', 10, 6, 7, 1, 5, 4]]",339.5542096151651,"[10, 6, 7, 3, 9, 1, 8, 5, 2, 4]","[['M', 7, 3, 9, 1, 5, 4], ['M', 10, 6, 8, 2], ['M', 3, 9, 8, 2], ['M', 10, 6, 7, 1, 5, 4]]",4.139472961425781
8,402.13177963722796,"[1, 10, 3, 4, 2, 5, 6, 8, 9, 7]","[['M', 3, 2, 8, 9, 7], ['M', 1, 10, 4, 5, 6], ['M', 1, 10, 3, 4, 6, 7], ['M', 2, 5, 8, 9]]",305.7844761490261,"[1, 10, 3, 4, 2, 5, 6, 8, 9, 7]","[['M', 3, 2, 8, 9, 7], ['M', 1, 10, 4, 5, 6], ['M', 1, 10, 3, 4, 6, 7], ['M', 2, 5, 8, 9]]",305.7844761490261,"[1, 10, 3, 4, 2, 5, 6, 8, 9, 7]","[['M', 3, 2, 8, 9, 7], ['M', 1, 10, 4, 5, 6], ['M', 1, 10, 3, 4, 6, 7], ['M', 2, 5, 8, 9]]",4.098873138427734
9,443.75379672099007,"[8, 7, 1, 10, 3, 4, 6, 5, 2, 9]","[['M', 8, 1, 10, 5, 9], ['M', 7, 3, 4, 6, 2], ['M', 7, 3, 6, 2, 9], ['M', 8, 1, 10, 4, 5]]",356.02151994589946,"[8, 7, 1, 10, 3, 4, 6, 5, 2, 9]","[['M', 8, 1, 10, 5, 9], ['M', 7, 3, 4, 6, 2], ['M', 7, 3, 6, 2, 9], ['M', 8, 1, 10, 4, 5]]",356.02151994589946,"[8, 7, 1, 10, 3, 4, 6, 5, 2, 9]","[['M', 8, 1, 10, 5, 9], ['M', 7, 3, 4, 6, 2], ['M', 7, 3, 6, 2, 9], ['M', 8, 1, 10, 4, 5]]",4.285810947418213
10,344.0362923661051,"[5, 10, 2, 3, 9, 6, 4, 1, 8, 7]","[['M', 2, 3, 9, 7], ['M', 5, 10, 6, 4, 1, 8], ['M', 10, 3, 1, 8, 7], ['M', 5, 2, 9, 6, 4]]",264.7391332052929,"[5, 10, 2, 3, 9, 6, 4, 1, 8, 7]","[['M', 2, 3, 9, 7], ['M', 5, 10, 6, 4, 1, 8], ['M', 10, 3, 1, 8, 7], ['M', 5, 2, 9, 6, 4]]",264.7391332052929,"[5, 10, 2, 3, 9, 6, 4, 1, 8, 7]","[['M', 2, 3, 9, 7], ['M', 5, 10, 6, 4, 1, 8], ['M', 10, 3, 1, 8, 7], ['M', 5, 2, 9, 6, 4]]",4.158857107162476
