,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,372.16598224020737,"[7, 3, 1, 5, 4, 8, 2, 6, 10, 9]","[['M', 7, 3, 1, 2, 9], ['M', 5, 4, 8, 6, 10], ['M', 3, 1, 4, 8, 6, 9], ['M', 7, 5, 2, 10]]",269.9002498360758,"[7, 3, 1, 5, 4, 8, 2, 6, 10, 9]","[['M', 7, 3, 1, 2, 9], ['M', 5, 4, 8, 6, 10], ['M', 3, 1, 4, 8, 6, 9], ['M', 7, 5, 2, 10]]",269.9002498360758,"[7, 3, 1, 5, 4, 8, 2, 6, 10, 9]","[['M', 7, 3, 1, 2, 9], ['M', 5, 4, 8, 6, 10], ['M', 3, 1, 4, 8, 6, 9], ['M', 7, 5, 2, 10]]",297.6205520629883
2,352.4465273557683,"[5, 6, 1, 3, 9, 10, 8, 2, 7, 4]","[['M', 6, 3, 9, 10, 4], ['M', 5, 1, 8, 2, 7], ['M', 6, 1, 3, 8, 2, 4], ['M', 5, 9, 10, 7]]",287.5809219923004,"[5, 6, 1, 3, 9, 10, 8, 2, 7, 4]","[['M', 6, 3, 9, 10, 4], ['M', 5, 1, 8, 2, 7], ['M', 6, 1, 3, 8, 2, 4], ['M', 5, 9, 10, 7]]",283.6075640310403,"[2, 10, 1, 5, 6, 7, 4, 3, 9, 8]","[['M', 10, 6, 4, 3, 9], ['M', 2, 1, 5, 7, 8], ['M', 2, 1, 6, 4, 3, 8], ['M', 10, 5, 7, 9]]",303.7091598510742
3,354.65756827149147,"[8, 2, 1, 9, 7, 4, 5, 6, 3, 10]","[['M', 8, 1, 9, 7, 10], ['M', 2, 4, 5, 6, 3], ['M', 9, 7, 6, 3, 10], ['M', 8, 2, 1, 4, 5]]",282.01466474977,"[8, 2, 1, 9, 7, 4, 5, 6, 3, 10]","[['M', 8, 1, 9, 7, 10], ['M', 2, 4, 5, 6, 3], ['M', 9, 7, 6, 3, 10], ['M', 8, 2, 1, 4, 5]]",282.01466474977,"[8, 2, 1, 9, 7, 4, 5, 6, 3, 10]","[['M', 8, 1, 9, 7, 10], ['M', 2, 4, 5, 6, 3], ['M', 9, 7, 6, 3, 10], ['M', 8, 2, 1, 4, 5]]",293.9742772579193
4,463.7258186042352,"[9, 3, 8, 10, 7, 6, 2, 5, 1, 4]","[['M', 9, 10, 6, 2, 1], ['M', 3, 8, 7, 5, 4], ['M', 9, 10, 2, 5, 1], ['M', 3, 8, 7, 6, 4]]",396.2427161166357,"[9, 3, 8, 10, 7, 6, 2, 5, 1, 4]","[['M', 9, 10, 6, 2, 1], ['M', 3, 8, 7, 5, 4], ['M', 9, 10, 2, 5, 1], ['M', 3, 8, 7, 6, 4]]",346.03632301369555,"[4, 6, 5, 8, 10, 2, 1, 9, 7, 3]","[['M', 6, 10, 2, 1, 9], ['M', 4, 5, 8, 7, 3], ['M', 5, 10, 2, 1, 9], ['M', 4, 6, 8, 7, 3]]",293.7819221019745
5,494.5588794532059,"[4, 10, 7, 1, 5, 2, 3, 6, 8, 9]","[['M', 4, 10, 1, 6, 8], ['M', 7, 5, 2, 3, 9], ['M', 10, 1, 5, 2, 9], ['M', 4, 7, 3, 6, 8]]",339.6231737293766,"[4, 10, 7, 1, 5, 2, 3, 6, 8, 9]","[['M', 4, 10, 1, 6, 8], ['M', 7, 5, 2, 3, 9], ['M', 10, 1, 5, 2, 9], ['M', 4, 7, 3, 6, 8]]",339.6231737293766,"[4, 10, 7, 1, 5, 2, 3, 6, 8, 9]","[['M', 4, 10, 1, 6, 8], ['M', 7, 5, 2, 3, 9], ['M', 10, 1, 5, 2, 9], ['M', 4, 7, 3, 6, 8]]",211.6117377281189
6,402.39569065991736,"[1, 9, 2, 4, 3, 5, 7, 10, 6, 8]","[['M', 2, 3, 7, 10], ['M', 1, 9, 4, 5, 6, 8], ['M', 3, 5, 7, 10, 8], ['M', 1, 9, 2, 4, 6]]",307.28410228332865,"[1, 9, 2, 4, 3, 5, 7, 10, 6, 8]","[['M', 2, 3, 7, 10], ['M', 1, 9, 4, 5, 6, 8], ['M', 3, 5, 7, 10, 8], ['M', 1, 9, 2, 4, 6]]",307.28410228332865,"[1, 9, 2, 4, 3, 5, 7, 10, 6, 8]","[['M', 2, 3, 7, 10], ['M', 1, 9, 4, 5, 6, 8], ['M', 3, 5, 7, 10, 8], ['M', 1, 9, 2, 4, 6]]",203.82076811790466
7,469.8504926508239,"[10, 6, 7, 3, 9, 1, 8, 5, 2, 4]","[['M', 7, 3, 9, 1, 5, 4], ['M', 10, 6, 8, 2], ['M', 3, 9, 8, 2], ['M', 10, 6, 7, 1, 5, 4]]",339.5542096151651,"[10, 6, 7, 3, 9, 1, 8, 5, 2, 4]","[['M', 7, 3, 9, 1, 5, 4], ['M', 10, 6, 8, 2], ['M', 3, 9, 8, 2], ['M', 10, 6, 7, 1, 5, 4]]",339.5542096151651,"[10, 6, 7, 3, 9, 1, 8, 5, 2, 4]","[['M', 7, 3, 9, 1, 5, 4], ['M', 10, 6, 8, 2], ['M', 3, 9, 8, 2], ['M', 10, 6, 7, 1, 5, 4]]",286.7389850616455
8,402.13177963722796,"[1, 10, 3, 4, 2, 5, 6, 8, 9, 7]","[['M', 3, 2, 8, 9, 7], ['M', 1, 10, 4, 5, 6], ['M', 1, 10, 3, 4, 6, 7], ['M', 2, 5, 8, 9]]",305.7844761490261,"[1, 10, 3, 4, 2, 5, 6, 8, 9, 7]","[['M', 3, 2, 8, 9, 7], ['M', 1, 10, 4, 5, 6], ['M', 1, 10, 3, 4, 6, 7], ['M', 2, 5, 8, 9]]",305.7844761490261,"[1, 10, 3, 4, 2, 5, 6, 8, 9, 7]","[['M', 3, 2, 8, 9, 7], ['M', 1, 10, 4, 5, 6], ['M', 1, 10, 3, 4, 6, 7], ['M', 2, 5, 8, 9]]",210.93577885627747
9,443.75379672099007,"[8, 7, 1, 10, 3, 4, 6, 5, 2, 9]","[['M', 8, 1, 10, 5, 9], ['M', 7, 3, 4, 6, 2], ['M', 7, 3, 6, 2, 9], ['M', 8, 1, 10, 4, 5]]",356.02151994589946,"[8, 7, 1, 10, 3, 4, 6, 5, 2, 9]","[['M', 8, 1, 10, 5, 9], ['M', 7, 3, 4, 6, 2], ['M', 7, 3, 6, 2, 9], ['M', 8, 1, 10, 4, 5]]",321.6539105146539,"[4, 1, 3, 10, 6, 9, 5, 7, 8, 2]","[['M', 1, 10, 9, 5, 8], ['M', 4, 3, 6, 7, 2], ['M', 3, 6, 9, 7, 2], ['M', 4, 1, 10, 5, 8]]",293.45841097831726
10,344.0362923661051,"[5, 10, 2, 3, 9, 6, 4, 1, 8, 7]","[['M', 2, 3, 9, 7], ['M', 5, 10, 6, 4, 1, 8], ['M', 10, 3, 1, 8, 7], ['M', 5, 2, 9, 6, 4]]",264.7391332052929,"[5, 10, 2, 3, 9, 6, 4, 1, 8, 7]","[['M', 2, 3, 9, 7], ['M', 5, 10, 6, 4, 1, 8], ['M', 10, 3, 1, 8, 7], ['M', 5, 2, 9, 6, 4]]",246.96405142270586,"[1, 2, 5, 8, 4, 9, 7, 10, 3, 6]","[['M', 2, 9, 7, 3], ['M', 1, 5, 8, 4, 10, 6], ['M', 1, 8, 7, 10, 3], ['M', 2, 5, 4, 9, 6]]",204.27396988868713
