,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,1238.6367122691572,"[6, 9, 3, 2, 7, 4, 5, 1, 8, 10]","[['M', 6, 9, 3, 4, 10], ['M', 2, 7, 5, 1, 8], ['M', 6, 9, 4, 1], ['M', 3, 2, 7, 5, 8, 10]]",849.5308297753824,"[6, 9, 3, 2, 7, 4, 5, 1, 8, 10]","[['M', 6, 9, 3, 4, 10], ['M', 2, 7, 5, 1, 8], ['M', 6, 9, 4, 1], ['M', 3, 2, 7, 5, 8, 10]]",849.5308297753824,"[6, 9, 3, 2, 7, 4, 5, 1, 8, 10]","[['M', 6, 9, 3, 4, 10], ['M', 2, 7, 5, 1, 8], ['M', 6, 9, 4, 1], ['M', 3, 2, 7, 5, 8, 10]]",289.5899782180786
2,1047.1799389732287,"[5, 3, 10, 6, 8, 7, 4, 1, 9, 2]","[['M', 5, 3, 10, 1, 9], ['M', 6, 8, 7, 4, 2], ['M', 5, 8, 1, 9, 2], ['M', 3, 10, 6, 7, 4]]",792.3141182623782,"[5, 3, 4, 7, 8, 6, 9, 1, 10, 2]","[['M', 5, 3, 9, 1, 10], ['M', 4, 7, 8, 6, 2], ['M', 5, 8, 9, 1, 2], ['M', 3, 4, 7, 6, 10]]",792.3141182623782,"[5, 3, 4, 7, 8, 6, 9, 1, 10, 2]","[['M', 5, 3, 9, 1, 10], ['M', 4, 7, 8, 6, 2], ['M', 5, 8, 9, 1, 2], ['M', 3, 4, 7, 6, 10]]",305.80407214164734
3,836.9345568917803,"[3, 10, 9, 2, 1, 4, 7, 5, 8, 6]","[['M', 3, 1, 4, 7, 8], ['M', 10, 9, 2, 5, 6], ['M', 10, 9, 1, 4, 7, 8], ['M', 3, 2, 5, 6]]",614.4546777676627,"[3, 10, 9, 2, 1, 4, 7, 5, 8, 6]","[['M', 3, 1, 4, 7, 8], ['M', 10, 9, 2, 5, 6], ['M', 10, 9, 1, 4, 7, 8], ['M', 3, 2, 5, 6]]",614.4546777676627,"[3, 10, 9, 2, 1, 4, 7, 5, 8, 6]","[['M', 3, 1, 4, 7, 8], ['M', 10, 9, 2, 5, 6], ['M', 10, 9, 1, 4, 7, 8], ['M', 3, 2, 5, 6]]",305.45456171035767
4,1165.515516399358,"[8, 1, 2, 6, 4, 3, 7, 9, 10, 5]","[['M', 8, 1, 3, 7, 9, 10], ['M', 2, 6, 4, 5], ['M', 8, 4, 9, 5], ['M', 1, 2, 6, 3, 7, 10]]",890.6439234336668,"[8, 1, 2, 6, 4, 3, 7, 9, 10, 5]","[['M', 8, 1, 3, 7, 9, 10], ['M', 2, 6, 4, 5], ['M', 8, 4, 9, 5], ['M', 1, 2, 6, 3, 7, 10]]",890.6439234336668,"[8, 1, 2, 6, 4, 3, 7, 9, 10, 5]","[['M', 8, 1, 3, 7, 9, 10], ['M', 2, 6, 4, 5], ['M', 8, 4, 9, 5], ['M', 1, 2, 6, 3, 7, 10]]",221.57994103431702
5,824.5975544464716,"[2, 1, 9, 3, 10, 5, 4, 7, 8, 6]","[['M', 2, 9, 10, 4, 7, 8], ['M', 1, 3, 5, 6], ['M', 9, 3, 5, 4, 6], ['M', 2, 1, 10, 7, 8]]",749.7544050207604,"[2, 1, 9, 3, 10, 5, 4, 7, 8, 6]","[['M', 2, 9, 10, 4, 7, 8], ['M', 1, 3, 5, 6], ['M', 9, 3, 5, 4, 6], ['M', 2, 1, 10, 7, 8]]",749.7544050207604,"[2, 1, 9, 3, 10, 5, 4, 7, 8, 6]","[['M', 2, 9, 10, 4, 7, 8], ['M', 1, 3, 5, 6], ['M', 9, 3, 5, 4, 6], ['M', 2, 1, 10, 7, 8]]",221.7199170589447
6,1301.7083926128594,"[9, 1, 7, 4, 2, 6, 5, 3, 10, 8]","[['M', 9, 1, 4, 3, 10], ['M', 7, 2, 6, 5, 8], ['M', 1, 7, 2, 6, 5], ['M', 9, 4, 3, 10, 8]]",925.228167248702,"[5, 1, 7, 4, 2, 6, 9, 3, 10, 8]","[['M', 1, 4, 9, 3, 10], ['M', 5, 7, 2, 6, 8], ['M', 5, 1, 7, 2, 6], ['M', 4, 9, 3, 10, 8]]",925.228167248702,"[5, 1, 7, 4, 2, 6, 9, 3, 10, 8]","[['M', 1, 4, 9, 3, 10], ['M', 5, 7, 2, 6, 8], ['M', 5, 1, 7, 2, 6], ['M', 4, 9, 3, 10, 8]]",303.9294409751892
7,1111.6691892490037,"[7, 8, 9, 2, 5, 6, 1, 10, 3, 4]","[['M', 7, 9, 2, 10, 3], ['M', 8, 5, 6, 1, 4], ['M', 8, 1, 10, 3, 4], ['M', 7, 9, 2, 5, 6]]",841.3012391200755,"[7, 8, 9, 2, 5, 6, 1, 10, 3, 4]","[['M', 7, 9, 2, 10, 3], ['M', 8, 5, 6, 1, 4], ['M', 8, 1, 10, 3, 4], ['M', 7, 9, 2, 5, 6]]",835.271397160671,"[8, 1, 2, 4, 7, 10, 3, 6, 5, 9]","[['M', 2, 7, 10, 3, 9], ['M', 8, 1, 4, 6, 5], ['M', 8, 1, 4, 10, 3], ['M', 2, 7, 6, 5, 9]]",214.9548487663269
8,1054.3853071828066,"[3, 10, 1, 7, 6, 8, 4, 2, 9, 5]","[['M', 10, 7, 6, 8, 5], ['M', 3, 1, 4, 2, 9], ['M', 3, 10, 7, 9, 5], ['M', 1, 6, 8, 4, 2]]",856.6127076503984,"[3, 10, 1, 7, 6, 8, 4, 2, 9, 5]","[['M', 10, 7, 6, 8, 5], ['M', 3, 1, 4, 2, 9], ['M', 3, 10, 7, 9, 5], ['M', 1, 6, 8, 4, 2]]",856.6127076503984,"[3, 10, 1, 7, 6, 8, 4, 2, 9, 5]","[['M', 10, 7, 6, 8, 5], ['M', 3, 1, 4, 2, 9], ['M', 3, 10, 7, 9, 5], ['M', 1, 6, 8, 4, 2]]",214.6785271167755
9,863.9860898906326,"[9, 7, 4, 8, 3, 6, 10, 2, 1, 5]","[['M', 4, 8, 6, 1, 5], ['M', 9, 7, 3, 10, 2], ['M', 9, 7, 8, 3, 2], ['M', 4, 6, 10, 1, 5]]",754.1277001827889,"[9, 7, 4, 8, 3, 6, 10, 2, 1, 5]","[['M', 4, 8, 6, 1, 5], ['M', 9, 7, 3, 10, 2], ['M', 9, 7, 8, 3, 2], ['M', 4, 6, 10, 1, 5]]",750.1078744708145,"[10, 8, 5, 4, 6, 9, 7, 2, 1, 3]","[['M', 8, 5, 4, 6, 1], ['M', 10, 9, 7, 2, 3], ['M', 8, 9, 7, 2, 3], ['M', 10, 5, 4, 6, 1]]",297.5125660896301
10,791.3139152993924,"[9, 10, 5, 7, 4, 6, 2, 8, 1, 3]","[['M', 5, 7, 4, 8, 3], ['M', 9, 10, 6, 2, 1], ['M', 5, 7, 4, 2, 3], ['M', 9, 10, 6, 8, 1]]",741.4407095511106,"[9, 10, 5, 7, 4, 6, 2, 8, 1, 3]","[['M', 5, 7, 4, 8, 3], ['M', 9, 10, 6, 2, 1], ['M', 5, 7, 4, 2, 3], ['M', 9, 10, 6, 8, 1]]",731.4966149218702,"[1, 9, 4, 10, 6, 5, 7, 3, 8, 2]","[['M', 4, 5, 7, 3, 8], ['M', 1, 9, 10, 6, 2], ['M', 4, 5, 7, 3, 2], ['M', 1, 9, 10, 6, 8]]",296.5869770050049
