,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,88.06586629988708,"[3, 7, 6, 9, 2, 4, 1, 8, 5, 10]","[['M', 3, 7, 6, 9, 4, 10], [2, 1, 8, 5, 'M'], ['M', 3, 6, 2, 4, 1, 8], [7, 9, 5, 10, 'M']]",45.79770345786536,"[3, 7, 8, 9, 2, 6, 4, 5, 1, 10]","[['M', 3, 7, 9, 6, 4, 10], [8, 2, 5, 1, 'M'], ['M', 3, 8, 2, 6, 4, 1], [7, 9, 5, 10, 'M']]",45.79770345786536,"[3, 7, 8, 9, 2, 6, 4, 5, 1, 10]","[['M', 3, 7, 9, 6, 4, 10], [8, 2, 5, 1, 'M'], ['M', 3, 8, 2, 6, 4, 1], [7, 9, 5, 10, 'M']]",0.023938894271850586
2,180.12325446128762,"[10, 4, 2, 8, 9, 7, 3, 5, 6, 1]","[[10, 8, 9, 3, 6, 1, 'M'], [4, 2, 7, 5, 'M'], [10, 'M', 2, 7, 6], ['M', 4, 8, 9, 3, 5, 1]]",109.49587038713223,"[10, 8, 2, 5, 9, 6, 4, 1, 7, 3]","[[10, 8, 9, 6, 1, 3, 'M'], [2, 5, 4, 7, 'M'], [10, 2, 6, 7, 'M'], ['M', 8, 5, 9, 4, 1, 3]]",109.49587038713223,"[10, 8, 2, 5, 9, 6, 4, 1, 7, 3]","[[10, 8, 9, 6, 1, 3, 'M'], [2, 5, 4, 7, 'M'], [10, 2, 6, 7, 'M'], ['M', 8, 5, 9, 4, 1, 3]]",0.026751041412353516
3,176.18831235088655,"[2, 3, 10, 6, 5, 4, 8, 9, 1, 7]","[[3, 6, 9, 1, 'M'], [2, 10, 5, 4, 8, 7, 'M'], [3, 10, 'M', 8, 9], [2, 'M', 6, 5, 4, 1, 7]]",158.1662280406364,"[2, 3, 10, 1, 5, 4, 8, 9, 6, 7]","[[3, 1, 9, 6, 'M'], [2, 10, 5, 4, 8, 7, 'M'], [3, 10, 'M', 8, 9], [2, 'M', 1, 5, 4, 6, 7]]",158.1662280406364,"[2, 3, 10, 1, 5, 4, 8, 9, 6, 7]","[[3, 1, 9, 6, 'M'], [2, 10, 5, 4, 8, 7, 'M'], [3, 10, 'M', 8, 9], [2, 'M', 1, 5, 4, 6, 7]]",0.011716842651367188
4,320.2828732228241,"[1, 9, 2, 8, 3, 6, 10, 5, 4, 7]","[[1, 8, 3, 'M', 5, 7], [9, 2, 6, 10, 4, 'M'], ['M', 1, 9, 8, 6, 10], ['M', 2, 3, 5, 4, 7]]",228.79049637628566,"[6, 8, 2, 10, 5, 9, 7, 3, 4, 1]","[[8, 5, 7, 3, 1, 'M'], [6, 2, 10, 9, 4, 'M'], ['M', 6, 8, 10, 9, 1], ['M', 2, 5, 7, 3, 4]]",228.79049637628566,"[6, 8, 2, 10, 5, 9, 7, 3, 4, 1]","[[8, 5, 7, 3, 1, 'M'], [6, 2, 10, 9, 4, 'M'], ['M', 6, 8, 10, 9, 1], ['M', 2, 5, 7, 3, 4]]",0.014828920364379883
5,253.83758299027028,"[5, 9, 8, 3, 7, 2, 4, 1, 10, 6]","[[7, 2, 'M', 4, 1, 6], [5, 9, 8, 3, 10, 'M'], ['M', 5, 3, 7, 4, 6], [9, 8, 2, 1, 10, 'M']]",165.22861447237588,"[8, 9, 7, 3, 5, 2, 10, 6, 1, 4]","[[7, 2, 'M', 6, 1, 4], [8, 9, 3, 5, 10, 'M'], [7, 3, 5, 6, 4, 'M'], [8, 9, 2, 10, 1, 'M']]",165.22861447237588,"[8, 9, 7, 3, 5, 2, 10, 6, 1, 4]","[[7, 2, 'M', 6, 1, 4], [8, 9, 3, 5, 10, 'M'], [7, 3, 5, 6, 4, 'M'], [8, 9, 2, 10, 1, 'M']]",0.01746392250061035
6,229.43782685050766,"[10, 5, 9, 3, 4, 2, 8, 6, 1, 7]","[[5, 9, 2, 6, 7, 'M'], [10, 3, 4, 8, 1, 'M'], ['M', 10, 9, 3, 2, 8, 1], [5, 'M', 4, 6, 7]]",202.58778385395777,"[10, 7, 9, 3, 4, 2, 1, 6, 8, 5]","[[7, 9, 2, 6, 5, 'M'], [10, 3, 4, 1, 8, 'M'], ['M', 10, 9, 3, 2, 1, 8], [7, 'M', 4, 6, 5]]",202.58778385395777,"[10, 7, 9, 3, 4, 2, 1, 6, 8, 5]","[[7, 9, 2, 6, 5, 'M'], [10, 3, 4, 1, 8, 'M'], ['M', 10, 9, 3, 2, 1, 8], [7, 'M', 4, 6, 5]]",0.010221004486083984
7,283.19660293601106,"[5, 7, 4, 10, 1, 9, 2, 3, 8, 6]","[[10, 'M', 9, 3, 6], [5, 7, 4, 1, 2, 'M', 8], ['M', 7, 10, 1, 9, 3, 8], [5, 4, 2, 6, 'M']]",130.67080449384227,"[5, 10, 3, 2, 1, 9, 4, 8, 7, 6]","[[10, 3, 9, 6, 'M'], [5, 2, 1, 4, 8, 7, 'M'], ['M', 10, 3, 1, 9, 8, 7], [5, 2, 4, 6, 'M']]",130.67080449384227,"[5, 10, 3, 2, 1, 9, 4, 8, 7, 6]","[[10, 3, 9, 6, 'M'], [5, 2, 1, 4, 8, 7, 'M'], ['M', 10, 3, 1, 9, 8, 7], [5, 2, 4, 6, 'M']]",0.017261028289794922
8,278.66583657163966,"[6, 3, 9, 2, 1, 4, 8, 5, 7, 10]","[[6, 3, 5, 7, 10, 'M'], [9, 2, 1, 4, 8, 'M'], ['M', 3, 9, 1, 4, 10], ['M', 6, 2, 8, 5, 7]]",177.83761502629272,"[2, 5, 3, 8, 10, 6, 4, 9, 7, 1]","[[5, 3, 10, 6, 7, 'M'], [2, 8, 4, 9, 1, 'M'], ['M', 3, 10, 4, 9, 1], ['M', 2, 5, 8, 6, 7]]",177.83761502629272,"[2, 5, 3, 8, 10, 6, 4, 9, 7, 1]","[[5, 3, 10, 6, 7, 'M'], [2, 8, 4, 9, 1, 'M'], ['M', 3, 10, 4, 9, 1], ['M', 2, 5, 8, 6, 7]]",0.012456893920898438
9,168.00808951797234,"[1, 2, 8, 6, 7, 10, 9, 4, 3, 5]","[[1, 2, 8, 6, 4, 'M'], [7, 10, 9, 3, 5, 'M'], ['M', 1, 7, 10, 9, 3, 5], ['M', 2, 8, 6, 4]]",129.07713877271885,"[1, 2, 3, 4, 10, 6, 9, 7, 8, 5]","[[1, 2, 4, 6, 8, 'M'], [3, 10, 9, 7, 5, 'M'], ['M', 1, 3, 10, 9, 7, 5], ['M', 2, 4, 6, 8]]",129.07713877271885,"[1, 2, 3, 4, 10, 6, 9, 7, 8, 5]","[[1, 2, 4, 6, 8, 'M'], [3, 10, 9, 7, 5, 'M'], ['M', 1, 3, 10, 9, 7, 5], ['M', 2, 4, 6, 8]]",0.012136220932006836
10,180.42538562252787,"[2, 3, 4, 7, 1, 6, 10, 5, 8, 9]","[[4, 1, 6, 10, 9, 'M'], [2, 3, 7, 5, 8, 'M'], ['M', 3, 4, 6, 10, 5, 9], [2, 7, 1, 8, 'M']]",117.46966318944318,"[4, 2, 1, 3, 7, 6, 10, 5, 8, 9]","[[4, 1, 6, 10, 9, 'M'], [2, 3, 7, 5, 8, 'M'], ['M', 4, 3, 6, 10, 5, 9], [2, 1, 7, 'M', 8]]",117.46966318944318,"[4, 2, 1, 3, 7, 6, 10, 5, 8, 9]","[[4, 1, 6, 10, 9, 'M'], [2, 3, 7, 5, 8, 'M'], ['M', 4, 3, 6, 10, 5, 9], [2, 1, 7, 'M', 8]]",0.014719009399414062
